sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,2.rakouská liga,2024-09-13,Kapfenberger_SV,Austria_Lustenau,0.0,2.0,3.05,3.28,2.09
Fotbal,2.rakouská liga,2024-09-13,Rapid_Wien_Amat.,Amstetten_SKU,,,1.76,3.78,3.56
Fotbal,2.rakouská liga,2024-09-13,Ried_SV,Voitsberg_ASK,0.0,0.0,1.2,5.85,10.5
Fotbal,2.rakouská liga,2024-09-13,Sankt_Poelten,Admira/Wacker_Mödling,,,2.58,3.11,2.52
Fotbal,2.rakouská liga,2024-09-14,Floridsdorfer_AC,Liefering,,,2.1,3.43,2.92
Fotbal,2.rakouská liga,2024-09-14,Bregenz,Lafnitz,4.0,1.0,1.73,3.68,3.77
Fotbal,2.rakouská liga,2024-09-14,Sturm_Graz_(Am.),Stripfing,,,2.67,3.52,2.23
Fotbal,2.rakouská liga,2024-09-15,Horn,Vienna,,,3.46,3.39,1.89
Fotbal,2.rakouská liga,2024-09-17,Admira/Wacker_Mödling,Rapid_Wien_Amat.,3.0,1.0,2.16,3.42,2.82
Fotbal,2.rakouská liga,2024-09-20,Stripfing,Bregenz,0.0,2.0,2.18,3.45,2.77
Fotbal,2.rakouská liga,2024-09-20,Voitsberg_ASK,Sankt_Poelten,0.0,2.0,3.14,3.48,1.98
Fotbal,2.rakouská liga,2024-09-20,Vienna,Rapid_Wien_Amat.,3.0,1.0,2.06,3.59,2.89
Fotbal,2.rakouská liga,2024-09-20,Lafnitz,Kapfenberger_SV,1.0,2.0,3.27,3.72,1.86
Fotbal,2.rakouská liga,2024-09-20,Admira/Wacker_Mödling,Floridsdorfer_AC,2.0,1.0,2.16,3.0,3.19
Fotbal,2.rakouská liga,2024-09-21,Austria_Lustenau,Sturm_Graz_(Am.),0.0,0.0,1.6,4.0,4.19
Fotbal,2.rakouská liga,2024-09-22,Amstetten_SKU,Ried_SV,2.0,3.0,4.93,4.0,1.51
Fotbal,2.rakouská liga,2024-09-22,Liefering,Horn,0.0,1.0,1.59,4.04,4.29
Fotbal,2.rakouská liga,2024-09-24,Sturm_Graz_(Am.),Stripfing,3.0,0.0,2.01,3.67,2.94
Fotbal,2.rakouská liga,2024-09-27,Admira/Wacker_Mödling,Austria_Lustenau,0.0,0.0,1.95,3.25,3.43
Fotbal,2.rakouská liga,2024-09-27,Horn,Amstetten_SKU,3.0,3.0,2.92,3.54,2.06
Fotbal,2.rakouská liga,2024-09-27,Kapfenberger_SV,Liefering,0.0,2.0,2.93,3.66,2.01
Fotbal,2.rakouská liga,2024-09-27,Bregenz,Vienna,3.0,2.0,2.79,3.46,2.17
Fotbal,2.rakouská liga,2024-09-27,Ried_SV,Rapid_Wien_Amat.,2.0,3.0,1.32,4.75,6.82
Fotbal,2.rakouská liga,2024-09-28,Sankt_Poelten,Stripfing,0.0,0.0,1.68,3.65,4.12
Fotbal,2.rakouská liga,2024-09-28,Sturm_Graz_(Am.),Voitsberg_ASK,1.0,1.0,2.05,3.74,2.82
Fotbal,2.rakouská liga,2024-09-29,Floridsdorfer_AC,Lafnitz,3.0,1.0,1.51,3.97,4.95
Fotbal,2.rakouská liga,2024-10-01,Horn,Vienna,3.0,6.0,2.88,3.44,2.12
Fotbal,2.rakouská liga,2024-10-01,Rapid_Wien_Amat.,Amstetten_SKU,1.0,0.0,2.25,3.62,2.58
Fotbal,2.rakouská liga,2024-10-01,Sankt_Poelten,Admira/Wacker_Mödling,0.0,1.0,2.5,2.81,2.85
Fotbal,2.rakouská liga,2024-10-04,Voitsberg_ASK,Lafnitz,2.0,1.0,1.87,3.68,3.27
Fotbal,2.rakouská liga,2024-10-04,Vienna,Sturm_Graz_(Am.),2.0,4.0,1.64,4.03,3.92
Fotbal,2.rakouská liga,2024-10-04,Stripfing,Admira/Wacker_Mödling,0.0,2.0,4.89,3.93,1.52
Fotbal,2.rakouská liga,2024-10-04,Bregenz,Horn,3.0,1.0,1.67,3.69,4.14
Fotbal,2.rakouská liga,2024-10-04,Amstetten_SKU,Kapfenberger_SV,3.0,0.0,1.93,3.65,3.13
Fotbal,2.rakouská liga,2024-10-05,Rapid_Wien_Amat.,Floridsdorfer_AC,2.0,0.0,2.52,3.27,2.47
Fotbal,2.rakouská liga,2024-10-06,Ried_SV,Sankt_Poelten,2.0,4.0,1.59,3.62,4.71
Fotbal,2.rakouská liga,2024-10-06,Liefering,Austria_Lustenau,0.0,1.0,2.19,3.49,2.74
Fotbal,2.rakouská liga,2024-10-18,Austria_Lustenau,Ried_SV,1.0,1.0,3.5,3.36,1.89
Fotbal,2.rakouská liga,2024-10-18,Floridsdorfer_AC,Bregenz,1.0,1.0,2.02,3.35,3.13
