sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,2.slovenská liga,2024-09-06,Púchov,Považská_Bystrica,1.0,1.0,1.86,3.46,3.47
Fotbal,2.slovenská liga,2024-09-10,Petržalka_FC,Humenné,2.0,1.0,1.48,3.77,5.66
Fotbal,2.slovenská liga,2024-09-13,Zlaté_Moravce,Žilina_B,4.0,0.0,1.21,5.61,11.3
Fotbal,2.slovenská liga,2024-09-14,St._Lubovna,Humenné,0.0,0.0,2.26,3.1,2.91
Fotbal,2.slovenská liga,2024-09-14,Púchov,Šamorín,,,1.68,3.57,4.18
Fotbal,2.slovenská liga,2024-09-14,Petržalka_FC,Liptovský_Mikuláš,,,1.82,3.49,3.6
Fotbal,2.slovenská liga,2024-09-14,Prešov,Považská_Bystrica,3.0,1.0,1.54,3.76,4.92
Fotbal,2.slovenská liga,2024-09-14,Zvolen,Pohronie_FK,3.0,3.0,2.74,3.15,2.35
Fotbal,2.slovenská liga,2024-09-15,Malženice,Slovan_Bratislava_B,,,2.04,3.45,3.02
Fotbal,2.slovenská liga,2024-09-20,Pohronie_FK,Zlaté_Moravce,2.0,0.0,3.63,3.59,1.79
Fotbal,2.slovenská liga,2024-09-21,Považská_Bystrica,Humenné,3.0,1.0,1.77,3.47,3.86
Fotbal,2.slovenská liga,2024-09-21,Liptovský_Mikuláš,Prešov,1.0,2.0,2.59,2.9,2.67
Fotbal,2.slovenská liga,2024-09-22,Malženice,St._Lubovna,,,1.79,3.36,3.91
Fotbal,2.slovenská liga,2024-09-22,Šamorín,Zvolen,3.0,1.0,1.52,3.86,4.95
Fotbal,2.slovenská liga,2024-09-22,Slovan_Bratislava_B,Púchov,3.0,2.0,2.41,3.38,2.52
Fotbal,2.slovenská liga,2024-09-22,Žilina_B,Petržalka_FC,0.0,1.0,3.79,3.89,1.69
Fotbal,2.slovenská liga,2024-09-21,Malženice,St._Lubovna,2.0,0.0,1.83,3.37,3.67
Fotbal,2.slovenská liga,2024-09-27,Zlaté_Moravce,Šamorín,1.0,2.0,1.36,4.32,6.6
Fotbal,2.slovenská liga,2024-09-28,Humenné,Liptovský_Mikuláš,1.0,1.0,2.33,3.03,2.86
Fotbal,2.slovenská liga,2024-09-28,St._Lubovna,Považská_Bystrica,1.0,1.0,2.66,3.06,2.48
Fotbal,2.slovenská liga,2024-09-28,Púchov,Malženice,1.0,3.0,1.65,3.65,4.26
Fotbal,2.slovenská liga,2024-09-28,Petržalka_FC,Pohronie_FK,,,1.73,3.6,3.88
Fotbal,2.slovenská liga,2024-09-28,Prešov,Žilina_B,2.0,0.0,1.22,5.51,10.0
Fotbal,2.slovenská liga,2024-09-28,Zvolen,Slovan_Bratislava_B,1.0,0.0,2.43,3.35,2.52
Fotbal,2.slovenská liga,2024-10-04,Pohronie_FK,Prešov,3.0,5.0,3.41,3.25,1.95
Fotbal,2.slovenská liga,2024-10-05,Púchov,St._Lubovna,1.0,0.0,1.66,3.62,4.25
Fotbal,2.slovenská liga,2024-10-05,Liptovský_Mikuláš,Považská_Bystrica,1.0,0.0,1.82,3.48,3.63
Fotbal,2.slovenská liga,2024-10-06,Malženice,Zvolen,4.0,0.0,1.65,3.6,4.38
