sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,2.srbská liga,2024-09-02,Vozdovac_Beograd,Sloven_Ruma,5.0,0.0,1.36,4.21,6.99
Fotbal,2.srbská liga,2024-09-07,Dubocica_Leskovac,Vozdovac_Beograd,0.0,3.0,4.36,3.04,1.8
Fotbal,2.srbská liga,2024-09-07,Sloven_Ruma,Zemun,1.0,1.0,2.33,2.7,3.23
Fotbal,2.srbská liga,2024-09-07,Trajal_Krusevac,Javor_Ivanjica,1.0,3.0,3.61,2.78,2.11
Fotbal,2.srbská liga,2024-09-07,Smederevo_1924,Radnički_Sremska_Mitrovica,2.0,0.0,1.72,3.08,4.74
Fotbal,2.srbská liga,2024-09-08,Radnik_Surdulica,Borac_Cacak,4.0,0.0,2.16,2.75,3.51
Fotbal,2.srbská liga,2024-09-08,Vršac_OFK,Mladost_Novi_Sad,1.0,1.0,3.1,2.52,2.57
Fotbal,2.srbská liga,2024-09-09,Mačva_Šabac,Grafičar_Beograd,2.0,0.0,1.81,3.07,4.25
Fotbal,2.srbská liga,2024-09-09,Sloboda_Užice,Indjija,0.0,2.0,2.31,2.7,3.27
Fotbal,2.srbská liga,2024-09-14,Vozdovac_Beograd,Smederevo_1924,0.0,1.0,1.43,3.83,6.46
Fotbal,2.srbská liga,2024-09-15,Grafičar_Beograd,Radnik_Surdulica,1.0,0.0,2.26,2.78,3.24
Fotbal,2.srbská liga,2024-09-15,Indjija,Trajal_Krusevac,1.0,2.0,1.47,3.64,6.01
Fotbal,2.srbská liga,2024-09-15,Radnički_Sremska_Mitrovica,Mačva_Šabac,0.0,1.0,4.05,2.71,2.02
Fotbal,2.srbská liga,2024-09-15,Zemun,Dubocica_Leskovac,1.0,4.0,1.54,3.51,5.44
Fotbal,2.srbská liga,2024-09-15,Javor_Ivanjica,Sloven_Ruma,0.0,0.0,1.28,4.64,9.14
Fotbal,2.srbská liga,2024-09-16,Mladost_Novi_Sad,Sloboda_Užice,1.0,0.0,1.66,3.04,5.33
Fotbal,2.srbská liga,2024-09-16,Borac_Cacak,Vršac_OFK,3.0,1.0,1.83,2.93,4.41
Fotbal,2.srbská liga,2024-09-21,Sloven_Ruma,Indjija,1.0,1.0,2.57,2.73,2.85
Fotbal,2.srbská liga,2024-09-21,Mačva_Šabac,Vozdovac_Beograd,3.0,1.0,2.26,2.59,3.55
Fotbal,2.srbská liga,2024-09-22,Borac_Cacak,Grafičar_Beograd,2.0,1.0,3.02,2.96,2.27
Fotbal,2.srbská liga,2024-09-23,Dubocica_Leskovac,Javor_Ivanjica,1.0,1.0,4.07,2.92,1.91
Fotbal,2.srbská liga,2024-09-23,Smederevo_1924,Zemun,1.0,1.0,1.68,3.09,5.03
Fotbal,2.srbská liga,2024-09-23,Vršac_OFK,Sloboda_Užice,1.0,0.0,2.28,2.66,3.38
Fotbal,2.srbská liga,2024-09-23,Radnik_Surdulica,Radnički_Sremska_Mitrovica,0.0,0.0,1.48,3.28,7.14
Fotbal,2.srbská liga,2024-09-23,Trajal_Krusevac,Mladost_Novi_Sad,0.0,1.0,3.08,2.62,2.49
Fotbal,2.srbská liga,2024-09-28,Grafičar_Beograd,Vršac_OFK,1.0,1.0,1.53,3.5,5.51
Fotbal,2.srbská liga,2024-09-28,Indjija,Dubocica_Leskovac,2.0,4.0,1.61,3.35,4.99
