sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,2.turecká liga,2024-09-02,Amed_SK,Kocaelispor_Izmet,3.0,0.0,2.86,2.82,2.48
Fotbal,2.turecká liga,2024-09-15,Adanaspor,Keciörengücü,,,2.88,3.14,2.26
Fotbal,2.turecká liga,2024-09-15,Bandirmaspor,Amed_SK,,,2.25,3.17,2.86
Fotbal,2.turecká liga,2024-09-15,Boluspor,Pendikspor,,,3.41,3.35,1.92
Fotbal,2.turecká liga,2024-09-15,Fatih_Karagümrük,Ankaragücü,3.0,2.0,2.79,3.11,2.34
Fotbal,2.turecká liga,2024-09-15,Genclerbirligi,Erzurumspor,1.0,0.0,2.15,2.86,3.38
Fotbal,2.turecká liga,2024-09-15,Igdir_Belediyespor,Erokspor,1.0,2.0,1.65,3.42,4.57
Fotbal,2.turecká liga,2024-09-15,Istanbulspor,Umraniyespor,,,1.73,3.53,3.96
Fotbal,2.turecká liga,2024-09-15,Kocaelispor_Izmet,Manisa_BBSK,1.0,2.0,1.82,3.19,3.98
Fotbal,2.turecká liga,2024-09-15,Sakaryaspor,Sanliurfaspor,,,1.86,3.26,3.7
Fotbal,2.turecká liga,2024-09-13,Boluspor,Pendikspor,1.0,2.0,3.41,3.26,1.95
Fotbal,2.turecká liga,2024-09-14,Bandirmaspor,Amed_SK,0.0,1.0,2.21,3.07,3.02
Fotbal,2.turecká liga,2024-09-14,Malatyaspor,Corum_Belediyespor,0.0,4.0,7.69,4.44,1.32
Fotbal,2.turecká liga,2024-09-14,Istanbulspor,Umraniyespor,3.0,0.0,1.9,3.4,3.4
Fotbal,2.turecká liga,2024-09-14,Sakaryaspor,Sanliurfaspor,2.0,0.0,1.9,3.23,3.62
Fotbal,2.turecká liga,2024-09-16,Adanaspor,Keciörengücü,1.0,1.0,2.97,3.08,2.23
Fotbal,2.turecká liga,2024-09-20,Erzurumspor,Erokspor,2.0,0.0,1.72,3.28,4.37
Fotbal,2.turecká liga,2024-09-20,Manisa_BBSK,Malatyaspor,5.0,1.0,1.15,7.23,12.5
Fotbal,2.turecká liga,2024-09-21,Pendikspor,Genclerbirligi,0.0,1.0,1.71,3.34,4.37
Fotbal,2.turecká liga,2024-09-21,Amed_SK,Boluspor,1.0,1.0,1.59,3.4,5.12
Fotbal,2.turecká liga,2024-09-21,Ankaragücü,Sakaryaspor,2.0,1.0,1.5,3.74,5.35
Fotbal,2.turecká liga,2024-09-22,Keciörengücü,Igdir_Belediyespor,2.0,0.0,2.62,3.0,2.56
Fotbal,2.turecká liga,2024-09-22,Umraniyespor,Adanaspor,5.0,2.0,1.55,3.66,5.0
Fotbal,2.turecká liga,2024-09-22,Corum_Belediyespor,Kocaelispor_Izmet,0.0,2.0,2.17,2.96,3.19
Fotbal,2.turecká liga,2024-09-22,Istanbulspor,Bandirmaspor,0.0,0.0,1.86,3.36,3.58
Fotbal,2.turecká liga,2024-09-23,Sanliurfaspor,Fatih_Karagümrük,1.0,3.0,2.58,3.24,2.43
Fotbal,2.turecká liga,2024-09-24,Erokspor,Malatyaspor,2.0,1.0,1.25,5.45,7.85
Fotbal,2.turecká liga,2024-09-28,Bandirmaspor,Ankaragücü,2.0,0.0,2.75,3.12,2.36
Fotbal,2.turecká liga,2024-09-28,Boluspor,Manisa_BBSK,2.0,0.0,2.86,2.98,2.36
Fotbal,2.turecká liga,2024-09-28,Genclerbirligi,Keciörengücü,0.0,1.0,2.05,2.98,3.46
Fotbal,2.turecká liga,2024-09-29,Erokspor,Pendikspor,4.0,0.0,3.61,3.48,1.82
Fotbal,2.turecká liga,2024-09-29,Sakaryaspor,Umraniyespor,1.0,3.0,2.17,3.14,3.03
Fotbal,2.turecká liga,2024-09-29,Adanaspor,Corum_Belediyespor,0.0,2.0,3.39,3.21,1.97
Fotbal,2.turecká liga,2024-09-29,Igdir_Belediyespor,Erzurumspor,,,1.7,3.38,4.34
Fotbal,2.turecká liga,2024-09-30,Fatih_Karagümrük,Istanbulspor,1.0,0.0,2.18,3.35,2.85
Fotbal,2.turecká liga,2024-09-30,Kocaelispor_Izmet,Sanliurfaspor,0.0,0.0,1.36,4.17,7.05
Fotbal,2.turecká liga,2024-09-27,Igdir_Belediyespor,Erzurumspor,1.0,2.0,1.89,2.98,4.02
Fotbal,2.turecká liga,2024-09-29,Malatyaspor,Amed_SK,2.0,4.0,14.2,6.9,1.15
Fotbal,2.turecká liga,2024-10-04,Corum_Belediyespor,Igdir_Belediyespor,0.0,0.0,2.14,3.07,3.14
Fotbal,2.turecká liga,2024-10-04,Erzurumspor,Boluspor,1.0,0.0,1.78,3.02,4.48
Fotbal,2.turecká liga,2024-10-05,Umraniyespor,Bandirmaspor,1.0,1.0,2.26,3.19,2.84
Fotbal,2.turecká liga,2024-10-05,Ankaragücü,Adanaspor,0.0,0.0,1.29,4.64,8.46
Fotbal,2.turecká liga,2024-10-06,Keciörengücü,Pendikspor,1.0,1.0,2.69,3.11,2.42
Fotbal,2.turecká liga,2024-10-06,Amed_SK,Erokspor,0.0,4.0,1.63,3.44,4.66
Fotbal,2.turecká liga,2024-10-06,Manisa_BBSK,Genclerbirligi,1.0,0.0,1.94,3.12,3.59
Fotbal,2.turecká liga,2024-10-06,Istanbulspor,Kocaelispor_Izmet,0.0,3.0,2.48,2.96,2.74
Fotbal,2.turecká liga,2024-10-06,Fatih_Karagümrük,Sakaryaspor,,,1.89,3.25,3.63
Fotbal,2.turecká liga,2024-10-05,Sanliurfaspor,Malatyaspor,3.0,0.0,1.11,7.91,17.1
Fotbal,2.turecká liga,2024-10-05,Fatih_Karagümrük,Sakaryaspor,4.0,0.0,1.82,3.32,3.79
Fotbal,2.turecká liga,2024-10-18,Malatyaspor,Ankaragücü,0.0,3.0,14.1,7.82,1.13
Fotbal,2.turecká liga,2024-10-19,Bandirmaspor,Fatih_Karagümrük,1.0,0.0,2.63,2.9,2.63
Fotbal,2.turecká liga,2024-10-19,Genclerbirligi,Amed_SK,1.0,1.0,2.46,2.76,2.96
Fotbal,2.turecká liga,2024-10-19,Adanaspor,Sanliurfaspor,1.0,4.0,2.45,3.01,2.73
Fotbal,2.turecká liga,2024-10-19,Kocaelispor_Izmet,Umraniyespor,1.0,0.0,1.61,3.56,4.68
Fotbal,2.turecká liga,2024-10-20,Pendikspor,Erzurumspor,0.0,0.0,2.01,3.01,3.53
Fotbal,2.turecká liga,2024-10-20,Boluspor,Corum_Belediyespor,2.0,0.0,2.92,2.85,2.41
Fotbal,2.turecká liga,2024-10-20,Igdir_Belediyespor,Manisa_BBSK,1.0,0.0,2.04,3.23,3.21
Fotbal,2.turecká liga,2024-10-20,Sakaryaspor,Istanbulspor,3.0,1.0,2.72,3.11,2.4
Fotbal,2.turecká liga,2024-10-21,Erokspor,Keciörengücü,2.0,2.0,2.09,3.15,3.16
Fotbal,2.turecká liga,2024-10-25,Fatih_Karagümrük,Adanaspor,4.0,0.0,1.25,5.12,9.21
Fotbal,2.turecká liga,2024-10-27,Bandirmaspor,Sakaryaspor,3.0,2.0,1.82,3.31,3.81
Fotbal,2.turecká liga,2024-10-27,Amed_SK,Pendikspor,0.0,1.0,2.15,3.09,3.1
Fotbal,2.turecká liga,2024-10-27,Erzurumspor,Keciörengücü,4.0,0.0,1.86,3.04,4.04
Fotbal,2.turecká liga,2024-10-27,Istanbulspor,Boluspor,1.0,2.0,1.74,3.34,4.16
Fotbal,2.turecká liga,2024-10-27,Ankaragücü,Kocaelispor_Izmet,,,2.1,2.99,3.33
Fotbal,2.turecká liga,2024-10-27,Corum_Belediyespor,Genclerbirligi,,,2.02,3.06,3.43
Fotbal,2.turecká liga,2024-10-27,Sanliurfaspor,Igdir_Belediyespor,,,2.76,3.0,2.43
Fotbal,2.turecká liga,2024-10-27,Umraniyespor,Malatyaspor,,,1.1,8.56,15.8
Fotbal,2.turecká liga,2024-10-28,Manisa_BBSK,Erokspor,0.0,1.0,1.84,3.21,3.88
Fotbal,2.turecká liga,2024-10-26,Corum_Belediyespor,Genclerbirligi,1.0,0.0,2.28,2.87,3.09
Fotbal,2.turecká liga,2024-10-26,Umraniyespor,Malatyaspor,2.0,0.0,1.02,18.3,33.0
Fotbal,2.turecká liga,2024-10-26,Sanliurfaspor,Igdir_Belediyespor,3.0,3.0,2.34,3.05,2.84
Fotbal,2.turecká liga,2024-10-26,Ankaragücü,Kocaelispor_Izmet,4.0,2.0,2.19,2.92,3.2
Fotbal,2.turecká liga,2024-11-01,Boluspor,Umraniyespor,3.0,0.0,2.65,2.84,2.66
Fotbal,2.turecká liga,2024-11-02,Keciörengücü,Corum_Belediyespor,2.0,3.0,2.62,2.97,2.58
Fotbal,2.turecká liga,2024-11-02,Adanaspor,Bandirmaspor,0.0,1.0,4.38,3.56,1.65
Fotbal,2.turecká liga,2024-11-02,Erokspor,Sanliurfaspor,1.0,1.0,1.82,3.39,3.73
Fotbal,2.turecká liga,2024-11-02,Kocaelispor_Izmet,Fatih_Karagümrük,2.0,1.0,1.81,3.27,3.91
Fotbal,2.turecká liga,2024-11-03,Erzurumspor,Amed_SK,2.0,0.0,1.99,2.92,3.75
Fotbal,2.turecká liga,2024-11-03,Genclerbirligi,Istanbulspor,,,2.18,2.96,3.17
Fotbal,2.turecká liga,2024-11-03,Igdir_Belediyespor,Ankaragücü,1.0,0.0,2.71,2.99,2.48
Fotbal,2.turecká liga,2024-11-03,Pendikspor,Manisa_BBSK,,,1.85,3.29,3.71
Fotbal,2.turecká liga,2024-11-03,Malatyaspor,Sakaryaspor,0.0,2.0,12.3,6.8,1.16
Fotbal,2.turecká liga,2024-11-04,Genclerbirligi,Istanbulspor,2.0,1.0,1.89,3.24,3.64
Fotbal,2.turecká liga,2024-11-04,Pendikspor,Manisa_BBSK,1.0,0.0,1.91,3.02,3.86
Fotbal,2.turecká liga,2024-11-08,Ankaragücü,Erokspor,3.0,0.0,1.35,4.36,6.87
Fotbal,2.turecká liga,2024-11-08,Umraniyespor,Igdir_Belediyespor,0.0,1.0,3.0,2.9,2.32
Fotbal,2.turecká liga,2024-11-09,Istanbulspor,Adanaspor,0.0,0.0,1.39,4.23,6.22
Fotbal,2.turecká liga,2024-11-09,Amed_SK,Keciörengücü,0.0,0.0,1.68,3.35,4.49
Fotbal,2.turecká liga,2024-11-09,Fatih_Karagümrük,Malatyaspor,6.0,1.0,1.02,18.3,33.0
Fotbal,2.turecká liga,2024-11-09,Corum_Belediyespor,Pendikspor,1.0,0.0,2.31,3.05,2.87
Fotbal,2.turecká liga,2024-11-10,Bandirmaspor,Boluspor,2.0,0.0,1.95,3.06,3.66
Fotbal,2.turecká liga,2024-11-10,Sanliurfaspor,Genclerbirligi,3.0,1.0,3.21,2.87,2.22
Fotbal,2.turecká liga,2024-11-10,Manisa_BBSK,Erzurumspor,2.0,0.0,2.44,2.76,2.99
Fotbal,2.turecká liga,2024-11-10,Sakaryaspor,Kocaelispor_Izmet,0.0,1.0,2.97,2.97,2.29
Fotbal,2.turecká liga,2024-11-22,Pendikspor,Umraniyespor,2.0,2.0,1.8,3.22,4.08
Fotbal,2.turecká liga,2024-11-24,Adanaspor,Sakaryaspor,1.0,1.0,3.21,3.2,2.05
Fotbal,2.turecká liga,2024-11-24,Boluspor,Sanliurfaspor,,,1.92,3.07,3.73
