sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,2.česká liga,2024-09-13,Vlašim,Slavia_Praha_B,,,2.27,3.69,2.83
Fotbal,2.česká liga,2024-09-13,Zlín,Jihlava,,,1.42,4.73,6.83
Fotbal,2.česká liga,2024-09-14,Vyškov,Chrudim_AFK,,,2.14,3.54,3.16
Fotbal,2.česká liga,2024-09-14,Líšeň_SK,Sparta_Praha_B,,,2.01,3.49,3.33
Fotbal,2.česká liga,2024-09-14,Táborsko,Varnsdorf,,,1.7,3.72,4.42
Fotbal,2.česká liga,2024-09-15,Olomouc_B,Opava,,,2.36,3.14,2.92
Fotbal,2.česká liga,2024-09-15,Žižkov_Viktoria,Ostrava_Baník_B,,,1.81,3.5,4.08
Fotbal,2.česká liga,2024-09-16,Prostějov,Brno,,,2.56,3.3,2.56
Fotbal,2.česká liga,2024-09-17,Varnsdorf,Chrudim_AFK,,,1.97,3.68,3.53
Fotbal,2.česká liga,2024-09-17,Zlín,Slavia_Praha_B,2.0,1.0,1.75,3.78,4.39
Fotbal,2.česká liga,2024-09-20,Opava,Prostějov,,,1.78,3.51,4.22
Fotbal,2.česká liga,2024-09-21,Chrudim_AFK,Táborsko,0.0,0.0,2.03,3.47,3.5
Fotbal,2.česká liga,2024-09-21,Sparta_Praha_B,Vyškov,1.0,0.0,2.28,3.46,2.95
Fotbal,2.česká liga,2024-09-21,Brno,Líšeň_SK,1.0,1.0,1.8,3.67,4.28
Fotbal,2.česká liga,2024-09-22,Ostrava_Baník_B,Zlín,0.0,1.0,3.35,3.45,2.09
Fotbal,2.česká liga,2024-09-22,Slavia_Praha_B,Žižkov_Viktoria,2.0,2.0,1.8,3.94,3.94
Fotbal,2.česká liga,2024-09-18,Varnsdorf,Chrudim_AFK,0.0,3.0,1.97,3.68,3.53
Fotbal,2.česká liga,2024-09-22,Varnsdorf,Olomouc_B,2.0,3.0,2.17,3.69,3.0
Fotbal,2.česká liga,2024-09-23,Jihlava,Vlašim,2.0,2.0,2.61,3.56,2.49
Fotbal,2.česká liga,2024-09-28,Žižkov_Viktoria,Opava,4.0,1.0,2.32,3.33,2.98
Fotbal,2.česká liga,2024-09-28,Zlín,Sparta_Praha_B,2.0,0.0,1.54,4.18,5.62
Fotbal,2.česká liga,2024-09-28,Líšeň_SK,Chrudim_AFK,0.0,2.0,2.11,3.12,3.66
Fotbal,2.česká liga,2024-09-28,Táborsko,Vyškov,0.0,0.0,2.0,3.2,3.97
Fotbal,2.česká liga,2024-09-28,Vlašim,Ostrava_Baník_B,,,1.72,3.52,4.54
Fotbal,2.česká liga,2024-09-28,Prostějov,Varnsdorf,1.0,1.0,1.97,3.7,3.49
Fotbal,2.česká liga,2024-09-29,Olomouc_B,Brno,4.0,1.0,2.44,3.4,2.76
Fotbal,2.česká liga,2024-09-29,Slavia_Praha_B,Jihlava,2.0,0.0,1.68,4.28,4.29
Fotbal,2.česká liga,2024-09-27,Vlašim,Ostrava_Baník_B,3.0,2.0,2.13,3.72,3.06
Fotbal,2.česká liga,2024-10-02,Líšeň_SK,Sparta_Praha_B,2.0,2.0,1.78,3.61,4.42
Fotbal,2.česká liga,2024-10-02,Vyškov,Chrudim_AFK,0.0,3.0,2.24,3.1,3.34
Fotbal,2.česká liga,2024-10-02,Olomouc_B,Opava,0.0,0.0,2.53,3.17,2.81
Fotbal,2.česká liga,2024-10-02,Táborsko,Varnsdorf,2.0,0.0,1.93,3.63,3.69
Fotbal,2.česká liga,2024-10-02,Žižkov_Viktoria,Ostrava_Baník_B,0.0,1.0,1.74,3.92,4.28
