sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,2.čínská liga,2024-09-06,Qingdao_Red_Lions,Shanghai_Jiading,0.0,0.0,1.61,3.38,4.97
Fotbal,2.čínská liga,2024-09-07,Heilongjiang_Lava_Spring,Shijiazhuang_Kungfu,0.0,1.0,3.15,2.87,2.25
Fotbal,2.čínská liga,2024-09-07,Jiangxi_Liansheng,Liaoning,1.0,1.0,5.01,3.89,1.51
Fotbal,2.čínská liga,2024-09-07,Yunnan_Yukun,Guangxi_Pingguo_Haliao,0.0,0.0,1.2,5.59,11.8
Fotbal,2.čínská liga,2024-09-08,Yanbian_Longding,Dalian_Zhixing,2.0,2.0,5.03,3.5,1.58
Fotbal,2.čínská liga,2024-09-08,Chongqing_Tongliang_Long,Foshan_Nanshi,1.0,1.0,1.17,6.14,13.5
Fotbal,2.čínská liga,2024-09-08,Suzhou_Dongwu,Nanjing_City,2.0,1.0,2.08,2.94,3.44
Fotbal,2.čínská liga,2024-09-08,Wuxi_Wugou,Guangzhou_Evergrande,1.0,4.0,3.98,3.35,1.77
Fotbal,2.čínská liga,2024-09-15,Dalian_Zhixing,Shijiazhuang_Kungfu,1.0,1.0,1.62,3.31,5.0
Fotbal,2.čínská liga,2024-09-15,Liaoning,Yanbian_Longding,2.0,1.0,1.61,3.57,4.66
Fotbal,2.čínská liga,2024-09-15,Chongqing_Tongliang_Long,Yunnan_Yukun,3.0,2.0,2.97,2.87,2.36
Fotbal,2.čínská liga,2024-09-15,Guangzhou_Evergrande,Suzhou_Dongwu,1.0,1.0,1.73,3.48,4.03
Fotbal,2.čínská liga,2024-09-15,Nanjing_City,Wuxi_Wugou,1.0,1.0,1.73,3.29,4.29
Fotbal,2.čínská liga,2024-09-16,Foshan_Nanshi,Guangxi_Pingguo_Haliao,1.0,1.0,3.68,3.05,1.95
Fotbal,2.čínská liga,2024-09-16,Qingdao_Red_Lions,Jiangxi_Liansheng,1.0,2.0,1.75,3.31,4.17
Fotbal,2.čínská liga,2024-09-16,Shanghai_Jiading,Heilongjiang_Lava_Spring,,,2.34,2.83,3.04
Fotbal,2.čínská liga,2024-09-17,Shanghai_Jiading,Heilongjiang_Lava_Spring,0.0,0.0,2.2,2.76,3.4
Fotbal,2.čínská liga,2024-09-21,Heilongjiang_Lava_Spring,Yanbian_Longding,0.0,1.0,2.43,2.85,2.89
Fotbal,2.čínská liga,2024-09-21,Guangxi_Pingguo_Haliao,Shanghai_Jiading,2.0,2.0,1.5,3.48,6.12
Fotbal,2.čínská liga,2024-09-21,Guangzhou_Evergrande,Dalian_Zhixing,2.0,0.0,2.28,3.28,2.74
Fotbal,2.čínská liga,2024-09-21,Yunnan_Yukun,Qingdao_Red_Lions,5.0,0.0,1.14,6.76,15.1
Fotbal,2.čínská liga,2024-09-22,Jiangxi_Liansheng,Nanjing_City,2.0,1.0,3.55,3.11,1.96
Fotbal,2.čínská liga,2024-09-22,Shijiazhuang_Kungfu,Liaoning,0.0,1.0,2.71,2.96,2.51
Fotbal,2.čínská liga,2024-09-22,Suzhou_Dongwu,Chongqing_Tongliang_Long,1.0,0.0,3.85,3.12,1.88
