sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,3.anglická liga,2024-09-07,Barnsley,Bristol_Rovers,2.0,1.0,1.56,4.08,5.01
Fotbal,3.anglická liga,2024-09-07,Wrexham,Shrewsbury,3.0,0.0,1.38,4.6,7.1
Fotbal,3.anglická liga,2024-09-07,Charlton,Rotherham,1.0,1.0,2.29,3.01,3.15
Fotbal,3.anglická liga,2024-09-14,Blackpool,Exeter,2.0,1.0,1.63,3.83,4.76
Fotbal,3.anglická liga,2024-09-14,Bolton,Huddersfield,0.0,4.0,2.23,3.27,3.02
Fotbal,3.anglická liga,2024-09-14,Bristol_Rovers,Wigan,0.0,4.0,2.11,3.24,3.28
Fotbal,3.anglická liga,2024-09-14,Crawley_Town,Stockport,1.0,1.0,4.22,3.81,1.71
Fotbal,3.anglická liga,2024-09-14,Mansfield,Cambridge,2.0,1.0,1.77,3.72,3.97
Fotbal,3.anglická liga,2024-09-14,Northampton,Wycombe,1.0,2.0,2.99,3.13,2.31
Fotbal,3.anglická liga,2024-09-14,Peterborough,Lincoln,1.0,1.0,2.09,3.41,3.18
Fotbal,3.anglická liga,2024-09-14,Reading,Leyton,0.0,1.0,1.83,3.49,3.96
Fotbal,3.anglická liga,2024-09-14,Rotherham,Burton,2.0,2.0,1.57,3.92,5.19
Fotbal,3.anglická liga,2024-09-14,Shrewsbury,Charlton,0.0,1.0,3.71,3.2,1.99
Fotbal,3.anglická liga,2024-09-14,Stevenage,Barnsley,3.0,0.0,2.83,3.21,2.38
Fotbal,3.anglická liga,2024-09-16,Birmingham,Wrexham,3.0,1.0,1.77,3.68,4.01
Fotbal,3.anglická liga,2024-09-21,Exeter,Stevenage,2.0,0.0,2.64,3.03,2.67
Fotbal,3.anglická liga,2024-09-21,Lincoln,Wigan,0.0,0.0,2.04,3.13,3.61
Fotbal,3.anglická liga,2024-09-21,Bolton,Reading,5.0,2.0,1.82,3.52,3.98
Fotbal,3.anglická liga,2024-09-21,Burton,Barnsley,1.0,2.0,3.85,3.81,1.78
Fotbal,3.anglická liga,2024-09-21,Charlton,Blackpool,1.0,2.0,2.42,3.19,2.79
Fotbal,3.anglická liga,2024-09-21,Huddersfield,Northampton,1.0,3.0,1.32,4.8,8.46
Fotbal,3.anglická liga,2024-09-21,Mansfield,Shrewsbury,2.0,1.0,1.72,3.67,4.35
Fotbal,3.anglická liga,2024-09-21,Peterborough,Bristol_Rovers,3.0,2.0,1.48,4.29,5.59
Fotbal,3.anglická liga,2024-09-21,Rotherham,Birmingham,0.0,2.0,3.22,3.51,2.04
Fotbal,3.anglická liga,2024-09-21,Stockport,Leyton,1.0,4.0,1.78,3.37,4.43
Fotbal,3.anglická liga,2024-09-21,Wrexham,Crawley_Town,2.0,1.0,1.43,4.36,6.46
Fotbal,3.anglická liga,2024-09-21,Wycombe,Cambridge,2.0,1.0,1.6,3.77,5.08
Fotbal,3.anglická liga,2024-09-24,Huddersfield,Blackpool,0.0,2.0,1.87,3.63,3.65
Fotbal,3.anglická liga,2024-09-24,Leyton,Peterborough,2.0,2.0,2.52,3.3,2.6
Fotbal,3.anglická liga,2024-09-24,Wigan,Stevenage,0.0,0.0,2.91,2.71,2.69
Fotbal,3.anglická liga,2024-09-28,Barnsley,Stockport,1.0,1.0,2.23,3.37,2.94
Fotbal,3.anglická liga,2024-09-28,Birmingham,Peterborough,3.0,2.0,1.47,4.35,5.72
Fotbal,3.anglická liga,2024-09-28,Blackpool,Burton,3.0,0.0,1.45,4.33,6.16
Fotbal,3.anglická liga,2024-09-28,Bristol_Rovers,Wycombe,1.0,2.0,3.46,3.35,2.01
Fotbal,3.anglická liga,2024-09-28,Cambridge,Lincoln,0.0,2.0,3.78,3.19,1.97
Fotbal,3.anglická liga,2024-09-28,Crawley_Town,Bolton,0.0,2.0,4.16,3.73,1.74
Fotbal,3.anglická liga,2024-09-28,Leyton,Wrexham,0.0,0.0,2.65,3.02,2.66
Fotbal,3.anglická liga,2024-09-28,Northampton,Mansfield,0.0,2.0,2.66,3.27,2.48
Fotbal,3.anglická liga,2024-09-28,Reading,Huddersfield,2.0,1.0,2.71,3.38,2.38
Fotbal,3.anglická liga,2024-09-28,Shrewsbury,Rotherham,1.0,1.0,3.57,3.2,2.03
Fotbal,3.anglická liga,2024-09-28,Stevenage,Charlton,1.0,0.0,2.39,2.96,3.03
Fotbal,3.anglická liga,2024-09-28,Wigan,Exeter,0.0,0.0,2.1,3.15,3.42
Fotbal,3.anglická liga,2024-10-01,Barnsley,Wycombe,2.0,2.0,2.18,3.39,3.02
Fotbal,3.anglická liga,2024-10-01,Birmingham,Huddersfield,1.0,0.0,1.58,3.88,5.07
Fotbal,3.anglická liga,2024-10-01,Blackpool,Lincoln,1.0,1.0,1.93,3.29,3.79
Fotbal,3.anglická liga,2024-10-01,Bristol_Rovers,Charlton,3.0,2.0,3.36,3.11,2.14
Fotbal,3.anglická liga,2024-10-01,Cambridge,Rotherham,0.0,1.0,3.65,3.31,1.96
Fotbal,3.anglická liga,2024-10-01,Crawley_Town,Mansfield,0.0,2.0,2.76,3.57,2.26
Fotbal,3.anglická liga,2024-10-01,Leyton,Exeter,0.0,1.0,1.96,3.24,3.78
Fotbal,3.anglická liga,2024-10-01,Northampton,Bolton,2.0,4.0,4.63,3.47,1.72
Fotbal,3.anglická liga,2024-10-01,Shrewsbury,Stockport,0.0,2.0,3.53,3.34,1.99
Fotbal,3.anglická liga,2024-10-01,Stevenage,Wrexham,1.0,0.0,2.48,2.83,3.05
Fotbal,3.anglická liga,2024-10-01,Wigan,Peterborough,3.0,0.0,2.03,3.4,3.35
Fotbal,3.anglická liga,2024-10-01,Reading,Burton,3.0,1.0,1.67,3.94,4.32
Fotbal,3.anglická liga,2024-10-05,Huddersfield,Barnsley,2.0,0.0,2.18,3.44,2.97
Fotbal,3.anglická liga,2024-10-05,Peterborough,Stevenage,2.0,1.0,2.31,3.13,2.99
Fotbal,3.anglická liga,2024-10-05,Bolton,Shrewsbury,2.0,2.0,1.39,4.47,7.23
