sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,3.argentinská liga,2024-09-02,Canuelas,Colegiales,0.0,2.0,4.66,2.89,1.79
Fotbal,3.argentinská liga,2024-09-02,Deportivo_Laferrere,Urquiza_UAI,,,2.1,2.7,3.79
Fotbal,3.argentinská liga,2024-09-02,Sacachispas,Acassuso,1.0,2.0,2.91,2.31,2.98
Fotbal,3.argentinská liga,2024-09-03,Ferrocarril_Midland,Flandria,0.0,1.0,1.96,2.67,4.36
Fotbal,3.argentinská liga,2024-09-03,Deportivo_Armenio,Argentino_Merlo,3.0,0.0,1.94,2.63,4.53
Fotbal,3.argentinská liga,2024-09-04,Fénix_CA,Villa_San_Carlos,0.0,0.0,2.39,2.51,3.4
Fotbal,3.argentinská liga,2024-09-07,Dock_Sud,Ferrocarril_Midland,2.0,3.0,2.5,2.72,2.95
Fotbal,3.argentinská liga,2024-09-07,Acassuso,Deportivo_Merlo,0.0,1.0,2.33,2.44,3.64
Fotbal,3.argentinská liga,2024-09-07,Argentino_Merlo,Comunicaciones,0.0,0.0,2.59,2.58,3.0
Fotbal,3.argentinská liga,2024-09-07,Sportivo_Italiano,Deportivo_Armenio,0.0,1.0,3.36,2.76,2.22
Fotbal,3.argentinská liga,2024-09-07,Urquiza_UAI,Canuelas,2.0,0.0,2.0,2.81,3.88
Fotbal,3.argentinská liga,2024-09-07,Villa_San_Carlos,Argentino_Quilmes,0.0,0.0,3.65,2.61,2.2
Fotbal,3.argentinská liga,2024-09-07,Excursionistas,Sacachispas,1.0,1.0,1.54,3.34,5.87
Fotbal,3.argentinská liga,2024-09-08,San_Martín_Burzaco,Deportivo_Laferrere,1.0,1.0,2.22,2.72,3.43
Fotbal,3.argentinská liga,2024-09-08,Liniers,Villa_Dálmine,1.0,0.0,2.3,2.47,3.68
Fotbal,3.argentinská liga,2024-09-08,Flandria,Fénix_CA,1.0,0.0,2.31,2.49,3.59
Fotbal,3.argentinská liga,2024-09-10,Colegiales,Los_Andes,2.0,0.0,1.75,2.85,5.1
Fotbal,3.argentinská liga,2024-09-11,Argentino_Quilmes,Sportivo_Italiano,1.0,0.0,1.9,2.74,4.48
Fotbal,3.argentinská liga,2024-09-14,Canuelas,San_Martín_Burzaco,1.0,0.0,2.17,2.63,3.7
Fotbal,3.argentinská liga,2024-09-14,Liniers,Argentino_Merlo,1.0,1.0,2.87,2.51,2.77
Fotbal,3.argentinská liga,2024-09-14,Deportivo_Merlo,Excursionistas,2.0,1.0,3.39,2.68,2.27
Fotbal,3.argentinská liga,2024-09-14,Deportivo_Armenio,Villa_San_Carlos,0.0,1.0,1.67,2.99,5.4
Fotbal,3.argentinská liga,2024-09-15,Ferrocarril_Midland,Colegiales,2.0,1.0,3.27,2.4,2.57
Fotbal,3.argentinská liga,2024-09-15,Los_Andes,Urquiza_UAI,0.0,2.0,1.9,2.85,4.25
Fotbal,3.argentinská liga,2024-09-15,Comunicaciones,Sportivo_Italiano,2.0,1.0,2.6,2.53,3.04
Fotbal,3.argentinská liga,2024-09-14,Villa_Dálmine,Sacachispas,1.0,0.0,1.66,2.89,5.82
Fotbal,3.argentinská liga,2024-09-16,Argentino_Quilmes,Flandria,,,1.81,2.88,4.62
Fotbal,3.argentinská liga,2024-09-16,Fénix_CA,Dock_Sud,0.0,0.0,2.87,2.58,2.7
Fotbal,3.argentinská liga,2024-09-17,Argentino_Quilmes,Flandria,2.0,1.0,1.84,2.77,4.68
Fotbal,3.argentinská liga,2024-09-21,Excursionistas,Deportivo_Laferrere,4.0,0.0,1.83,2.88,4.5
Fotbal,3.argentinská liga,2024-09-21,Colegiales,Fénix_CA,2.0,0.0,1.62,3.08,5.54
Fotbal,3.argentinská liga,2024-09-21,Acassuso,Canuelas,2.0,1.0,2.14,2.6,3.86
Fotbal,3.argentinská liga,2024-09-21,Argentino_Merlo,Villa_Dálmine,1.0,0.0,2.27,2.45,3.78
Fotbal,3.argentinská liga,2024-09-21,Dock_Sud,Argentino_Quilmes,1.0,0.0,3.53,2.6,2.25
Fotbal,3.argentinská liga,2024-09-21,Urquiza_UAI,Ferrocarril_Midland,1.0,1.0,3.19,2.58,2.45
Fotbal,3.argentinská liga,2024-09-22,San_Martín_Burzaco,Los_Andes,1.0,0.0,2.96,2.42,2.79
Fotbal,3.argentinská liga,2024-09-22,Sportivo_Italiano,Liniers,0.0,0.0,2.15,2.61,3.79
Fotbal,3.argentinská liga,2024-09-22,Flandria,Deportivo_Armenio,0.0,2.0,3.19,2.37,2.67
Fotbal,3.argentinská liga,2024-09-23,Sacachispas,Deportivo_Merlo,0.0,2.0,3.88,2.62,2.12
Fotbal,3.argentinská liga,2024-09-23,Villa_San_Carlos,Comunicaciones,0.0,1.0,3.26,2.51,2.47
Fotbal,3.argentinská liga,2024-09-25,Deportivo_Laferrere,Urquiza_UAI,0.0,1.0,2.89,2.69,2.58
Fotbal,3.argentinská liga,2024-09-28,Canuelas,Excursionistas,1.0,2.0,3.99,2.82,1.97
Fotbal,3.argentinská liga,2024-09-28,Liniers,Villa_San_Carlos,0.0,0.0,2.49,2.36,3.49
Fotbal,3.argentinská liga,2024-09-28,Deportivo_Armenio,Dock_Sud,3.0,2.0,1.89,2.71,4.6
Fotbal,3.argentinská liga,2024-09-28,Villa_Dálmine,Deportivo_Merlo,2.0,0.0,3.03,2.33,2.84
Fotbal,3.argentinská liga,2024-09-28,Ferrocarril_Midland,San_Martín_Burzaco,2.0,0.0,1.61,3.17,5.47
Fotbal,3.argentinská liga,2024-09-29,Argentino_Merlo,Sportivo_Italiano,5.0,1.0,2.21,2.59,3.65
Fotbal,3.argentinská liga,2024-09-29,Comunicaciones,Flandria,1.0,1.0,2.47,2.52,3.24
Fotbal,3.argentinská liga,2024-09-30,Fénix_CA,Urquiza_UAI,2.0,3.0,2.69,2.52,2.96
Fotbal,3.argentinská liga,2024-09-30,Argentino_Quilmes,Colegiales,2.0,0.0,2.57,2.51,3.11
Fotbal,3.argentinská liga,2024-10-04,Flandria,Liniers,2.0,0.0,2.09,2.63,3.95
Fotbal,3.argentinská liga,2024-10-05,Colegiales,Deportivo_Armenio,1.0,0.0,2.51,2.5,3.21
Fotbal,3.argentinská liga,2024-10-05,Sportivo_Italiano,Villa_Dálmine,0.0,1.0,2.55,2.42,3.27
Fotbal,3.argentinská liga,2024-10-05,San_Martín_Burzaco,Fénix_CA,2.0,0.0,2.86,2.6,2.7
Fotbal,3.argentinská liga,2024-10-05,Urquiza_UAI,Argentino_Quilmes,1.0,2.0,4.11,2.81,1.95
Fotbal,3.argentinská liga,2024-10-07,Dock_Sud,Comunicaciones,0.0,1.0,2.88,2.6,2.68
Fotbal,3.argentinská liga,2024-10-08,Excursionistas,Los_Andes,3.0,0.0,1.77,2.93,4.73
Fotbal,3.argentinská liga,2024-10-08,Villa_San_Carlos,Argentino_Merlo,0.0,1.0,2.35,2.56,3.38
Fotbal,3.argentinská liga,2024-10-12,Sportivo_Italiano,Villa_San_Carlos,4.0,0.0,1.9,2.76,4.43
Fotbal,3.argentinská liga,2024-10-12,Ferrocarril_Midland,Excursionistas,3.0,1.0,2.26,2.71,3.35
Fotbal,3.argentinská liga,2024-10-12,Deportivo_Armenio,Urquiza_UAI,4.0,1.0,1.48,3.42,6.54
Fotbal,3.argentinská liga,2024-10-13,Argentino_Quilmes,San_Martín_Burzaco,3.0,0.0,1.28,4.37,10.3
Fotbal,3.argentinská liga,2024-10-13,Argentino_Merlo,Flandria,0.0,2.0,2.28,2.56,3.55
Fotbal,3.argentinská liga,2024-10-13,Canuelas,Deportivo_Merlo,0.0,2.0,3.28,2.48,2.48
Fotbal,3.argentinská liga,2024-10-13,Liniers,Dock_Sud,0.0,0.0,2.98,2.54,2.64
Fotbal,3.argentinská liga,2024-10-13,Comunicaciones,Colegiales,1.0,2.0,3.22,2.5,2.5
Fotbal,3.argentinská liga,2024-10-19,San_Martín_Burzaco,Deportivo_Armenio,2.0,0.0,4.58,2.92,1.8
Fotbal,3.argentinská liga,2024-10-19,Deportivo_Merlo,Los_Andes,1.0,1.0,2.12,2.5,4.13
Fotbal,3.argentinská liga,2024-10-19,Flandria,Sportivo_Italiano,1.0,1.0,2.19,2.66,3.59
Fotbal,3.argentinská liga,2024-10-19,Urquiza_UAI,Comunicaciones,2.0,2.0,3.04,2.66,2.48
Fotbal,3.argentinská liga,2024-10-19,Villa_San_Carlos,Villa_Dálmine,0.0,1.0,2.78,2.4,3.0
Fotbal,3.argentinská liga,2024-10-20,Colegiales,Liniers,2.0,0.0,1.53,3.26,6.22
Fotbal,3.argentinská liga,2024-10-21,Dock_Sud,Argentino_Merlo,0.0,1.0,3.37,2.63,2.3
Fotbal,3.argentinská liga,2024-10-22,Excursionistas,Fénix_CA,3.0,1.0,1.5,3.51,5.97
Fotbal,3.argentinská liga,2024-10-20,Flandria,Sportivo_Italiano,1.0,1.0,2.19,2.66,3.59
Fotbal,3.argentinská liga,2024-10-25,Comunicaciones,San_Martín_Burzaco,2.0,0.0,1.62,3.18,5.34
Fotbal,3.argentinská liga,2024-10-26,Argentino_Merlo,Colegiales,2.0,1.0,3.04,2.51,2.63
Fotbal,3.argentinská liga,2024-10-26,Argentino_Quilmes,Excursionistas,1.0,1.0,1.76,3.01,4.61
Fotbal,3.argentinská liga,2024-10-26,Deportivo_Armenio,Acassuso,3.0,0.0,1.43,3.71,6.64
Fotbal,3.argentinská liga,2024-10-26,Los_Andes,Deportivo_Laferrere,1.0,0.0,2.29,2.61,3.43
Fotbal,3.argentinská liga,2024-10-27,Liniers,Urquiza_UAI,3.0,0.0,2.04,2.79,3.79
Fotbal,3.argentinská liga,2024-10-27,Sportivo_Italiano,Dock_Sud,2.0,0.0,2.34,2.67,3.27
Fotbal,3.argentinská liga,2024-10-27,Villa_Dálmine,Canuelas,2.0,1.0,1.81,2.75,4.95
Fotbal,3.argentinská liga,2024-10-27,Villa_San_Carlos,Flandria,3.0,0.0,2.27,2.6,3.49
Fotbal,3.argentinská liga,2024-10-27,Ferrocarril_Midland,Deportivo_Merlo,0.0,0.0,1.92,2.77,4.35
Fotbal,3.argentinská liga,2024-10-28,Fénix_CA,Sacachispas,0.0,1.0,2.45,2.58,3.2
Fotbal,3.argentinská liga,2024-11-02,San_Martín_Burzaco,Liniers,0.0,1.0,2.78,2.5,2.88
Fotbal,3.argentinská liga,2024-11-02,Canuelas,Los_Andes,1.0,0.0,3.15,2.7,2.38
Fotbal,3.argentinská liga,2024-11-02,Dock_Sud,Villa_San_Carlos,,,2.15,2.73,3.58
Fotbal,3.argentinská liga,2024-11-02,Flandria,Villa_Dálmine,,,1.83,2.92,4.43
Fotbal,3.argentinská liga,2024-11-03,Colegiales,Sportivo_Italiano,0.0,0.0,1.54,3.36,5.79
Fotbal,3.argentinská liga,2024-11-03,Excursionistas,Deportivo_Armenio,1.0,1.0,7.49,4.09,1.36
Fotbal,3.argentinská liga,2024-11-04,Deportivo_Merlo,Fénix_CA,1.0,0.0,1.21,5.47,11.1
Fotbal,3.argentinská liga,2024-11-04,Urquiza_UAI,Argentino_Merlo,1.0,4.0,3.37,2.74,2.23
Fotbal,3.argentinská liga,2024-11-04,Dock_Sud,Villa_San_Carlos,2.0,1.0,1.8,3.0,4.44
Fotbal,3.argentinská liga,2024-11-04,Flandria,Villa_Dálmine,0.0,0.0,1.86,2.76,4.61
Fotbal,3.argentinská liga,2024-11-09,Excursionistas,Ferrocarril_Midland,1.0,1.0,2.22,2.72,3.41
Fotbal,3.argentinská liga,2024-11-09,Los_Andes,Colegiales,0.0,0.0,3.34,2.49,2.44
Fotbal,3.argentinská liga,2024-11-10,Dock_Sud,Deportivo_Armenio,0.0,2.0,3.51,2.65,2.23
Fotbal,3.argentinská liga,2024-11-10,Argentino_Merlo,Argentino_Quilmes,0.0,1.0,3.8,2.49,2.23
Fotbal,3.argentinská liga,2024-11-16,Deportivo_Armenio,Dock_Sud,1.0,0.0,1.62,3.16,5.34
Fotbal,3.argentinská liga,2024-11-16,Colegiales,Los_Andes,2.0,0.0,1.72,2.8,5.55
Fotbal,3.argentinská liga,2024-11-17,Ferrocarril_Midland,Excursionistas,0.0,1.0,2.11,2.81,3.54
Fotbal,3.argentinská liga,2024-11-16,Argentino_Quilmes,Argentino_Merlo,,,1.78,2.93,4.66
Fotbal,3.argentinská liga,2024-11-17,Argentino_Quilmes,Argentino_Merlo,3.0,1.0,1.71,2.96,5.08
Fotbal,3.argentinská liga,2024-11-24,Excursionistas,Argentino_Quilmes,0.0,0.0,3.11,2.58,2.5
Fotbal,3.argentinská liga,2024-11-24,Los_Andes,Deportivo_Armenio,0.0,0.0,3.06,2.41,2.72
Fotbal,3.argentinská liga,2024-11-26,Los_Andes,Deportivo_Armenio,0.0,1.0,3.06,2.41,2.72
Fotbal,3.argentinská liga,2024-12-01,Argentino_Quilmes,Excursionistas,,,1.77,2.9,4.81
Fotbal,3.argentinská liga,2024-12-01,Deportivo_Armenio,Los_Andes,1.0,3.0,1.85,2.7,4.86
Fotbal,3.argentinská liga,2024-12-02,Argentino_Quilmes,Excursionistas,1.0,0.0,1.73,3.01,4.8
Fotbal,3.argentinská liga,2024-12-07,Los_Andes,Argentino_Quilmes,1.0,0.0,3.75,2.34,2.38
Fotbal,3.argentinská liga,2024-12-14,Argentino_Quilmes,Los_Andes,1.0,0.0,1.58,2.96,6.76
Fotbal,3.argentinská liga,2025-02-08,Deportivo_Armenio,Deportivo_Merlo,3.0,0.0,2.32,2.52,3.52
Fotbal,3.argentinská liga,2025-02-08,Flandria,Sportivo_Italiano,1.0,1.0,2.18,2.56,3.79
Fotbal,3.argentinská liga,2025-02-09,Argentino_Quilmes,Excursionistas,2.0,1.0,2.4,2.54,3.33
Fotbal,3.argentinská liga,2025-02-09,Comunicaciones,Dock_Sud,2.0,1.0,2.05,2.74,3.85
Fotbal,3.argentinská liga,2025-02-09,Liniers,Villa_San_Carlos,0.0,1.0,2.3,2.52,3.55
Fotbal,3.argentinská liga,2025-02-09,Fénix_CA,Urquiza_UAI,1.0,0.0,2.73,2.55,2.87
Fotbal,3.argentinská liga,2025-02-09,Villa_Dálmine,Ferrocarril_Midland,0.0,0.0,2.94,2.4,2.83
Fotbal,3.argentinská liga,2025-02-14,Urquiza_UAI,Flandria,0.0,2.0,2.36,2.56,3.37
Fotbal,3.argentinská liga,2025-02-15,Ferrocarril_Midland,Argentino_Quilmes,2.0,0.0,3.33,2.31,2.64
Fotbal,3.argentinská liga,2025-02-15,Sportivo_Italiano,Villa_Dálmine,0.0,0.0,2.87,2.29,3.06
Fotbal,3.argentinská liga,2025-02-15,Deportivo_Merlo,Comunicaciones,0.0,2.0,2.27,2.5,3.68
Fotbal,3.argentinská liga,2025-02-15,Excursionistas,Argentino_Merlo,0.0,0.0,2.15,2.83,3.41
Fotbal,3.argentinská liga,2025-02-15,Real_Pilar,Fénix_CA,5.0,1.0,1.81,2.86,4.68
Fotbal,3.argentinská liga,2025-02-18,Argentino_Quilmes,Sportivo_Italiano,0.0,0.0,1.99,2.57,4.49
Fotbal,3.argentinská liga,2025-02-18,Liniers,Deportivo_Merlo,0.0,2.0,3.83,2.62,2.13
Fotbal,3.argentinská liga,2025-02-18,Deportivo_Armenio,San_Martín_Burzaco,1.0,1.0,1.67,2.98,5.41
Fotbal,3.argentinská liga,2025-02-18,Flandria,Real_Pilar,0.0,1.0,2.72,2.43,3.03
Fotbal,3.argentinská liga,2025-02-18,Villa_Dálmine,Urquiza_UAI,0.0,1.0,2.23,2.54,3.7
Fotbal,3.argentinská liga,2025-02-19,Argentino_Merlo,Ferrocarril_Midland,1.0,2.0,2.65,2.42,3.14
Fotbal,3.argentinská liga,2025-02-19,Brown_de_Adrogué,Excursionistas,2.0,0.0,4.52,2.87,1.83
Fotbal,3.argentinská liga,2025-02-22,Real_Pilar,Villa_Dálmine,0.0,0.0,2.26,2.54,3.63
Fotbal,3.argentinská liga,2025-02-22,Ferrocarril_Midland,Brown_de_Adrogué,0.0,1.0,1.86,2.81,4.52
Fotbal,3.argentinská liga,2025-02-23,Urquiza_UAI,Argentino_Quilmes,2.0,2.0,4.28,2.83,1.9
Fotbal,3.argentinská liga,2025-02-23,Villa_San_Carlos,Flandria,2.0,1.0,2.61,2.49,3.08
Fotbal,3.argentinská liga,2025-02-23,Sportivo_Italiano,Argentino_Merlo,0.0,0.0,2.3,2.6,3.43
Fotbal,3.argentinská liga,2025-02-25,San_Martín_Burzaco,Comunicaciones,1.0,0.0,3.48,2.59,2.29
Fotbal,3.argentinská liga,2025-03-01,Argentino_Merlo,Urquiza_UAI,0.0,0.0,1.84,2.9,4.42
Fotbal,3.argentinská liga,2025-03-01,Argentino_Quilmes,Real_Pilar,2.0,0.0,2.4,2.53,3.35
Fotbal,3.argentinská liga,2025-03-01,Flandria,Dock_Sud,1.0,2.0,2.26,2.66,3.43
Fotbal,3.argentinská liga,2025-03-02,Liniers,San_Martín_Burzaco,5.0,0.0,2.75,2.49,2.93
Fotbal,3.argentinská liga,2025-03-02,Villa_Dálmine,Villa_San_Carlos,3.0,2.0,2.34,2.42,3.67
Fotbal,3.argentinská liga,2025-03-04,Comunicaciones,Deportivo_Armenio,0.0,1.0,2.02,2.59,4.32
Fotbal,3.argentinská liga,2025-03-08,Deportivo_Merlo,Flandria,0.0,0.0,2.4,2.56,3.29
Fotbal,3.argentinská liga,2025-03-08,Urquiza_UAI,Brown_de_Adrogué,2.0,1.0,2.96,2.65,2.55
Fotbal,3.argentinská liga,2025-03-08,Villa_San_Carlos,Argentino_Quilmes,2.0,2.0,3.21,2.6,2.42
Fotbal,3.argentinská liga,2025-03-08,Real_Pilar,Argentino_Merlo,3.0,1.0,2.12,2.59,3.92
Fotbal,3.argentinská liga,2025-03-09,Deportivo_Armenio,Liniers,0.0,1.0,1.86,2.84,4.47
Fotbal,3.argentinská liga,2025-03-09,Dock_Sud,Villa_Dálmine,1.0,1.0,2.83,2.45,2.88
Fotbal,3.argentinská liga,2025-03-09,Ferrocarril_Midland,Excursionistas,0.0,0.0,2.23,2.66,3.48
Fotbal,3.argentinská liga,2025-03-15,Villa_Dálmine,Deportivo_Merlo,0.0,2.0,2.74,2.32,3.18
Fotbal,3.argentinská liga,2025-03-16,Excursionistas,Sportivo_Italiano,2.0,0.0,1.67,2.9,5.62
Fotbal,3.argentinská liga,2025-03-16,Brown_de_Adrogué,Real_Pilar,0.0,0.0,2.67,2.5,2.99
Fotbal,3.argentinská liga,2025-03-16,Liniers,Comunicaciones,2.0,0.0,3.31,2.56,2.39
Fotbal,3.argentinská liga,2025-03-17,Argentino_Quilmes,Dock_Sud,2.0,1.0,2.02,2.72,4.0
Fotbal,3.argentinská liga,2025-03-17,Fénix_CA,San_Martín_Burzaco,1.0,2.0,2.84,2.42,2.9
Fotbal,3.argentinská liga,2025-03-19,Argentino_Merlo,Villa_San_Carlos,1.0,0.0,2.39,2.51,3.38
Fotbal,3.argentinská liga,2025-03-22,Sportivo_Italiano,Ferrocarril_Midland,0.0,1.0,2.8,2.44,2.93
Fotbal,3.argentinská liga,2025-03-22,Urquiza_UAI,Excursionistas,1.0,2.0,3.01,2.57,2.58
Fotbal,3.argentinská liga,2025-03-23,Deportivo_Merlo,Argentino_Quilmes,1.0,0.0,2.67,2.48,3.02
Fotbal,3.argentinská liga,2025-03-23,San_Martín_Burzaco,Flandria,1.0,0.0,2.71,2.49,2.96
Fotbal,3.argentinská liga,2025-03-23,Deportivo_Armenio,Fénix_CA,1.0,1.0,2.38,2.62,3.25
Fotbal,3.argentinská liga,2025-03-23,Dock_Sud,Argentino_Merlo,1.0,2.0,2.15,2.73,3.58
Fotbal,3.argentinská liga,2025-03-23,Villa_San_Carlos,Brown_de_Adrogué,2.0,1.0,3.26,2.55,2.43
Fotbal,3.argentinská liga,2025-03-29,Argentino_Merlo,Deportivo_Merlo,0.0,1.0,2.31,2.55,3.48
Fotbal,3.argentinská liga,2025-03-29,Fénix_CA,Comunicaciones,0.0,2.0,4.43,2.77,1.9
Fotbal,3.argentinská liga,2025-03-29,Flandria,Deportivo_Armenio,0.0,1.0,2.51,2.53,3.16
Fotbal,3.argentinská liga,2025-03-29,Villa_Dálmine,San_Martín_Burzaco,1.0,1.0,2.32,2.43,3.72
Fotbal,3.argentinská liga,2025-03-30,Brown_de_Adrogué,Dock_Sud,1.0,1.0,1.9,2.84,4.28
Fotbal,3.argentinská liga,2025-03-30,Excursionistas,Real_Pilar,0.0,0.0,2.33,2.63,3.32
Fotbal,3.argentinská liga,2025-03-30,Ferrocarril_Midland,Urquiza_UAI,3.0,0.0,1.78,2.83,4.91
Fotbal,3.argentinská liga,2025-04-05,Comunicaciones,Flandria,0.0,0.0,2.2,2.57,3.72
Fotbal,3.argentinská liga,2025-04-05,Liniers,Fénix_CA,1.0,0.0,1.57,3.19,5.86
Fotbal,3.argentinská liga,2025-04-05,Deportivo_Armenio,Villa_Dálmine,1.0,4.0,2.2,2.54,3.79
Fotbal,3.argentinská liga,2025-04-05,Villa_San_Carlos,Excursionistas,2.0,1.0,3.23,2.62,2.39
Fotbal,3.argentinská liga,2025-04-05,Real_Pilar,Ferrocarril_Midland,0.0,1.0,2.04,2.64,4.1
Fotbal,3.argentinská liga,2025-04-06,San_Martín_Burzaco,Argentino_Quilmes,2.0,0.0,3.36,2.63,2.31
Fotbal,3.argentinská liga,2025-04-06,Deportivo_Merlo,Brown_de_Adrogué,0.0,1.0,2.35,2.58,3.36
