sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,3.italská liga C A,2024-09-02,Arzignano_Valchiampo,Albinoleffe,1.0,1.0,2.07,2.75,3.79
Fotbal,3.italská liga C A,2024-09-07,Pro_Patria,FeralpiSalo_AC,0.0,0.0,2.94,2.83,2.41
Fotbal,3.italská liga C A,2024-09-07,Lecco,Lumezzane,1.0,1.0,1.94,2.99,3.8
Fotbal,3.italská liga C A,2024-09-07,Alcione,Renate,0.0,1.0,3.09,2.82,2.32
Fotbal,3.italská liga C A,2024-09-07,Atalanta_Bergamo_U23,Trento,1.0,1.0,2.04,2.95,3.53
Fotbal,3.italská liga C A,2024-09-07,Pergolettese,Clodiense,2.0,2.0,1.86,2.88,4.38
Fotbal,3.italská liga C A,2024-09-07,Virtus_Verona,Novara,1.0,0.0,2.94,2.61,2.61
Fotbal,3.italská liga C A,2024-09-07,Albinoleffe,Vicenza,1.0,1.0,4.81,3.05,1.72
Fotbal,3.italská liga C A,2024-09-08,Pro_Vercelli,Erminio,0.0,1.0,2.99,2.67,2.51
Fotbal,3.italská liga C A,2024-09-08,Triestina,Caldiero_Terme,0.0,1.0,1.57,3.58,4.96
Fotbal,3.italská liga C A,2024-09-08,Arzignano_Valchiampo,Padova,1.0,4.0,4.16,2.91,1.89
Fotbal,3.italská liga C A,2024-09-13,Renate,Erminio,1.0,0.0,2.58,2.59,2.99
Fotbal,3.italská liga C A,2024-09-13,Albinoleffe,Pergolettese,3.0,0.0,2.18,2.78,3.42
Fotbal,3.italská liga C A,2024-09-13,FeralpiSalo_AC,Virtus_Verona,1.0,0.0,1.55,3.35,5.7
Fotbal,3.italská liga C A,2024-09-14,Padova,Alcione,1.0,0.0,1.32,4.27,8.27
Fotbal,3.italská liga C A,2024-09-15,Caldiero_Terme,Pro_Vercelli,4.0,1.0,2.57,2.7,2.89
Fotbal,3.italská liga C A,2024-09-15,Clodiense,Lumezzane,1.0,1.0,2.68,2.62,2.85
Fotbal,3.italská liga C A,2024-09-15,Trento,Arzignano_Valchiampo,3.0,2.0,2.18,2.72,3.52
