sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,3.italská liga C B,2024-09-02,Ascoli,Pianese,1.0,0.0,1.45,3.87,5.93
Fotbal,3.italská liga C B,2024-09-02,Vis_Pesaro,Arezzo,3.0,0.0,3.28,2.82,2.21
Fotbal,3.italská liga C B,2024-09-07,Gubbio_1910,Ternana,0.0,0.0,2.89,2.75,2.52
Fotbal,3.italská liga C B,2024-09-07,Pineto,Arezzo,3.0,1.0,3.09,2.63,2.47
Fotbal,3.italská liga C B,2024-09-07,Rimini,Pescara,0.0,1.0,2.45,3.32,2.52
Fotbal,3.italská liga C B,2024-09-08,Pianese,Campobasso,2.0,0.0,3.3,2.97,2.12
Fotbal,3.italská liga C B,2024-09-08,Carpi,Perugia,2.0,0.0,3.13,3.05,2.15
Fotbal,3.italská liga C B,2024-09-08,Legnago_Salus,Vis_Pesaro,0.0,1.0,2.58,2.72,2.86
Fotbal,3.italská liga C B,2024-09-08,Spal,Lucchese,2.0,3.0,1.93,2.92,3.95
Fotbal,3.italská liga C B,2024-09-08,Pontedera,Sestri_Levante,4.0,1.0,1.75,3.24,4.28
Fotbal,3.italská liga C B,2024-09-09,Entella,Ascoli,2.0,1.0,2.85,2.69,2.62
Fotbal,3.italská liga C B,2024-09-13,Arezzo,Legnago_Salus,1.0,0.0,1.53,3.44,5.73
Fotbal,3.italská liga C B,2024-09-13,Entella,Carpi,1.0,1.0,1.64,3.25,4.99
Fotbal,3.italská liga C B,2024-09-14,Milan_AC_U23,Ascoli,0.0,2.0,3.76,3.12,1.9
Fotbal,3.italská liga C B,2024-09-14,Vis_Pesaro,Pontedera,2.0,0.0,2.74,2.96,2.48
Fotbal,3.italská liga C B,2024-09-14,Campobasso,Torres,0.0,1.0,3.13,2.9,2.24
Fotbal,3.italská liga C B,2024-09-14,Sestri_Levante,Spal,1.0,3.0,3.99,3.04,1.88
Fotbal,3.italská liga C B,2024-09-15,Perugia,Gubbio_1910,1.0,1.0,2.12,2.81,3.52
Fotbal,3.italská liga C B,2024-09-15,Ternana,Pineto,3.0,0.0,1.61,3.26,5.16
Fotbal,3.italská liga C B,2024-09-16,Pescara,Pianese,2.0,1.0,1.53,3.6,5.34
Fotbal,3.italská liga C B,2024-09-16,Lucchese,Rimini,2.0,2.0,2.05,2.93,3.52
Fotbal,3.italská liga C B,2024-09-15,Vis_Pesaro,Pontedera,2.0,0.0,2.74,2.96,2.48
