sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,3.italská liga C C,2024-09-02,Altamura,Foggia,0.0,2.0,3.07,2.81,2.34
Fotbal,3.italská liga C C,2024-09-02,Avellino,Giugliano,1.0,1.0,1.51,3.7,5.43
Fotbal,3.italská liga C C,2024-09-02,Cavese,Crotone,2.0,1.0,3.06,2.98,2.23
Fotbal,3.italská liga C C,2024-09-02,Catania_Calcio,Benevento,1.0,0.0,2.26,2.72,3.34
Fotbal,3.italská liga C C,2024-09-07,Juventus_U23,Catania_Calcio,1.0,3.0,3.1,2.92,2.24
Fotbal,3.italská liga C C,2024-09-07,Picerno,Casertana,0.0,0.0,1.92,2.97,3.91
Fotbal,3.italská liga C C,2024-09-07,Messina,Taranto,4.0,1.0,2.34,2.72,3.19
Fotbal,3.italská liga C C,2024-09-07,Crotone,Trapani,1.0,2.0,2.44,3.05,2.71
Fotbal,3.italská liga C C,2024-09-07,Turris_Neapolis,Latina,2.0,0.0,2.35,2.9,2.95
Fotbal,3.italská liga C C,2024-09-08,Sorrento,Altamura,2.0,1.0,2.06,2.78,3.74
Fotbal,3.italská liga C C,2024-09-08,Avellino,Audace_Cerignola,0.0,0.0,1.92,2.92,4.03
Fotbal,3.italská liga C C,2024-09-08,Benevento,Potenza,4.0,1.0,1.65,3.31,4.73
Fotbal,3.italská liga C C,2024-09-08,Foggia,Monopoli,1.0,4.0,1.7,3.11,4.78
Fotbal,3.italská liga C C,2024-09-08,Giugliano,Cavese,0.0,0.0,1.95,3.07,3.65
Fotbal,3.italská liga C C,2024-09-13,Potenza,Sorrento,1.0,0.0,2.13,2.88,3.4
Fotbal,3.italská liga C C,2024-09-13,Taranto,Trapani,0.0,0.0,5.71,3.76,1.48
Fotbal,3.italská liga C C,2024-09-14,Crotone,Messina,2.0,0.0,1.48,3.81,5.57
Fotbal,3.italská liga C C,2024-09-14,Monopoli,Juventus_U23,0.0,0.0,2.08,2.99,3.37
Fotbal,3.italská liga C C,2024-09-14,Casertana,Turris_Neapolis,0.0,0.0,1.61,3.33,5.02
Fotbal,3.italská liga C C,2024-09-14,Catania_Calcio,Picerno,0.0,0.0,1.74,3.04,4.69
Fotbal,3.italská liga C C,2024-09-15,Altamura,Benevento,0.0,2.0,4.47,3.41,1.67
Fotbal,3.italská liga C C,2024-09-15,Audace_Cerignola,Giugliano,3.0,1.0,1.8,3.18,4.1
Fotbal,3.italská liga C C,2024-09-15,Cavese,Avellino,1.0,1.0,3.32,2.95,2.12
Fotbal,3.italská liga C C,2024-09-16,Latina,Foggia,0.0,0.0,3.13,2.84,2.28
Fotbal,3.italská liga C C,2024-09-20,Messina,Casertana,2.0,2.0,2.61,2.65,2.9
