sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,3.norská liga - sk.2,2024-09-02,Tromsdalen,Valerengen_2,3,0,1.02,18.2,33.0
Fotbal,3.norská liga - sk.2,2024-09-07,Strindheim,Strommen,0,1,2.68,3.73,2.14
Fotbal,3.norská liga - sk.2,2024-09-07,Follo,Kjelsas,0,0,2.5,3.62,2.32
Fotbal,3.norská liga - sk.2,2024-09-07,Gjovik_Lyn,Eidsvold_TF,0,2,7.64,5.63,1.25
Fotbal,3.norská liga - sk.2,2024-09-08,Grorud,Alta,3,1,1.51,4.38,4.52
Fotbal,3.norská liga - sk.2,2024-09-08,Valerengen_2,Junkeren,2,5,6.33,5.41,1.3
Fotbal,3.norská liga - sk.2,2024-09-14,Eidsvold_TF,Grorud,2,4,2.15,3.88,2.59
Fotbal,3.norská liga - sk.2,2024-09-16,Stjordals_Blink,Valerengen_2,6,0,1.01,18.6,33.0
Fotbal,3.norská liga - sk.2,2024-09-21,Gjovik_Lyn,Grorud,1,2,8.28,5.71,1.23
Fotbal,3.norská liga - sk.2,2024-09-28,Gjovik_Lyn,Follo,0,4,4.58,4.18,1.52
Fotbal,3.norská liga - sk.2,2024-10-05,Follo,Strommen,2,1,2.56,3.32,2.4
Fotbal,3.norská liga - sk.2,2024-10-05,Junkeren,Eidsvold_TF,3,1,4.82,4.57,1.45
Fotbal,3.norská liga - sk.2,2024-10-05,Tromsdalen,Skeid,4,3,1.94,3.51,3.2
Fotbal,3.norská liga - sk.2,2024-10-06,Kjelsas,Alta,2,2,1.53,4.21,4.52
Fotbal,3.norská liga - sk.2,2024-10-07,Valerengen_2,Gjovik_Lyn,0,4,3.26,4.0,1.8
Fotbal,3.norská liga - sk.2,2024-10-11,Skeid,Stjordals_Blink,2,1,2.19,3.36,2.82
Fotbal,3.norská liga - sk.2,2024-10-19,Alta,Strindheim,5,1,1.52,4.27,4.56
Fotbal,3.norská liga - sk.2,2024-10-19,Eidsvold_TF,Tromsdalen,0,1,3.15,3.96,1.85
Fotbal,3.norská liga - sk.2,2024-10-19,Gjovik_Lyn,Kjelsas,0,3,7.94,5.33,1.26
Fotbal,3.norská liga - sk.2,2024-10-19,Grorud,Valerengen_2,3,1,1.01,18.9,33.0
Fotbal,3.norská liga - sk.2,2024-10-19,Skeid,Follo,6,0,1.27,5.28,7.61
Fotbal,3.norská liga - sk.2,2024-10-19,Stjordals_Blink,Junkeren,4,0,1.16,7.08,11.4
Fotbal,3.norská liga - sk.2,2024-10-26,Valerengen_2,Eidsvold_TF,1,6,11.7,7.23,1.16
Fotbal,3.norská liga - sk.2,2024-10-26,Follo,Grorud,2,2,3.2,4.08,1.81
Fotbal,3.norská liga - sk.2,2024-10-26,Junkeren,Alta,3,2,3.87,4.59,1.57
Fotbal,3.norská liga - sk.2,2024-10-26,Kjelsas,Strommen,1,4,1.81,3.7,3.44
Fotbal,3.norská liga - sk.2,2024-10-26,Strindheim,Gjovik_Lyn,5,0,1.28,5.13,7.26
Fotbal,3.norská liga - sk.2,2024-10-26,Tromsdalen,Stjordals_Blink,4,1,1.45,4.31,5.12
Fotbal,3.norská liga - sk.2,2025-03-29,Asker,Follo,2,2,2.42,3.64,2.38
Fotbal,3.norská liga - sk.2,2025-03-31,Alta,Levanger,4,3,2.94,3.87,1.95
Fotbal,3.norská liga - sk.2,2025-04-05,Eidsvold_TF,Grorud,1,2,2.01,3.77,2.88
Fotbal,3.norská liga - sk.2,2025-04-05,Follo,Strindheim,2,1,1.61,4.06,4.11
