sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,3.německá liga,2024-09-13,Sandhausen,Dortmund_(Am.),3.0,1.0,2.03,3.5,3.26
Fotbal,3.německá liga,2024-09-14,Rostock,Waldhof_Mannheim,1.0,1.0,2.07,3.44,3.2
Fotbal,3.německá liga,2024-09-14,München_1860,Dresden,2.0,3.0,2.97,3.41,2.19
Fotbal,3.německá liga,2024-09-14,Essen,Wehen_SV,0.0,3.0,2.36,3.53,2.64
Fotbal,3.německá liga,2024-09-14,Saarbrücken,Unterhaching,1.0,1.0,1.49,4.14,5.7
Fotbal,3.německá liga,2024-09-14,Stuttgart_(Am.),Ingolstadt,3.0,2.0,3.52,3.7,1.89
Fotbal,3.německá liga,2024-09-14,Osnabrück,Hannover_96_(Am.),1.0,1.0,1.72,3.91,4.06
Fotbal,3.německá liga,2024-09-15,Aue_Erzgebirge,Bielefeld,1.0,3.0,2.64,3.16,2.57
Fotbal,3.německá liga,2024-09-15,Verl_SC,Cottbus,0.0,3.0,1.95,3.5,3.5
Fotbal,3.německá liga,2024-09-15,Aachen,Viktoria_Köln,1.0,0.0,2.03,3.4,3.34
Fotbal,3.německá liga,2024-09-20,Unterhaching,Aue_Erzgebirge,2.0,2.0,3.41,3.55,1.96
Fotbal,3.německá liga,2024-09-21,Dresden,Rostock,1.0,1.0,1.62,3.75,4.99
Fotbal,3.německá liga,2024-09-21,Ingolstadt,Essen,2.0,2.0,1.67,4.04,4.21
Fotbal,3.německá liga,2024-09-21,Waldhof_Mannheim,Osnabrück,3.0,2.0,2.16,3.57,2.93
Fotbal,3.německá liga,2024-09-21,Wehen_SV,Sandhausen,1.0,3.0,1.97,3.51,3.41
Fotbal,3.německá liga,2024-09-21,Bielefeld,München_1860,0.0,1.0,1.68,3.75,4.5
Fotbal,3.německá liga,2024-09-22,Hannover_96_(Am.),Saarbrücken,1.0,3.0,3.56,3.75,1.86
Fotbal,3.německá liga,2024-09-21,Cottbus,Stuttgart_(Am.),4.0,0.0,2.02,3.69,3.14
Fotbal,3.německá liga,2024-09-22,Viktoria_Köln,Verl_SC,2.0,1.0,2.44,3.52,2.56
Fotbal,3.německá liga,2024-09-22,Dortmund_(Am.),Aachen,3.0,0.0,2.27,3.43,2.83
Fotbal,3.německá liga,2024-09-24,Aue_Erzgebirge,Wehen_SV,2.0,1.0,2.09,3.56,3.07
Fotbal,3.německá liga,2024-09-24,Rostock,Unterhaching,4.0,1.0,1.62,3.82,4.87
Fotbal,3.německá liga,2024-09-24,Sandhausen,Ingolstadt,4.0,3.0,2.85,3.58,2.2
Fotbal,3.německá liga,2024-09-24,Stuttgart_(Am.),Bielefeld,3.0,0.0,3.9,3.65,1.8
Fotbal,3.německá liga,2024-09-24,Osnabrück,Cottbus,2.0,5.0,1.82,3.79,3.68
Fotbal,3.německá liga,2024-09-25,Aachen,Waldhof_Mannheim,0.0,0.0,2.42,3.37,2.67
