sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,3.skotská liga,2024-09-14,Alloa,Caledonian_Thistle,2.0,2.0,2.53,2.88,2.92
Fotbal,3.skotská liga,2024-09-14,Annan_Athletic,Dumbarton,1.0,1.0,2.47,3.48,2.55
Fotbal,3.skotská liga,2024-09-14,Kelty_Hearts,Cove_Rangers,1.0,3.0,2.27,3.44,2.83
Fotbal,3.skotská liga,2024-09-14,Montrose,Stenhousehuir,3.0,0.0,2.2,3.31,3.04
Fotbal,3.skotská liga,2024-09-14,Queen_of_the_South,Arbroath,2.0,1.0,2.33,3.21,2.91
Fotbal,3.skotská liga,2024-09-21,Alloa,Kelty_Hearts,1.0,0.0,1.96,3.47,3.5
Fotbal,3.skotská liga,2024-09-21,Arbroath,Annan_Athletic,2.0,0.0,2.13,3.53,3.0
Fotbal,3.skotská liga,2024-09-21,Dumbarton,Montrose,0.0,1.0,1.92,3.56,3.54
Fotbal,3.skotská liga,2024-09-21,Caledonian_Thistle,Cove_Rangers,1.0,1.0,1.85,3.48,3.92
Fotbal,3.skotská liga,2024-09-21,Stenhousehuir,Queen_of_the_South,0.0,0.0,2.22,3.32,2.98
Fotbal,3.skotská liga,2024-09-28,Caledonian_Thistle,Stenhousehuir,0.0,0.0,1.63,3.73,4.9
Fotbal,3.skotská liga,2024-09-28,Kelty_Hearts,Annan_Athletic,3.0,0.0,2.03,3.47,3.29
Fotbal,3.skotská liga,2024-09-28,Montrose,Alloa,2.0,2.0,2.55,3.1,2.71
Fotbal,3.skotská liga,2024-09-28,Queen_of_the_South,Dumbarton,2.0,0.0,2.32,3.29,2.85
Fotbal,3.skotská liga,2024-09-28,Cove_Rangers,Arbroath,2.0,4.0,2.54,3.33,2.56
Fotbal,3.skotská liga,2024-10-05,Alloa,Cove_Rangers,0.0,2.0,1.82,3.69,3.78
Fotbal,3.skotská liga,2024-10-05,Annan_Athletic,Montrose,1.0,0.0,2.36,3.31,2.79
Fotbal,3.skotská liga,2024-10-05,Arbroath,Caledonian_Thistle,1.0,0.0,2.6,3.08,2.66
Fotbal,3.skotská liga,2024-10-05,Dumbarton,Stenhousehuir,1.0,3.0,1.8,3.63,3.94
Fotbal,3.skotská liga,2024-10-05,Queen_of_the_South,Kelty_Hearts,1.0,5.0,2.01,3.46,3.36
Fotbal,3.skotská liga,2024-10-19,Arbroath,Dumbarton,1.0,3.0,1.97,3.64,3.31
Fotbal,3.skotská liga,2024-10-19,Cove_Rangers,Queen_of_the_South,2.0,0.0,2.29,3.37,2.84
Fotbal,3.skotská liga,2024-10-19,Caledonian_Thistle,Annan_Athletic,1.0,0.0,1.63,3.73,4.91
Fotbal,3.skotská liga,2024-10-19,Kelty_Hearts,Montrose,0.0,2.0,1.97,3.39,3.55
Fotbal,3.skotská liga,2024-10-19,Stenhousehuir,Alloa,0.0,1.0,2.47,3.23,2.71
Fotbal,3.skotská liga,2024-10-26,Alloa,Arbroath,0.0,1.0,2.31,3.37,2.82
Fotbal,3.skotská liga,2024-10-26,Montrose,Cove_Rangers,0.0,2.0,2.74,2.97,2.61
Fotbal,3.skotská liga,2024-10-26,Stenhousehuir,Kelty_Hearts,2.0,1.0,2.26,3.33,2.93
Fotbal,3.skotská liga,2024-10-26,Annan_Athletic,Queen_of_the_South,1.0,0.0,2.96,3.24,2.27
Fotbal,3.skotská liga,2024-10-26,Dumbarton,Caledonian_Thistle,3.0,1.0,2.27,3.39,2.86
Fotbal,3.skotská liga,2024-11-02,Dumbarton,Cove_Rangers,0.0,3.0,2.38,3.52,2.63
Fotbal,3.skotská liga,2024-11-02,Alloa,Annan_Athletic,5.0,0.0,2.06,3.34,3.31
Fotbal,3.skotská liga,2024-11-02,Arbroath,Stenhousehuir,1.0,0.0,1.9,3.32,3.92
