sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,3.švédská liga - sever,2024-09-02,Hammarby_TFF,Stockholm_Internazionale,0,1,3.07,3.0,2.22
Fotbal,3.švédská liga - sever,2024-09-07,AFC_United,United_Nordic,0,2,5.15,4.44,1.43
Fotbal,3.švédská liga - sever,2024-09-07,Umea_FC,Sollentuna_United_FF,3,1,1.36,4.61,6.04
Fotbal,3.švédská liga - sever,2024-09-07,Stockholm_Internazionale,Örebro_Syrianska_BK,1,0,1.15,6.67,13.7
Fotbal,3.švédská liga - sever,2024-09-07,Karlbergs_BK,Täby_IS,2,2,1.83,3.68,3.39
Fotbal,3.švédská liga - sever,2024-09-08,Friska_Viljor,Stocksund,3,3,3.24,4.07,1.79
Fotbal,3.švédská liga - sever,2024-09-08,FBK_Karlstad,IF_Karlstad,1,1,3.07,3.66,1.95
Fotbal,3.švédská liga - sever,2024-09-08,Assyriska_Föreningen,Pitea,2,1,1.52,4.24,4.55
Fotbal,3.švédská liga - sever,2024-09-09,Vasalund_IF,Hammarby_TFF,3,0,2.32,3.01,2.89
Fotbal,3.švédská liga - sever,2024-09-13,Stocksund,Karlbergs_BK,0,1,2.15,3.85,2.62
Fotbal,3.švédská liga - sever,2024-09-13,Täby_IS,Stockholm_Internazionale,0,2,6.38,4.79,1.33
Fotbal,3.švédská liga - sever,2024-09-14,Sollentuna_United_FF,Assyriska_Föreningen,1,1,1.87,3.75,3.23
Fotbal,3.švédská liga - sever,2024-09-14,United_Nordic,Friska_Viljor,1,0,1.06,11.6,21.4
Fotbal,3.švédská liga - sever,2024-09-14,FBK_Karlstad,Vasalund_IF,1,2,3.34,3.51,1.89
Fotbal,3.švédská liga - sever,2024-09-14,Hammarby_TFF,IF_Karlstad,1,1,1.84,3.5,3.53
Fotbal,3.švédská liga - sever,2024-09-15,AFC_United,Umea_FC,3,1,2.92,3.7,2.01
Fotbal,3.švédská liga - sever,2024-09-15,Örebro_Syrianska_BK,Pitea,0,1,1.74,3.73,3.71
Fotbal,3.švédská liga - sever,2024-09-21,Stockholm_Internazionale,AFC_United,4,0,1.38,4.35,6.11
Fotbal,3.švédská liga - sever,2024-09-21,Vasalund_IF,Stocksund,6,2,1.42,4.32,5.44
Fotbal,3.švédská liga - sever,2024-09-21,Umea_FC,Hammarby_TFF,1,2,1.45,4.17,5.34
Fotbal,3.švédská liga - sever,2024-09-21,Karlbergs_BK,FBK_Karlstad,1,2,1.91,3.67,3.17
Fotbal,3.švédská liga - sever,2024-09-22,Assyriska_Föreningen,Friska_Viljor,1,2,1.3,4.94,7.11
Fotbal,3.švédská liga - sever,2024-09-22,Pitea,Sollentuna_United_FF,0,3,2.3,3.45,2.61
Fotbal,3.švédská liga - sever,2024-09-22,IF_Karlstad,Täby_IS,1,0,1.47,4.26,4.99
Fotbal,3.švédská liga - sever,2024-09-22,Örebro_Syrianska_BK,United_Nordic,0,1,5.75,4.43,1.39
Fotbal,3.švédská liga - sever,2024-09-27,Täby_IS,Assyriska_Föreningen,3,0,2.62,3.6,2.23
Fotbal,3.švédská liga - sever,2024-09-28,FBK_Karlstad,Stockholm_Internazionale,1,4,6.01,4.4,1.38
Fotbal,3.švédská liga - sever,2024-09-28,Stocksund,IF_Karlstad,4,1,2.43,3.67,2.36
Fotbal,3.švédská liga - sever,2024-09-28,Sollentuna_United_FF,Örebro_Syrianska_BK,3,3,1.91,3.54,3.26
Fotbal,3.švédská liga - sever,2024-09-29,Friska_Viljor,Hammarby_TFF,0,3,4.96,4.22,1.48
Fotbal,3.švédská liga - sever,2024-09-29,Karlbergs_BK,Umea_FC,2,2,3.76,3.94,1.69
Fotbal,3.švédská liga - sever,2024-09-29,AFC_United,Vasalund_IF,2,3,3.14,3.53,1.96
Fotbal,3.švédská liga - sever,2024-09-29,United_Nordic,Pitea,2,0,1.12,7.85,14.9
Fotbal,3.švédská liga - sever,2024-10-04,Sollentuna_United_FF,Karlbergs_BK,2,1,2.08,3.59,2.85
Fotbal,3.švédská liga - sever,2024-10-05,Vasalund_IF,Friska_Viljor,2,2,1.13,7.38,14.5
Fotbal,3.švédská liga - sever,2024-10-05,Örebro_Syrianska_BK,Täby_IS,2,2,2.09,3.48,2.9
Fotbal,3.švédská liga - sever,2024-10-05,Umea_FC,Stockholm_Internazionale,2,4,3.12,3.48,1.97
Fotbal,3.švédská liga - sever,2024-10-05,IF_Karlstad,United_Nordic,0,2,3.66,3.7,1.76
Fotbal,3.švédská liga - sever,2024-10-06,Pitea,FBK_Karlstad,2,3,2.48,3.44,2.41
Fotbal,3.švédská liga - sever,2024-10-06,Assyriska_Föreningen,AFC_United,1,1,1.96,3.66,3.04
