sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,4.německá liga - Nordost,2024-09-04,Jena,Erfurt,5.0,1.0,1.67,3.8,4.02
Fotbal,4.německá liga - Nordost,2024-09-10,Chemnitzer,Chemie_Leipzig,0.0,1.0,2.23,2.98,3.05
Fotbal,4.německá liga - Nordost,2024-09-10,Eilenburg_FC,Hertha_Berlin_(Am.),1.0,3.0,2.72,3.54,2.19
Fotbal,4.německá liga - Nordost,2024-09-10,Greifswalder_SC,Berliner_FC_Dynamo,1.0,2.0,2.0,3.39,3.14
Fotbal,4.německá liga - Nordost,2024-09-10,Luckenwalde_FSV,Hertha_Zehlendorf,0.0,3.0,2.12,3.7,2.74
Fotbal,4.německá liga - Nordost,2024-09-10,Viktoria_Berlin_BFC,Hallescher,1.0,0.0,3.69,3.64,1.76
Fotbal,4.německá liga - Nordost,2024-09-11,Altglienicke_VSG,Jena,4.0,2.0,2.74,3.6,2.15
Fotbal,4.německá liga - Nordost,2024-09-11,Lokomotive_Leipzig,Zwickau,3.0,2.0,1.59,3.79,4.52
Fotbal,4.německá liga - Nordost,2024-09-11,Plauen_FC,Meuselwitz_ZFC,2.0,3.0,2.77,3.55,2.15
Fotbal,4.německá liga - Nordost,2024-09-15,Hallescher,Luckenwalde_FSV,,,1.32,4.59,7.13
Fotbal,4.německá liga - Nordost,2024-09-15,Hertha_Berlin_(Am.),Viktoria_Berlin_BFC,,,2.37,3.4,2.55
Fotbal,4.německá liga - Nordost,2024-09-15,Hertha_Zehlendorf,Greifswalder_SC,,,3.16,3.87,1.86
Fotbal,4.německá liga - Nordost,2024-09-13,Hertha_Berlin_(Am.),Viktoria_Berlin_BFC,3.0,1.0,2.14,3.49,2.82
Fotbal,4.německá liga - Nordost,2024-09-13,Hallescher,Luckenwalde_FSV,1.0,0.0,1.35,4.52,6.49
Fotbal,4.německá liga - Nordost,2024-09-13,Hertha_Zehlendorf,Greifswalder_SC,0.0,2.0,3.53,3.91,1.74
Fotbal,4.německá liga - Nordost,2024-09-14,Babelsberg,Altglienicke_VSG,0.0,0.0,2.56,3.33,2.39
Fotbal,4.německá liga - Nordost,2024-09-14,Meuselwitz_ZFC,Erfurt,1.0,0.0,2.49,3.47,2.39
Fotbal,4.německá liga - Nordost,2024-09-14,Berliner_FC_Dynamo,Chemnitzer,0.0,0.0,1.75,3.38,4.05
Fotbal,4.německá liga - Nordost,2024-09-15,Chemie_Leipzig,Plauen_FC,1.0,1.0,1.38,4.25,6.43
Fotbal,4.německá liga - Nordost,2024-09-15,Zwickau,Eilenburg_FC,3.0,2.0,1.75,3.58,3.83
Fotbal,4.německá liga - Nordost,2024-09-15,Jena,Lokomotive_Leipzig,0.0,1.0,1.83,3.63,3.43
Fotbal,4.německá liga - Nordost,2024-09-20,Hallescher,Hertha_Berlin_(Am.),4.0,1.0,1.71,3.68,3.91
Fotbal,4.německá liga - Nordost,2024-09-20,Plauen_FC,Berliner_FC_Dynamo,1.0,3.0,5.64,4.28,1.42
Fotbal,4.německá liga - Nordost,2024-09-20,Viktoria_Berlin_BFC,Zwickau,,,2.24,3.44,2.7
Fotbal,4.německá liga - Nordost,2024-09-21,Chemnitzer,Hertha_Zehlendorf,0.0,0.0,1.68,3.7,4.04
Fotbal,4.německá liga - Nordost,2024-09-21,Luckenwalde_FSV,Greifswalder_SC,2.0,1.0,4.41,3.98,1.57
Fotbal,4.německá liga - Nordost,2024-09-21,Erfurt,Chemie_Leipzig,5.0,1.0,2.49,3.24,2.52
Fotbal,4.německá liga - Nordost,2024-09-22,Altglienicke_VSG,Meuselwitz_ZFC,0.0,0.0,1.6,3.98,4.26
Fotbal,4.německá liga - Nordost,2024-09-22,Eilenburg_FC,Jena,1.0,1.0,3.97,3.91,1.65
Fotbal,4.německá liga - Nordost,2024-09-22,Lokomotive_Leipzig,Babelsberg,2.0,1.0,1.73,3.51,3.98
Fotbal,4.německá liga - Nordost,2024-09-27,Babelsberg,Eilenburg_FC,2.0,2.0,1.58,3.72,4.63
Fotbal,4.německá liga - Nordost,2024-09-27,Hertha_Berlin_(Am.),Luckenwalde_FSV,2.0,1.0,1.62,3.84,4.25
Fotbal,4.německá liga - Nordost,2024-09-27,Zwickau,Hallescher,1.0,0.0,3.35,3.33,1.95
Fotbal,4.německá liga - Nordost,2024-09-28,Berliner_FC_Dynamo,Erfurt,1.0,1.0,1.55,4.05,4.52
Fotbal,4.německá liga - Nordost,2024-09-28,Jena,Viktoria_Berlin_BFC,2.0,0.0,1.5,4.1,4.85
Fotbal,4.německá liga - Nordost,2024-09-28,Greifswalder_SC,Chemnitzer,1.0,1.0,1.7,3.48,4.21
Fotbal,4.německá liga - Nordost,2024-09-29,Chemie_Leipzig,Altglienicke_VSG,0.0,3.0,2.98,3.41,2.07
Fotbal,4.německá liga - Nordost,2024-09-29,Hertha_Zehlendorf,Plauen_FC,1.0,1.0,1.81,3.83,3.35
Fotbal,4.německá liga - Nordost,2024-09-29,Meuselwitz_ZFC,Lokomotive_Leipzig,1.0,3.0,3.55,3.57,1.81
Fotbal,4.německá liga - Nordost,2024-10-02,Erfurt,Babelsberg,1.0,1.0,2.19,3.33,2.83
Fotbal,4.německá liga - Nordost,2024-10-04,Eilenburg_FC,Meuselwitz_ZFC,0.0,1.0,2.52,3.39,2.4
Fotbal,4.německá liga - Nordost,2024-10-04,Hertha_Berlin_(Am.),Zwickau,3.0,0.0,1.99,3.62,3.0
Fotbal,4.německá liga - Nordost,2024-10-05,Erfurt,Hertha_Zehlendorf,2.0,0.0,1.7,3.98,3.67
Fotbal,4.německá liga - Nordost,2024-10-05,Luckenwalde_FSV,Chemnitzer,0.0,2.0,2.85,3.03,2.34
Fotbal,4.německá liga - Nordost,2024-10-05,Hallescher,Jena,2.0,1.0,2.26,3.39,2.7
Fotbal,4.německá liga - Nordost,2024-10-06,Altglienicke_VSG,Berliner_FC_Dynamo,1.0,0.0,2.25,3.39,2.72
Fotbal,4.německá liga - Nordost,2024-10-06,Plauen_FC,Greifswalder_SC,2.0,0.0,4.62,4.19,1.52
Fotbal,4.německá liga - Nordost,2024-10-06,Viktoria_Berlin_BFC,Babelsberg,4.0,2.0,2.61,3.16,2.45
Fotbal,4.německá liga - Nordost,2024-10-06,Lokomotive_Leipzig,Chemie_Leipzig,2.0,0.0,1.7,3.46,4.26
Fotbal,4.německá liga - Nordost,2024-10-16,Viktoria_Berlin_BFC,Zwickau,0.0,0.0,2.18,3.39,2.81
Fotbal,4.německá liga - Nordost,2024-10-20,Chemie_Leipzig,Eilenburg_FC,,,1.56,3.76,4.76
Fotbal,4.německá liga - Nordost,2024-10-20,Jena,Hertha_Berlin_(Am.),,,1.63,3.93,4.11
Fotbal,4.německá liga - Nordost,2024-10-18,Chemie_Leipzig,Eilenburg_FC,2.0,1.0,1.62,3.65,4.49
Fotbal,4.německá liga - Nordost,2024-10-18,Jena,Hertha_Berlin_(Am.),0.0,2.0,1.57,4.05,4.35
Fotbal,4.německá liga - Nordost,2024-10-19,Hertha_Zehlendorf,Altglienicke_VSG,0.0,0.0,4.15,3.89,1.63
Fotbal,4.německá liga - Nordost,2024-10-19,Berliner_FC_Dynamo,Lokomotive_Leipzig,0.0,2.0,2.27,3.11,2.88
