sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,4.německá liga - Südwest,2024-09-07,Bahlinger_SC,Freiberg_SGV,1.0,3.0,2.46,3.31,2.51
Fotbal,4.německá liga - Südwest,2024-09-07,Homburg,Villingen,6.0,0.0,1.57,3.97,4.48
Fotbal,4.německá liga - Südwest,2024-09-07,Freiburg_Amat.,Hoffenheim_(Am.),1.0,5.0,2.84,3.6,2.09
Fotbal,4.německá liga - Südwest,2024-09-07,Fulda,FSV_Frankfurt,1.0,1.0,2.09,3.4,2.96
Fotbal,4.německá liga - Südwest,2024-09-07,Hessen_Kassel_KSV,Walldorf_Astoria_FC,1.0,4.0,2.28,3.43,2.65
Fotbal,4.německá liga - Südwest,2024-09-07,Stuttgarter_Kickers,Steinbach_TSV,5.0,1.0,1.83,3.35,3.73
Fotbal,4.německá liga - Südwest,2024-09-08,Trier,Offenbach,0.0,3.0,3.27,3.5,1.92
Fotbal,4.německá liga - Südwest,2024-09-13,Offenbach,Stuttgarter_Kickers,2.0,0.0,2.0,3.13,3.41
Fotbal,4.německá liga - Südwest,2024-09-14,Walldorf_Astoria_FC,Frankfurt_Eintracht_(Am.),1.0,2.0,1.78,3.69,3.55
Fotbal,4.německá liga - Südwest,2024-09-14,Villingen,Freiburg_Amat.,2.0,5.0,3.16,3.56,1.94
Fotbal,4.německá liga - Südwest,2024-09-14,Freiberg_SGV,Fulda,1.0,1.0,2.09,3.38,2.96
Fotbal,4.německá liga - Südwest,2024-09-14,FSV_Frankfurt,Trier,3.0,1.0,2.75,3.43,2.21
Fotbal,4.německá liga - Südwest,2024-09-14,Giessen,Homburg,0.0,2.0,3.53,3.46,1.85
Fotbal,4.německá liga - Südwest,2024-09-14,Steinbach_TSV,Mainz_Amat.,2.0,1.0,2.12,3.61,2.78
Fotbal,4.německá liga - Südwest,2024-09-15,Göppingen_SV,Hessen_Kassel_KSV,0.0,2.0,2.52,3.27,2.47
Fotbal,4.německá liga - Südwest,2024-09-15,Hoffenheim_(Am.),Bahlinger_SC,4.0,0.0,1.32,4.69,6.91
Fotbal,4.německá liga - Südwest,2024-09-20,Frankfurt_Eintracht_(Am.),Göppingen_SV,1.0,2.0,1.57,3.79,4.63
Fotbal,4.německá liga - Südwest,2024-09-20,Freiburg_Amat.,Bahlinger_SC,4.0,0.0,1.55,3.97,4.58
Fotbal,4.německá liga - Südwest,2024-09-20,Mainz_Amat.,Offenbach,4.0,2.0,4.04,3.71,1.68
