sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,4.německá liga - West,2024-09-07,Lotte_Sportfreunde,Oberhausen,1.0,4.0,3.22,3.65,1.9
Fotbal,4.německá liga - West,2024-09-13,Paderborn_(Am.),Gutersloh,1.0,2.0,2.0,3.55,3.03
Fotbal,4.německá liga - West,2024-09-13,Uerdingen,Oberhausen,0.0,1.0,4.46,4.17,1.54
Fotbal,4.německá liga - West,2024-09-13,Wiedenbrück_SC,Wuppertaler,0.0,0.0,2.57,3.46,2.33
Fotbal,4.německá liga - West,2024-09-14,Bocholt_FC,Duren,1.0,1.0,2.1,3.56,2.85
Fotbal,4.německá liga - West,2024-09-14,Eintracht_Hohkeppel,Türkspor_Dortmund,1.0,2.0,1.64,4.01,3.99
Fotbal,4.německá liga - West,2024-09-14,Fortuna_Köln,Duisburg,0.0,0.0,2.88,3.44,2.12
Fotbal,4.německá liga - West,2024-09-14,Rödinghausen_SV,Köln_(Am.),2.0,0.0,1.92,3.44,3.31
Fotbal,4.německá liga - West,2024-09-14,Schalke_04_Amat.,Mönchengladbach_(Am.),0.0,1.0,2.81,3.75,2.05
Fotbal,4.německá liga - West,2024-09-15,Düsseldorf_(Am.),Lotte_Sportfreunde,1.0,4.0,2.84,3.56,2.1
Fotbal,4.německá liga - West,2024-09-20,Türkspor_Dortmund,Paderborn_(Am.),3.0,7.0,2.74,3.65,2.13
Fotbal,4.německá liga - West,2024-09-20,Wuppertaler,Schalke_04_Amat.,1.0,0.0,1.97,3.56,3.09
Fotbal,4.německá liga - West,2024-09-21,Duren,Uerdingen,5.0,3.0,1.58,3.78,4.57
Fotbal,4.německá liga - West,2024-09-21,Mönchengladbach_(Am.),Rödinghausen_SV,1.0,1.0,2.54,3.39,2.39
Fotbal,4.německá liga - West,2024-09-21,Duisburg,Wiedenbrück_SC,3.0,1.0,1.39,4.2,6.27
Fotbal,4.německá liga - West,2024-09-21,Gutersloh,Düsseldorf_(Am.),0.0,2.0,1.98,3.47,3.15
Fotbal,4.německá liga - West,2024-09-21,Köln_(Am.),Bocholt_FC,4.0,5.0,2.12,3.54,2.81
Fotbal,4.německá liga - West,2024-09-21,Lotte_Sportfreunde,Fortuna_Köln,1.0,1.0,2.56,3.36,2.39
Fotbal,4.německá liga - West,2024-09-21,Oberhausen,Eintracht_Hohkeppel,1.0,0.0,1.45,4.29,5.21
Fotbal,4.německá liga - West,2024-09-27,Wiedenbrück_SC,Lotte_Sportfreunde,2.0,4.0,3.08,3.59,1.97
Fotbal,4.německá liga - West,2024-09-28,Bocholt_FC,Mönchengladbach_(Am.),2.0,4.0,2.27,3.49,2.62
Fotbal,4.německá liga - West,2024-09-28,Düsseldorf_(Am.),Türkspor_Dortmund,7.0,0.0,1.4,4.49,5.5
Fotbal,4.německá liga - West,2024-09-28,Fortuna_Köln,Gutersloh,1.0,1.0,1.5,4.19,4.73
Fotbal,4.německá liga - West,2024-09-28,Paderborn_(Am.),Oberhausen,3.0,1.0,2.99,3.68,1.98
Fotbal,4.německá liga - West,2024-09-28,Rödinghausen_SV,Wuppertaler,3.0,0.0,1.66,3.62,4.25
Fotbal,4.německá liga - West,2024-09-28,Uerdingen,Eintracht_Hohkeppel,2.0,1.0,2.49,3.44,2.41
Fotbal,4.německá liga - West,2024-09-28,Schalke_04_Amat.,Duisburg,1.0,2.0,4.17,3.96,1.62
Fotbal,4.německá liga - West,2024-09-29,Duren,Köln_(Am.),2.0,2.0,2.25,3.37,2.73
Fotbal,4.německá liga - West,2024-10-04,Gutersloh,Wiedenbrück_SC,3.0,1.0,1.88,3.51,3.39
Fotbal,4.německá liga - West,2024-10-05,Mönchengladbach_(Am.),Duren,5.0,0.0,1.66,3.64,4.23
Fotbal,4.německá liga - West,2024-10-05,Duisburg,Rödinghausen_SV,2.0,1.0,1.93,3.38,3.35
Fotbal,4.německá liga - West,2024-10-05,Eintracht_Hohkeppel,Paderborn_(Am.),1.0,1.0,2.66,3.57,2.22
Fotbal,4.německá liga - West,2024-10-05,Köln_(Am.),Uerdingen,1.0,1.0,1.52,4.0,4.78
Fotbal,4.německá liga - West,2024-10-05,Lotte_Sportfreunde,Schalke_04_Amat.,4.0,1.0,1.69,3.95,3.76
Fotbal,4.německá liga - West,2024-10-05,Wuppertaler,Bocholt_FC,1.0,5.0,2.67,3.33,2.31
Fotbal,4.německá liga - West,2024-10-06,Oberhausen,Düsseldorf_(Am.),2.0,1.0,1.45,4.36,5.01
Fotbal,4.německá liga - West,2024-10-11,Schalke_04_Amat.,Gutersloh,1.0,1.0,2.17,3.64,2.68
Fotbal,4.německá liga - West,2024-10-11,Wiedenbrück_SC,Türkspor_Dortmund,4.0,2.0,1.69,3.95,3.73
Fotbal,4.německá liga - West,2024-10-12,Duren,Wuppertaler,0.0,0.0,2.04,3.21,3.22
Fotbal,4.německá liga - West,2024-10-12,Düsseldorf_(Am.),Eintracht_Hohkeppel,1.0,2.0,2.56,3.47,2.34
Fotbal,4.německá liga - West,2024-10-12,Fortuna_Köln,Oberhausen,3.0,1.0,2.34,3.33,2.63
Fotbal,4.německá liga - West,2024-10-12,Rödinghausen_SV,Lotte_Sportfreunde,2.0,3.0,2.19,3.43,2.78
Fotbal,4.německá liga - West,2024-10-12,Uerdingen,Paderborn_(Am.),3.0,1.0,3.26,3.49,1.92
Fotbal,4.německá liga - West,2024-10-18,Wuppertaler,Köln_(Am.),1.0,2.0,3.42,3.61,1.84
Fotbal,4.německá liga - West,2024-10-19,Mönchengladbach_(Am.),Uerdingen,1.0,0.0,1.67,3.78,3.99
Fotbal,4.německá liga - West,2024-10-19,Duisburg,Duren,1.0,0.0,1.47,4.04,5.26
Fotbal,4.německá liga - West,2024-10-19,Eintracht_Hohkeppel,Fortuna_Köln,1.0,3.0,3.52,3.64,1.8
Fotbal,4.německá liga - West,2024-10-19,Gutersloh,Rödinghausen_SV,2.0,3.0,2.84,3.48,2.12
Fotbal,4.německá liga - West,2024-10-19,Lotte_Sportfreunde,Bocholt_FC,4.0,1.0,1.9,3.74,3.14
Fotbal,4.německá liga - West,2024-10-19,Oberhausen,Wiedenbrück_SC,3.0,1.0,1.52,4.08,4.69
Fotbal,4.německá liga - West,2024-10-19,Paderborn_(Am.),Düsseldorf_(Am.),1.0,1.0,1.62,3.96,4.12
Fotbal,4.německá liga - West,2024-10-25,Schalke_04_Amat.,Oberhausen,1.0,2.0,3.57,3.78,1.76
Fotbal,4.německá liga - West,2024-10-25,Mönchengladbach_(Am.),Wuppertaler,4.0,2.0,1.69,3.6,4.09
Fotbal,4.německá liga - West,2024-10-25,Köln_(Am.),Duisburg,1.0,1.0,2.98,3.44,2.06
Fotbal,4.německá liga - West,2024-10-26,Duren,Lotte_Sportfreunde,2.0,1.0,2.92,3.59,2.05
Fotbal,4.německá liga - West,2024-10-26,Bocholt_FC,Gutersloh,0.0,1.0,1.74,3.83,3.59
Fotbal,4.německá liga - West,2024-10-26,Fortuna_Köln,Paderborn_(Am.),1.0,3.0,1.77,3.52,3.79
Fotbal,4.německá liga - West,2024-10-26,Rödinghausen_SV,Türkspor_Dortmund,4.0,2.0,1.15,7.29,11.8
Fotbal,4.německá liga - West,2024-10-26,Wiedenbrück_SC,Eintracht_Hohkeppel,0.0,3.0,2.63,3.3,2.36
Fotbal,4.německá liga - West,2024-10-28,Uerdingen,Düsseldorf_(Am.),1.0,1.0,3.42,3.03,2.04
Fotbal,4.německá liga - West,2024-10-30,Bocholt_FC,Duisburg,2.0,4.0,3.5,3.6,1.82
