sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,Anglie - Conference,2024-09-07,Fylde,Yeovil,3.0,4.0,2.47,3.34,2.63
Fotbal,Anglie - Conference,2024-09-07,Gateshead,Barnet,2.0,0.0,2.49,3.79,2.39
Fotbal,Anglie - Conference,2024-09-07,Maidenhead_United,Dagenham_&_Redbridge,1.0,1.0,2.24,3.47,2.86
Fotbal,Anglie - Conference,2024-09-07,Altrincham,Ebbsfleet_United,4.0,0.0,1.88,3.46,3.78
Fotbal,Anglie - Conference,2024-09-07,Braintree_Town,Woking,0.0,0.0,2.9,2.98,2.48
Fotbal,Anglie - Conference,2024-09-07,Eastleigh,Tamworth,1.0,0.0,1.64,3.76,4.74
Fotbal,Anglie - Conference,2024-09-07,Hartlepool,Halifax,0.0,0.0,2.22,3.15,3.14
Fotbal,Anglie - Conference,2024-09-07,Oldham,Southend,1.0,1.0,2.13,3.17,3.31
Fotbal,Anglie - Conference,2024-09-07,Solihull,Forest_Green,0.0,1.0,3.54,3.58,1.91
Fotbal,Anglie - Conference,2024-09-07,Sutton_UTD,Boston_Utd.,0.0,3.0,1.43,4.3,6.45
Fotbal,Anglie - Conference,2024-09-07,Wealdstone,York,0.0,2.0,3.2,3.32,2.12
Fotbal,Anglie - Conference,2024-09-07,Aldershot,Rochdale,0.0,2.0,2.32,3.63,2.65
Fotbal,Anglie - Conference,2024-09-10,Barnet,Altrincham,2.0,1.0,1.53,4.32,5.01
Fotbal,Anglie - Conference,2024-09-10,Boston_Utd.,Hartlepool,1.0,2.0,3.43,3.38,2.01
Fotbal,Anglie - Conference,2024-09-10,Dagenham_&_Redbridge,Sutton_UTD,3.0,0.0,2.62,3.21,2.56
Fotbal,Anglie - Conference,2024-09-10,Ebbsfleet_United,Aldershot,0.0,0.0,2.99,3.64,2.1
Fotbal,Anglie - Conference,2024-09-10,Forest_Green,Fylde,3.0,0.0,1.45,4.28,6.18
Fotbal,Anglie - Conference,2024-09-10,Halifax,Oldham,1.0,1.0,2.87,2.9,2.56
Fotbal,Anglie - Conference,2024-09-10,Rochdale,Maidenhead_United,3.0,1.0,1.65,3.68,4.81
Fotbal,Anglie - Conference,2024-09-10,Southend,Eastleigh,2.0,0.0,1.86,3.52,3.79
Fotbal,Anglie - Conference,2024-09-10,Woking,Wealdstone,1.0,0.0,1.96,3.26,3.72
Fotbal,Anglie - Conference,2024-09-10,Yeovil,Solihull,0.0,1.0,2.2,3.28,3.07
Fotbal,Anglie - Conference,2024-09-10,York,Braintree_Town,2.0,1.0,1.64,3.6,5.03
Fotbal,Anglie - Conference,2024-09-14,Barnet,Braintree_Town,3.0,1.0,1.33,4.76,8.21
Fotbal,Anglie - Conference,2024-09-14,Boston_Utd.,Aldershot,1.0,1.0,2.91,3.51,2.19
Fotbal,Anglie - Conference,2024-09-14,Ebbsfleet_United,Hartlepool,1.0,0.0,3.07,3.19,2.24
Fotbal,Anglie - Conference,2024-09-14,Forest_Green,Wealdstone,2.0,2.0,1.42,4.33,6.73
Fotbal,Anglie - Conference,2024-09-14,Halifax,Eastleigh,3.0,1.0,2.13,3.25,3.24
Fotbal,Anglie - Conference,2024-09-14,Rochdale,Solihull,1.0,2.0,1.93,3.54,3.53
Fotbal,Anglie - Conference,2024-09-14,Southend,Sutton_UTD,1.0,3.0,1.9,3.47,3.72
Fotbal,Anglie - Conference,2024-09-14,Tamworth,Maidenhead_United,3.0,1.0,2.51,3.08,2.77
Fotbal,Anglie - Conference,2024-09-14,Woking,Oldham,1.0,3.0,3.19,3.1,2.22
Fotbal,Anglie - Conference,2024-09-14,Yeovil,Altrincham,0.0,0.0,2.33,3.38,2.79
Fotbal,Anglie - Conference,2024-09-14,York,Fylde,3.0,0.0,1.43,4.31,6.48
Fotbal,Anglie - Conference,2024-09-14,Dagenham_&_Redbridge,Gateshead,7.0,1.0,3.1,3.56,2.08
Fotbal,Anglie - Conference,2024-09-17,Fylde,Southend,2.0,1.0,3.29,3.4,2.05
Fotbal,Anglie - Conference,2024-09-21,Fylde,Woking,1.0,1.0,2.45,3.4,2.61
Fotbal,Anglie - Conference,2024-09-21,Aldershot,York,0.0,0.0,3.47,3.53,1.95
Fotbal,Anglie - Conference,2024-09-21,Altrincham,Boston_Utd.,2.0,2.0,1.81,3.6,3.91
Fotbal,Anglie - Conference,2024-09-21,Braintree_Town,Tamworth,0.0,1.0,2.23,3.1,3.17
Fotbal,Anglie - Conference,2024-09-21,Eastleigh,Rochdale,4.0,2.0,2.78,3.42,2.32
Fotbal,Anglie - Conference,2024-09-21,Gateshead,Forest_Green,0.0,2.0,2.24,3.51,2.83
Fotbal,Anglie - Conference,2024-09-21,Hartlepool,Dagenham_&_Redbridge,0.0,1.0,2.42,3.32,2.71
Fotbal,Anglie - Conference,2024-09-21,Maidenhead_United,Halifax,0.0,1.0,3.32,3.09,2.17
Fotbal,Anglie - Conference,2024-09-21,Oldham,Yeovil,1.0,0.0,1.85,3.32,4.09
Fotbal,Anglie - Conference,2024-09-21,Solihull,Southend,2.0,4.0,2.37,3.2,2.86
Fotbal,Anglie - Conference,2024-09-21,Sutton_UTD,Ebbsfleet_United,3.0,2.0,1.66,3.8,4.56
