sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,Anglie - Conference North,2024-09-03,Curzon_Ashton,Scunthorpe,0.0,1.0,3.6,3.1,1.95
Fotbal,Anglie - Conference North,2024-09-03,Kidderminster,Chester,1.0,1.0,1.8,3.21,4.06
Fotbal,Anglie - Conference North,2024-09-03,Brackley_Town,Chorley,0.0,2.0,2.06,3.05,3.35
Fotbal,Anglie - Conference North,2024-09-03,Darlington,Alfreton_Town,0.0,0.0,2.73,3.04,2.43
Fotbal,Anglie - Conference North,2024-09-03,Southport,Farsley,1.0,1.0,1.94,3.32,3.37
Fotbal,Anglie - Conference North,2024-09-03,Hereford,Needham_Market,0.0,1.0,1.36,4.38,6.65
Fotbal,Anglie - Conference North,2024-09-03,Radcliffe,Spennymoor_Town,2.0,4.0,2.99,3.35,2.09
Fotbal,Anglie - Conference North,2024-09-03,Rushall_Olympic,Marine,2.0,0.0,2.93,3.21,2.19
Fotbal,Anglie - Conference North,2024-09-03,Scarborough,Kings_Lynn,0.0,0.0,1.98,3.27,3.32
Fotbal,Anglie - Conference North,2024-09-03,South_Shields,Buxton,1.0,0.0,1.93,3.43,3.31
Fotbal,Anglie - Conference North,2024-09-03,Warrington_Town,Leamington,1.0,1.0,2.26,3.18,2.85
Fotbal,Anglie - Conference North,2024-09-07,Alfreton_Town,Scarborough,1.0,1.0,2.15,3.08,3.11
Fotbal,Anglie - Conference North,2024-09-07,Buxton,Rushall_Olympic,2.0,0.0,1.82,3.38,3.71
Fotbal,Anglie - Conference North,2024-09-07,Chester,South_Shields,1.0,0.0,1.73,3.46,4.06
Fotbal,Anglie - Conference North,2024-09-07,Chorley,Kidderminster,2.0,1.0,2.63,3.01,2.53
Fotbal,Anglie - Conference North,2024-09-07,Kings_Lynn,Curzon_Ashton,0.0,2.0,2.42,2.93,2.84
Fotbal,Anglie - Conference North,2024-09-07,Marine,Darlington,0.0,0.0,2.58,3.11,2.51
Fotbal,Anglie - Conference North,2024-09-07,Needham_Market,Farsley,0.0,1.0,2.33,3.04,2.86
Fotbal,Anglie - Conference North,2024-09-07,Peterborough_Sports,Brackley_Town,0.0,2.0,2.95,3.01,2.28
Fotbal,Anglie - Conference North,2024-09-07,Scunthorpe,Warrington_Town,1.0,1.0,1.26,5.05,8.72
Fotbal,Anglie - Conference North,2024-09-07,Southport,Radcliffe,2.0,2.0,2.21,3.41,2.76
Fotbal,Anglie - Conference North,2024-09-07,Spennymoor_Town,Hereford,0.0,0.0,1.95,3.32,3.34
Fotbal,Anglie - Conference North,2024-09-17,Oxford_City,Peterborough_Sports,1.0,3.0,2.18,3.18,2.96
Fotbal,Anglie - Conference North,2024-09-21,Brackley_Town,Marine,1.0,0.0,1.63,3.39,4.79
Fotbal,Anglie - Conference North,2024-09-21,Curzon_Ashton,Peterborough_Sports,1.0,1.0,1.91,3.26,3.55
Fotbal,Anglie - Conference North,2024-09-21,Darlington,Southport,3.0,0.0,2.03,3.15,3.31
Fotbal,Anglie - Conference North,2024-09-21,Farsley,Leamington,0.0,1.0,2.12,3.03,3.22
Fotbal,Anglie - Conference North,2024-09-21,Hereford,Kings_Lynn,0.0,0.0,1.96,3.2,3.44
Fotbal,Anglie - Conference North,2024-09-21,Kidderminster,Alfreton_Town,0.0,1.0,1.69,3.33,4.48
Fotbal,Anglie - Conference North,2024-09-21,Oxford_City,Needham_Market,3.0,0.0,1.94,3.28,3.42
Fotbal,Anglie - Conference North,2024-09-21,Rushall_Olympic,Chester,1.0,2.0,3.93,3.31,1.8
Fotbal,Anglie - Conference North,2024-09-21,Scarborough,Scunthorpe,1.0,0.0,3.7,3.23,1.87
Fotbal,Anglie - Conference North,2024-09-21,South_Shields,Chorley,3.0,3.0,2.61,3.2,2.43
Fotbal,Anglie - Conference North,2024-09-21,Warrington_Town,Spennymoor_Town,1.0,1.0,3.66,3.39,1.84
Fotbal,Anglie - Conference North,2024-09-24,Leamington,Oxford_City,4.0,1.0,2.42,3.08,2.71
Fotbal,Anglie - Conference North,2024-10-05,Alfreton_Town,Hereford,0.0,0.0,2.23,3.06,2.99
Fotbal,Anglie - Conference North,2024-10-05,Buxton,Curzon_Ashton,0.0,1.0,2.94,3.07,2.26
Fotbal,Anglie - Conference North,2024-10-05,Chester,Farsley,0.0,0.0,1.44,3.88,6.06
Fotbal,Anglie - Conference North,2024-10-05,Chorley,Warrington_Town,1.0,1.0,1.46,4.03,5.47
Fotbal,Anglie - Conference North,2024-10-05,Kings_Lynn,Darlington,2.0,1.0,2.34,2.87,3.0
Fotbal,Anglie - Conference North,2024-10-05,Leamington,Scarborough,1.0,1.0,2.83,3.07,2.33
Fotbal,Anglie - Conference North,2024-10-05,Marine,Radcliffe,1.0,0.0,2.24,3.25,2.82
Fotbal,Anglie - Conference North,2024-10-05,Needham_Market,South_Shields,3.0,0.0,3.1,3.25,2.08
Fotbal,Anglie - Conference North,2024-10-05,Peterborough_Sports,Rushall_Olympic,0.0,2.0,1.84,3.27,3.78
Fotbal,Anglie - Conference North,2024-10-05,Scunthorpe,Oxford_City,2.0,2.0,1.23,5.41,9.94
Fotbal,Anglie - Conference North,2024-10-05,Southport,Brackley_Town,0.0,0.0,3.09,3.0,2.2
Fotbal,Anglie - Conference North,2024-10-05,Spennymoor_Town,Kidderminster,1.0,1.0,2.54,3.07,2.58
Fotbal,Anglie - Conference North,2024-10-12,Chorley,Needham_Market,1.0,0.0,1.43,4.05,5.82
Fotbal,Anglie - Conference North,2024-10-12,Oxford_City,Alfreton_Town,,,3.42,3.29,1.93
Fotbal,Anglie - Conference North,2024-10-12,Radcliffe,Warrington_Town,1.0,2.0,1.93,3.45,3.27
Fotbal,Anglie - Conference North,2024-10-12,Southport,South_Shields,3.0,0.0,2.15,3.26,2.96
Fotbal,Anglie - Conference North,2024-10-12,Buxton,Hereford,1.0,2.0,2.89,3.22,2.21
Fotbal,Anglie - Conference North,2024-10-18,Farsley,Spennymoor_Town,0.0,3.0,4.1,3.23,1.79
Fotbal,Anglie - Conference North,2024-10-19,Alfreton_Town,Chorley,1.0,0.0,2.32,3.01,2.9
Fotbal,Anglie - Conference North,2024-10-19,Brackley_Town,Radcliffe,0.0,1.0,1.7,3.52,4.15
Fotbal,Anglie - Conference North,2024-10-19,Chester,Scunthorpe,0.0,0.0,2.92,2.91,2.37
Fotbal,Anglie - Conference North,2024-10-19,Curzon_Ashton,Hereford,1.0,2.0,2.23,3.13,2.93
Fotbal,Anglie - Conference North,2024-10-19,Kings_Lynn,Buxton,2.0,0.0,1.79,3.3,3.99
Fotbal,Anglie - Conference North,2024-10-19,Needham_Market,Kidderminster,0.0,3.0,4.78,3.51,1.6
Fotbal,Anglie - Conference North,2024-10-19,Peterborough_Sports,Marine,2.0,0.0,2.44,3.0,2.75
Fotbal,Anglie - Conference North,2024-10-19,Rushall_Olympic,Darlington,1.0,1.0,2.75,3.13,2.36
Fotbal,Anglie - Conference North,2024-10-19,Scarborough,Southport,1.0,2.0,1.7,3.42,4.27
Fotbal,Anglie - Conference North,2024-10-19,South_Shields,Leamington,1.0,0.0,1.96,3.23,3.41
Fotbal,Anglie - Conference North,2024-10-19,Warrington_Town,Oxford_City,0.0,2.0,2.15,3.36,2.88
Fotbal,Anglie - Conference North,2024-10-22,Alfreton_Town,Spennymoor_Town,0.0,1.0,2.34,3.0,2.87
Fotbal,Anglie - Conference North,2024-10-22,Chester,Buxton,0.0,1.0,1.6,3.53,4.8
Fotbal,Anglie - Conference North,2024-10-22,Chorley,Darlington,3.0,0.0,1.75,3.37,4.09
Fotbal,Anglie - Conference North,2024-10-22,Kidderminster,Marine,0.0,0.0,1.41,4.04,6.25
Fotbal,Anglie - Conference North,2024-10-22,Leamington,Southport,3.0,0.0,2.6,3.04,2.55
Fotbal,Anglie - Conference North,2024-10-22,Needham_Market,Brackley_Town,1.0,3.0,3.95,3.19,1.83
Fotbal,Anglie - Conference North,2024-10-22,Oxford_City,Kings_Lynn,1.0,3.0,2.45,3.16,2.62
Fotbal,Anglie - Conference North,2024-10-22,Scarborough,Curzon_Ashton,0.0,2.0,2.42,2.98,2.79
Fotbal,Anglie - Conference North,2024-10-22,Scunthorpe,Rushall_Olympic,3.0,0.0,1.34,4.4,6.97
Fotbal,Anglie - Conference North,2024-10-22,South_Shields,Radcliffe,0.0,1.0,2.06,3.46,2.98
Fotbal,Anglie - Conference North,2024-10-22,Warrington_Town,Hereford,2.0,0.0,3.31,3.23,1.99
Fotbal,Anglie - Conference North,2024-10-23,Farsley,Peterborough_Sports,3.0,0.0,2.84,3.0,2.37
Fotbal,Anglie - Conference North,2024-10-26,Brackley_Town,South_Shields,1.0,0.0,1.61,3.55,4.65
Fotbal,Anglie - Conference North,2024-10-26,Buxton,Needham_Market,7.0,1.0,1.75,3.36,4.11
Fotbal,Anglie - Conference North,2024-10-26,Curzon_Ashton,Chester,4.0,0.0,2.6,2.91,2.65
Fotbal,Anglie - Conference North,2024-10-26,Darlington,Warrington_Town,2.0,2.0,1.81,3.36,3.82
Fotbal,Anglie - Conference North,2024-10-26,Hereford,Farsley,3.0,0.0,1.52,3.7,5.22
Fotbal,Anglie - Conference North,2024-10-26,Kings_Lynn,Leamington,0.0,0.0,1.86,3.17,3.83
Fotbal,Anglie - Conference North,2024-10-26,Marine,Scarborough,0.0,1.0,2.49,3.1,2.61
