sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,Copa Argentina,2024-09-08,Boca_Juniors,Talleres,2.0,1.0,2.26,2.65,3.45
Fotbal,Copa Argentina,2024-09-19,Central_Córdoba_SdE,Temperley,2.0,1.0,2.02,2.71,4.03
Fotbal,Copa Argentina,2024-09-20,Talleres_Remedios,Huracán,0.0,1.0,4.86,2.92,1.75
Fotbal,Copa Argentina,2024-09-27,Velez_Sarsfield,Independiente,1.0,0.0,2.08,2.71,3.85
Fotbal,Copa Argentina,2024-10-24,Boca_Juniors,Gimnasia_L.P.,2.0,1.0,1.81,3.2,4.56
Fotbal,Copa Argentina,2024-10-25,Huracán,Central_Córdoba_SdE,1.0,2.0,2.13,2.44,4.82
Fotbal,Copa Argentina,2024-11-28,Boca_Juniors,Velez_Sarsfield,3.0,4.0,2.91,2.62,2.78
Fotbal,Copa Argentina,2024-12-12,Velez_Sarsfield,Central_Córdoba_SdE,0.0,1.0,1.9,2.83,4.29
Fotbal,Copa Argentina,2025-01-23,Boca_Juniors,Argentino_de_Monte_Maiz,5.0,0.0,1.15,6.66,14.1
Fotbal,Copa Argentina,2025-02-05,Lanus,General_Lamadrid,4.0,0.0,1.26,4.96,9.06
Fotbal,Copa Argentina,2025-02-06,Gimnasia_L.P.,Deportivo_Espanol,1.0,0.0,1.39,3.96,6.84
Fotbal,Copa Argentina,2025-02-12,San_Martín_Tucumán,Colon_Santa_Fe,1.0,0.0,2.96,2.49,2.71
Fotbal,Copa Argentina,2025-02-12,Gimnasia_Mendoza,Nueva_Chicago,2.0,0.0,3.27,2.58,2.4
Fotbal,Copa Argentina,2025-02-20,Defensa_y_Justicia,Racing_Córdoba,3.0,1.0,1.7,3.09,4.85
Fotbal,Copa Argentina,2025-02-25,Estudiantes,Sarmiento_de_la_Banda,2.0,1.0,1.24,4.91,10.5
Fotbal,Copa Argentina,2025-02-26,Velez_Sarsfield,Ferrocarril_Midland,1.0,0.0,1.3,4.37,8.77
Fotbal,Copa Argentina,2025-02-27,Independiente,Sportivo_Belgrano,2.0,0.0,1.19,5.46,14.9
Fotbal,Copa Argentina,2025-02-28,Godoy_Cruz,Excursionistas,,,1.31,4.23,8.95
Fotbal,Copa Argentina,2025-02-27,Godoy_Cruz,Excursionistas,0.0,1.0,1.38,3.91,7.29
Fotbal,Copa Argentina,2025-03-05,Deportivo_Riestra,San_Telmo,3.0,2.0,2.12,2.76,3.6
Fotbal,Copa Argentina,2025-03-05,Union_Santa_Fe,Colegiales,3.0,1.0,1.79,2.97,4.52
Fotbal,Copa Argentina,2025-03-12,Platense,Argentino_Quilmes,2.0,0.0,1.47,3.26,7.62
Fotbal,Copa Argentina,2025-03-13,Huracán,San_Martín_Formosa,2.0,1.0,1.29,4.33,9.78
Fotbal,Copa Argentina,2025-03-19,Aldosivi,Gimnasia_y_Tiro,2.0,1.0,1.96,2.65,4.41
Fotbal,Copa Argentina,2025-03-19,Talleres,Deportivo_Armenio,3.0,4.0,1.25,4.68,11.4
Fotbal,Copa Argentina,2025-03-20,River_Plate,Ciudad_de_Bolivar,2.0,0.0,1.07,9.15,25.6
Fotbal,Copa Argentina,2025-03-22,Tigre_Victoria,Berazategui,3.0,0.0,1.22,5.38,11.1
Fotbal,Copa Argentina,2025-03-23,Central_Córdoba_SdE,Quilmes,0.0,1.0,1.89,2.86,4.26
Fotbal,Copa Argentina,2025-03-23,Racing_Club,Deportivo_Santamarina,2.0,0.0,1.19,5.78,12.3
Fotbal,Copa Argentina,2025-03-23,San_Lorenzo,Sportivo_Las_Parejas,1.0,0.0,1.24,4.77,12.3
Fotbal,Copa Argentina,2025-03-26,San_Martín_San_Juan,Gimnasia_J.,1.0,0.0,2.33,2.54,3.46
Fotbal,Copa Argentina,2025-04-02,Banfield,Villa_Mitre_Bahia,1.0,0.0,1.45,3.57,6.66
Fotbal,Copa Argentina,2025-04-02,Atlético_Tucumán,Club_Atlético_All_Boys,2.0,1.0,1.83,2.59,5.29
Fotbal,Copa Argentina,2025-04-03,Instituto,Deportivo_Madryn,3.0,0.0,1.79,2.87,4.74
Fotbal,Copa Argentina,2025-04-04,Newell's,Kimberley_Mar_del_Plata,1.0,0.0,1.27,4.46,11.1
