sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,Copa Chile,2024-09-04,Imperial_Unido,Huachipato,1.0,2.0,8.6,5.51,1.24
Fotbal,Copa Chile,2024-09-05,Deportes_Iquique,Coquimbo_Unido,1.0,2.0,2.12,2.96,3.3
Fotbal,Copa Chile,2024-09-05,Palestino,Universidad_de_Chile,0.0,5.0,3.14,3.07,2.14
Fotbal,Copa Chile,2024-09-07,Magallanes_Deportivo,Colo_Colo,3.0,0.0,6.52,4.44,1.36
Fotbal,Copa Chile,2024-09-08,Coquimbo_Unido,Deportes_Iquique,1.0,0.0,2.24,3.13,2.91
Fotbal,Copa Chile,2024-09-10,Universidad_de_Chile,Palestino,0.0,1.0,1.45,3.94,5.7
Fotbal,Copa Chile,2024-10-09,Coquimbo_Unido,Universidad_de_Chile,0.0,0.0,3.45,2.68,2.23
Fotbal,Copa Chile,2024-10-09,Puerto_Montt,Huachipato,5.0,1.0,2.4,2.74,3.06
Fotbal,Copa Chile,2024-10-14,Universidad_de_Chile,Coquimbo_Unido,1.0,0.0,1.65,3.28,4.85
Fotbal,Copa Chile,2024-10-16,Huachipato,Puerto_Montt,1.0,0.0,1.23,5.22,10.0
Fotbal,Copa Chile,2024-10-24,Puerto_Montt,Atletico_Nublense,1.0,1.0,3.84,2.94,1.95
Fotbal,Copa Chile,2024-10-29,Colo_Colo,Magallanes_Deportivo,0.0,0.0,1.19,5.68,12.6
Fotbal,Copa Chile,2024-10-29,Atletico_Nublense,Puerto_Montt,2.0,1.0,1.43,3.92,6.16
Fotbal,Copa Chile,2024-11-14,Atletico_Nublense,Magallanes_Deportivo,2.0,1.0,2.2,3.0,3.09
Fotbal,Copa Chile,2024-11-17,Magallanes_Deportivo,Atletico_Nublense,1.0,1.0,2.02,3.05,3.44
Fotbal,Copa Chile,2024-11-20,Universidad_de_Chile,Atletico_Nublense,1.0,0.0,1.43,3.98,5.99
Fotbal,Copa Chile,2025-01-25,Cobresal,La_Serena,,,1.79,3.32,3.93
Fotbal,Copa Chile,2025-01-26,Huachipato,Deportes_Temuco,,,1.65,3.56,4.39
Fotbal,Copa Chile,2025-01-26,Deportes_Iquique,Antofagasta,2.0,4.0,1.54,3.88,4.8
Fotbal,Copa Chile,2025-01-26,Universidad_Católica,Everton,,,2.14,3.12,3.08
Fotbal,Copa Chile,2025-01-26,O'Higgins,Rangers_de_Talca,,,1.91,3.2,3.59
Fotbal,Copa Chile,2025-01-26,Atletico_Nublense,Curicó_Unido,,,1.8,3.33,3.89
Fotbal,Copa Chile,2025-01-27,Palestino,Audax_Italiano,0.0,2.0,1.69,3.4,4.39
Fotbal,Copa Chile,2025-01-27,Cobresal,La_Serena,1.0,2.0,1.81,3.31,3.86
Fotbal,Copa Chile,2025-01-28,San_Luis_de_Quillota,Union_La_Calera,0.0,1.0,3.28,3.21,2.02
Fotbal,Copa Chile,2025-01-29,Copiapó,Cobreloa,1.0,1.0,2.28,3.27,2.75
Fotbal,Copa Chile,2025-01-29,San_Marcos_Arica,Coquimbo_Unido,2.0,2.0,3.54,3.01,2.0
Fotbal,Copa Chile,2025-01-29,Recoleta,Universidad_de_Chile,1.0,6.0,5.91,4.13,1.42
Fotbal,Copa Chile,2025-01-31,Colo_Colo,Deportes_Limache,2.0,2.0,1.23,5.3,9.94
Fotbal,Copa Chile,2025-01-31,Universidad_de_Concepción,Atletico_Nublense,2.0,3.0,3.4,3.04,2.04
Fotbal,Copa Chile,2025-02-01,Union_La_Calera,Everton,1.0,0.0,3.2,3.18,2.06
Fotbal,Copa Chile,2025-02-01,Deportes_Temuco,O'Higgins,1.0,1.0,3.44,3.67,1.82
Fotbal,Copa Chile,2025-02-01,Unión_Espaňola,Palestino,1.0,2.0,2.98,3.52,2.04
Fotbal,Copa Chile,2025-02-02,San_Marcos_Arica,Cobresal,2.0,1.0,2.2,3.12,2.98
Fotbal,Copa Chile,2025-02-02,San_Luis_de_Quillota,Universidad_Católica,2.0,1.0,4.22,3.48,1.7
Fotbal,Copa Chile,2025-02-02,Coquimbo_Unido,La_Serena,1.0,1.0,1.99,3.07,3.53
Fotbal,Copa Chile,2025-02-02,Huachipato,Rangers_de_Talca,2.0,0.0,1.64,3.74,4.23
Fotbal,Copa Chile,2025-02-02,Copiapó,Deportes_Iquique,1.0,0.0,3.2,3.61,1.91
Fotbal,Copa Chile,2025-02-02,Cobreloa,Antofagasta,1.0,1.0,2.18,3.21,2.94
Fotbal,Copa Chile,2025-02-02,Santiago_Morning,Recoleta,,,2.55,2.96,2.67
Fotbal,Copa Chile,2025-02-03,Deportes_Santa_Cruz,Curicó_Unido,0.0,2.0,2.51,2.99,2.68
Fotbal,Copa Chile,2025-02-03,Universidad_de_Chile,Magallanes_Deportivo,0.0,1.0,1.42,4.22,5.74
Fotbal,Copa Chile,2025-02-03,Santiago_Wanderers,Colo_Colo,1.0,0.0,5.2,3.79,1.51
Fotbal,Copa Chile,2025-02-05,Deportes_Limache,Uniön_San_Felipe,1.0,1.0,1.95,3.26,3.4
Fotbal,Copa Chile,2025-02-07,Audax_Italiano,Unión_Espaňola,3.0,1.0,2.26,3.14,2.87
Fotbal,Copa Chile,2025-02-08,Everton,San_Luis_de_Quillota,1.0,0.0,1.51,3.91,5.0
Fotbal,Copa Chile,2025-02-08,Cobresal,Coquimbo_Unido,0.0,2.0,2.23,3.01,3.04
Fotbal,Copa Chile,2025-02-08,Rangers_de_Talca,Deportes_Temuco,1.0,0.0,1.7,3.31,4.42
Fotbal,Copa Chile,2025-02-08,Curicó_Unido,Universidad_de_Concepción,0.0,1.0,1.92,3.16,3.63
Fotbal,Copa Chile,2025-02-09,Atletico_Nublense,Deportes_Santa_Cruz,2.0,2.0,1.44,3.95,5.84
Fotbal,Copa Chile,2025-02-09,Antofagasta,Copiapó,,,2.17,2.94,3.23
Fotbal,Copa Chile,2025-02-09,La_Serena,San_Marcos_Arica,2.0,1.0,2.03,3.01,3.48
Fotbal,Copa Chile,2025-02-09,Deportes_Limache,Santiago_Wanderers,1.0,2.0,2.13,3.09,3.14
Fotbal,Copa Chile,2025-02-09,O'Higgins,Huachipato,0.0,0.0,2.6,2.92,2.64
Fotbal,Copa Chile,2025-02-10,Deportes_Iquique,Cobreloa,2.0,0.0,1.66,3.44,4.51
Fotbal,Copa Chile,2025-02-10,Santiago_Morning,Universidad_de_Chile,1.0,3.0,6.54,4.43,1.36
Fotbal,Copa Chile,2025-02-11,Universidad_Católica,Union_La_Calera,2.0,2.0,2.04,3.09,3.36
Fotbal,Copa Chile,2025-02-13,Colo_Colo,Uniön_San_Felipe,4.0,0.0,1.19,5.94,11.7
Fotbal,Copa Chile,2025-02-12,Copiapó,Antofagasta,4.0,0.0,2.41,3.18,2.65
Fotbal,Copa Chile,2025-02-16,Deportes_Santa_Cruz,Universidad_de_Concepción,0.0,3.0,2.71,2.98,2.49
Fotbal,Copa Chile,2025-02-16,Uniön_San_Felipe,Santiago_Wanderers,1.0,3.0,3.01,3.06,2.22
