sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,Copa do Brasil,2024-09-12,Corinthians,Juventude,3.0,1.0,1.48,3.85,6.59
Fotbal,Copa do Brasil,2024-09-12,Atlético_Paranaense,Vasco_da_Gama,2.0,1.0,1.64,3.6,4.99
Fotbal,Copa do Brasil,2024-09-13,Atlético_Mineiro,Sao_Paulo,0.0,0.0,2.28,2.75,3.52
Fotbal,Copa do Brasil,2024-09-13,Flamengo,Bahia,1.0,0.0,2.05,3.12,3.6
Fotbal,Copa do Brasil,2024-10-02,Flamengo,Corinthians,,,1.76,3.26,4.74
Fotbal,Copa do Brasil,2024-10-02,Atlético_Mineiro,Vasco_da_Gama,,,1.55,3.69,5.83
Fotbal,Copa do Brasil,2024-10-03,Atlético_Mineiro,Vasco_da_Gama,2.0,1.0,1.61,3.35,6.05
Fotbal,Copa do Brasil,2024-10-03,Flamengo,Corinthians,1.0,0.0,1.62,3.35,5.88
Fotbal,Copa do Brasil,2024-10-19,Vasco_da_Gama,Atlético_Mineiro,1.0,1.0,2.59,2.96,2.77
Fotbal,Copa do Brasil,2024-10-20,Corinthians,Flamengo,0.0,0.0,2.34,3.08,3.0
Fotbal,Copa do Brasil,2024-11-03,Flamengo,Atlético_Mineiro,3.0,1.0,1.67,3.27,5.46
Fotbal,Copa do Brasil,2024-11-10,Atlético_Mineiro,Flamengo,0.0,1.0,2.28,2.92,3.28
Fotbal,Copa do Brasil,2025-02-18,Tocantinópolis,Atlético_Mineiro,0.0,2.0,10.1,5.54,1.24
Fotbal,Copa do Brasil,2025-02-19,Uniao_Rondonopolis,Vasco_da_Gama,0.0,3.0,10.2,4.88,1.28
Fotbal,Copa do Brasil,2025-02-19,Tuna_Luso_Belem,Sampaio_Correa,1.0,0.0,2.87,2.84,2.6
Fotbal,Copa do Brasil,2025-02-19,Santa_Cruz_RN,Náutico_Capibaribe,0.0,4.0,5.37,3.72,1.58
Fotbal,Copa do Brasil,2025-02-19,Boavista_SC,CSA_Maceio,0.0,2.0,2.47,2.77,3.13
Fotbal,Copa do Brasil,2025-02-19,Sao_Raimundo_EC,Gremio,1.0,2.0,12.7,6.43,1.17
Fotbal,Copa do Brasil,2025-02-20,Porto_Velho,Cuiabá_EC,1.0,0.0,4.56,3.24,1.8
