sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,Divize B,2024-09-06,Slaný_SK,Hřebeč_SK,3.0,1.0,1.54,3.81,3.98
Fotbal,Divize B,2024-09-07,Sokolov_Baník,Meteor_Praha,2.0,1.0,1.9,3.41,2.87
Fotbal,Divize B,2024-09-07,Český_Brod,Březová,4.0,0.0,1.8,3.6,3.16
Fotbal,Divize B,2024-09-07,Ostrov,Mariánské_Lázně,1.0,2.0,2.21,3.31,2.43
Fotbal,Divize B,2024-09-07,Tempo_Praha,Přední_Kopanina,3.0,2.0,2.32,3.31,2.32
Fotbal,Divize B,2024-09-07,Karlovy_Vary_Slavia,Újezd_Praha_SK,0.0,2.0,2.18,3.55,2.44
Fotbal,Divize B,2024-09-08,Ústí_n._Labem_B,Neratovice,2.0,3.0,2.72,3.4,2.05
Fotbal,Divize B,2024-09-08,Admira_Praha_FK_B,Štětí,1.0,0.0,1.96,3.37,2.79
Fotbal,Divize B,2024-09-14,Březová,Tempo_Praha,,,2.32,3.31,2.32
Fotbal,Divize B,2024-09-14,Štětí,Přední_Kopanina,4.0,0.0,2.18,3.6,2.42
Fotbal,Divize B,2024-09-14,Újezd_Praha_SK,Český_Brod,0.0,0.0,1.66,3.66,3.42
Fotbal,Divize B,2024-09-21,Sokolov_Baník,Admira_Praha_FK_B,2.0,1.0,1.44,4.03,4.56
Fotbal,Divize B,2024-09-21,Ústí_n._Labem_B,Mariánské_Lázně,3.0,3.0,2.16,3.41,2.44
Fotbal,Divize B,2024-09-21,Český_Brod,Hřebeč_SK,1.0,1.0,1.66,3.66,3.43
Fotbal,Divize B,2024-09-21,Ostrov,Štětí,1.0,2.0,1.71,3.65,3.23
Fotbal,Divize B,2024-09-21,Přední_Kopanina,Březová,1.0,1.0,2.35,3.33,2.35
Fotbal,Divize B,2024-09-21,Slaný_SK,Meteor_Praha,0.0,4.0,1.88,3.7,2.88
Fotbal,Divize B,2024-09-21,Tempo_Praha,Újezd_Praha_SK,3.0,2.0,2.62,3.62,1.96
Fotbal,Divize B,2024-09-21,Karlovy_Vary_Slavia,Neratovice,1.0,3.0,2.5,3.4,2.2
Fotbal,Divize B,2024-09-25,Březová,Tempo_Praha,2.0,1.0,2.43,4.0,2.05
Fotbal,Divize B,2024-09-25,Meteor_Praha,Ústí_n._Labem_B,1.0,0.0,1.4,4.07,4.92
Fotbal,Divize B,2024-09-28,Štětí,Březová,1.0,1.0,1.9,3.8,2.78
Fotbal,Divize B,2024-09-28,Újezd_Praha_SK,Přední_Kopanina,2.0,0.0,1.62,3.76,3.58
Fotbal,Divize B,2024-09-28,Neratovice,Český_Brod,3.0,2.0,1.31,4.2,6.2
Fotbal,Divize B,2024-09-28,Mariánské_Lázně,Slaný_SK,2.0,1.0,2.0,3.7,2.64
Fotbal,Divize B,2024-09-28,Ostrov,Sokolov_Baník,2.0,2.0,2.77,3.7,1.93
Fotbal,Divize B,2024-09-29,Meteor_Praha,Karlovy_Vary_Slavia,4.0,0.0,1.51,3.89,4.11
Fotbal,Divize B,2024-09-29,Admira_Praha_FK_B,Ústí_n._Labem_B,2.0,1.0,2.06,3.36,2.62
Fotbal,Divize B,2024-09-29,Hřebeč_SK,Tempo_Praha,0.0,5.0,2.21,3.55,2.31
Fotbal,Divize B,2024-10-02,Hřebeč_SK,Karlovy_Vary_Slavia,2.0,1.0,1.99,3.62,2.59
Fotbal,Divize B,2024-10-02,Admira_Praha_FK_B,Ostrov,0.0,1.0,1.81,3.51,3.03
Fotbal,Divize B,2024-10-04,Karlovy_Vary_Slavia,Mariánské_Lázně,1.0,2.0,2.42,3.45,2.16
Fotbal,Divize B,2024-10-05,Březová,Újezd_Praha_SK,,,2.21,3.55,2.31
Fotbal,Divize B,2024-10-05,Sokolov_Baník,Štětí,0.0,1.0,1.57,3.78,3.85
Fotbal,Divize B,2024-10-05,Český_Brod,Meteor_Praha,0.0,1.0,3.17,3.52,1.76
Fotbal,Divize B,2024-10-05,Přední_Kopanina,Hřebeč_SK,1.0,0.0,1.91,3.5,2.79
Fotbal,Divize B,2024-10-05,Slaný_SK,Admira_Praha_FK_B,4.0,2.0,1.5,3.91,4.22
Fotbal,Divize B,2024-10-05,Tempo_Praha,Neratovice,1.0,2.0,2.44,3.65,2.07
Fotbal,Divize B,2024-10-06,Ústí_n._Labem_B,Ostrov,2.0,0.0,2.28,3.51,2.26
Fotbal,Divize B,2024-10-09,Neratovice,Slaný_SK,1.0,1.0,1.44,4.08,4.46
Fotbal,Divize B,2024-10-09,Mariánské_Lázně,Sokolov_Baník,2.0,1.0,2.16,3.63,2.33
Fotbal,Divize B,2024-10-12,Hřebeč_SK,Březová,3.0,0.0,1.96,3.62,2.63
Fotbal,Divize B,2024-10-12,Sokolov_Baník,Ústí_n._Labem_B,1.0,0.0,1.5,4.05,4.02
Fotbal,Divize B,2024-10-12,Štětí,Újezd_Praha_SK,2.0,0.0,2.32,3.31,2.32
Fotbal,Divize B,2024-10-12,Neratovice,Přední_Kopanina,0.0,0.0,1.3,4.28,6.17
Fotbal,Divize B,2024-10-12,Mariánské_Lázně,Český_Brod,1.0,2.0,1.54,3.86,3.99
Fotbal,Divize B,2024-10-12,Ostrov,Slaný_SK,2.0,2.0,2.48,3.59,2.06
Fotbal,Divize B,2024-10-13,Meteor_Praha,Tempo_Praha,3.0,4.0,1.47,3.92,4.43
Fotbal,Divize B,2024-10-19,Březová,Neratovice,2.0,7.0,3.35,4.01,1.62
Fotbal,Divize B,2024-10-19,Újezd_Praha_SK,Hřebeč_SK,2.0,1.0,1.53,4.02,3.88
Fotbal,Divize B,2024-10-19,Ústí_n._Labem_B,Štětí,1.0,2.0,2.46,3.62,2.07
Fotbal,Divize B,2024-10-19,Český_Brod,Admira_Praha_FK_B,2.0,1.0,1.52,3.72,4.27
Fotbal,Divize B,2024-10-19,Slaný_SK,Sokolov_Baník,2.0,2.0,1.71,3.64,3.27
Fotbal,Divize B,2024-10-19,Tempo_Praha,Mariánské_Lázně,0.0,1.0,2.11,3.55,2.43
Fotbal,Divize B,2024-10-19,Karlovy_Vary_Slavia,Ostrov,1.0,0.0,1.81,3.55,3.0
Fotbal,Divize B,2024-10-22,Březová,Újezd_Praha_SK,1.0,7.0,3.09,3.7,1.74
Fotbal,Divize B,2024-10-26,Sokolov_Baník,Karlovy_Vary_Slavia,1.0,2.0,1.66,3.86,3.27
Fotbal,Divize B,2024-10-26,Štětí,Hřebeč_SK,8.0,2.0,1.47,3.99,4.32
Fotbal,Divize B,2024-10-26,Mariánské_Lázně,Přední_Kopanina,2.0,1.0,1.45,4.01,4.52
Fotbal,Divize B,2024-10-26,Neratovice,Újezd_Praha_SK,0.0,3.0,1.44,4.03,4.56
Fotbal,Divize B,2024-10-26,Ostrov,Český_Brod,0.0,1.0,2.06,3.36,2.62
Fotbal,Divize B,2024-10-27,Meteor_Praha,Březová,2.0,1.0,1.13,5.23,10.8
Fotbal,Divize B,2024-10-27,Ústí_n._Labem_B,Slaný_SK,0.0,1.0,3.27,4.0,1.64
Fotbal,Divize B,2024-10-27,Admira_Praha_FK_B,Tempo_Praha,0.0,1.0,2.23,3.34,2.39
Fotbal,Divize B,2024-11-02,Hřebeč_SK,Neratovice,0.0,1.0,4.92,3.97,1.42
Fotbal,Divize B,2024-11-02,Březová,Mariánské_Lázně,2.0,3.0,3.98,3.82,1.54
Fotbal,Divize B,2024-11-02,Újezd_Praha_SK,Meteor_Praha,0.0,0.0,2.11,3.45,2.49
Fotbal,Divize B,2024-11-02,Přední_Kopanina,Admira_Praha_FK_B,1.0,1.0,1.76,3.51,3.18
Fotbal,Divize B,2024-11-02,Český_Brod,Sokolov_Baník,5.0,1.0,1.83,3.45,3.01
Fotbal,Divize B,2024-11-02,Slaný_SK,Štětí,2.0,1.0,1.74,3.74,3.06
Fotbal,Divize B,2024-11-02,Tempo_Praha,Ostrov,3.0,2.0,1.79,3.46,3.12
Fotbal,Divize B,2024-11-02,Karlovy_Vary_Slavia,Ústí_n._Labem_B,3.0,1.0,1.45,4.01,4.52
Fotbal,Divize B,2024-11-09,Sokolov_Baník,Tempo_Praha,2.0,3.0,1.92,3.62,2.71
Fotbal,Divize B,2024-11-09,Štětí,Neratovice,1.0,2.0,2.93,3.47,1.86
Fotbal,Divize B,2024-11-09,Ústí_n._Labem_B,Český_Brod,1.0,0.0,3.09,3.87,1.71
Fotbal,Divize B,2024-11-09,Mariánské_Lázně,Újezd_Praha_SK,2.0,3.0,2.01,3.5,2.61
Fotbal,Divize B,2024-11-09,Ostrov,Přední_Kopanina,1.0,1.0,1.84,3.59,2.89
Fotbal,Divize B,2024-11-09,Slaný_SK,Karlovy_Vary_Slavia,4.0,0.0,1.76,3.53,3.16
Fotbal,Divize B,2024-11-10,Meteor_Praha,Hřebeč_SK,4.0,0.0,1.22,4.57,7.73
Fotbal,Divize B,2024-11-10,Admira_Praha_FK_B,Březová,0.0,1.0,1.75,3.55,3.17
Fotbal,Divize B,2024-11-16,Hřebeč_SK,Mariánské_Lázně,0.0,0.0,3.04,3.7,1.76
Fotbal,Divize B,2024-11-16,Březová,Ostrov,0.0,2.0,1.71,3.85,3.09
