sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,Divize C,2024-09-07,Benešov,Horní_Ředice,4.0,2.0,1.33,4.17,5.88
Fotbal,Divize C,2024-09-07,Chrudim_AFK_B,Hrádek_nad_Nisou,3.0,1.0,1.32,4.25,5.84
Fotbal,Divize C,2024-09-07,Přepeře,Kosmonosy,2.0,1.0,1.55,3.81,3.93
Fotbal,Divize C,2024-09-07,Velké_Hamry,Brandýs_n._Labem,1.0,0.0,1.81,3.64,2.93
Fotbal,Divize C,2024-09-07,Dobrovice,Trutnov,3.0,2.0,2.01,3.36,2.7
Fotbal,Divize C,2024-09-07,Vysoké_Mýto,Police_nad_Metují,2.0,1.0,1.66,3.66,3.43
Fotbal,Divize C,2024-09-08,Nový_Bydžov,Hlinsko,3.0,2.0,1.75,3.55,3.17
Fotbal,Divize C,2024-09-08,Turnov,Slavia_Hradec_Králové,0.0,0.0,1.75,3.55,3.17
Fotbal,Divize C,2024-09-11,Kosmonosy,Nový_Bydžov,4.0,3.0,1.71,3.56,3.31
Fotbal,Divize C,2024-09-14,Brandýs_n._Labem,Trutnov,,,1.6,3.75,3.67
Fotbal,Divize C,2024-09-14,Hrádek_nad_Nisou,Dobrovice,1.0,1.0,2.47,3.35,2.16
Fotbal,Divize C,2024-09-18,Brandýs_n._Labem,Trutnov,3.0,3.0,1.42,4.05,4.79
Fotbal,Divize C,2024-09-21,Benešov,Hlinsko,1.0,1.0,1.3,4.2,6.44
Fotbal,Divize C,2024-09-21,Nový_Bydžov,Brandýs_n._Labem,0.0,0.0,2.54,3.37,2.11
Fotbal,Divize C,2024-09-21,Přepeře,Slavia_Hradec_Králové,3.0,1.0,1.4,4.07,4.92
Fotbal,Divize C,2024-09-21,Chrudim_AFK_B,Kosmonosy,1.0,1.0,1.36,4.05,5.76
Fotbal,Divize C,2024-09-21,Dobrovice,Police_nad_Metují,2.0,2.0,2.62,3.37,2.06
Fotbal,Divize C,2024-09-21,Vysoké_Mýto,Horní_Ředice,1.0,1.0,1.22,4.57,7.73
Fotbal,Divize C,2024-09-22,Trutnov,Hrádek_nad_Nisou,4.0,0.0,1.55,3.81,3.93
Fotbal,Divize C,2024-09-22,Turnov,Velké_Hamry,2.0,2.0,3.16,3.54,1.76
Fotbal,Divize C,2024-09-25,Horní_Ředice,Přepeře,1.0,5.0,3.93,3.82,1.55
Fotbal,Divize C,2024-09-25,Hlinsko,Turnov,0.0,2.0,2.42,3.34,2.21
Fotbal,Divize C,2024-09-28,Brandýs_n._Labem,Hrádek_nad_Nisou,1.0,0.0,1.18,4.89,8.58
Fotbal,Divize C,2024-09-28,Slavia_Hradec_Králové,Vysoké_Mýto,0.0,1.0,2.78,3.37,1.96
Fotbal,Divize C,2024-09-28,Kosmonosy,Dobrovice,1.0,1.0,1.55,3.81,3.93
Fotbal,Divize C,2024-09-28,Velké_Hamry,Benešov,2.0,1.0,1.68,3.67,3.34
Fotbal,Divize C,2024-09-29,Nový_Bydžov,Turnov,1.0,4.0,2.32,3.31,2.32
Fotbal,Divize C,2024-09-29,Hlinsko,Přepeře,1.0,2.0,4.39,3.84,1.49
Fotbal,Divize C,2024-09-29,Horní_Ředice,Chrudim_AFK_B,0.0,5.0,3.42,3.67,1.66
Fotbal,Divize C,2024-09-29,Police_nad_Metují,Trutnov,2.0,2.0,1.57,3.78,3.85
Fotbal,Divize C,2024-10-02,Slavia_Hradec_Králové,Benešov,1.0,3.0,2.63,3.37,2.05
Fotbal,Divize C,2024-10-05,Benešov,Nový_Bydžov,3.0,2.0,1.38,4.11,5.19
Fotbal,Divize C,2024-10-05,Přepeře,Velké_Hamry,1.0,3.0,1.9,3.41,2.87
Fotbal,Divize C,2024-10-05,Hrádek_nad_Nisou,Police_nad_Metují,0.0,0.0,3.93,3.82,1.55
Fotbal,Divize C,2024-10-05,Dobrovice,Horní_Ředice,3.0,1.0,1.41,3.96,5.15
Fotbal,Divize C,2024-10-05,Vysoké_Mýto,Hlinsko,4.0,2.0,1.25,4.48,7.23
Fotbal,Divize C,2024-10-06,Chrudim_AFK_B,Slavia_Hradec_Králové,3.0,2.0,1.45,4.01,4.52
Fotbal,Divize C,2024-10-06,Trutnov,Kosmonosy,3.0,0.0,2.05,3.37,2.63
Fotbal,Divize C,2024-10-06,Turnov,Brandýs_n._Labem,1.0,1.0,2.21,3.35,2.42
Fotbal,Divize C,2024-10-12,Brandýs_n._Labem,Police_nad_Metují,2.0,1.0,1.71,3.65,3.23
Fotbal,Divize C,2024-10-12,Slavia_Hradec_Králové,Dobrovice,2.0,0.0,1.86,3.42,2.97
Fotbal,Divize C,2024-10-12,Kosmonosy,Hrádek_nad_Nisou,3.0,0.0,1.38,4.11,5.19
Fotbal,Divize C,2024-10-12,Velké_Hamry,Vysoké_Mýto,1.0,1.0,1.76,3.51,3.18
Fotbal,Divize C,2024-10-13,Hlinsko,Chrudim_AFK_B,1.0,1.0,3.84,3.79,1.57
Fotbal,Divize C,2024-10-13,Nový_Bydžov,Přepeře,2.0,1.0,3.77,3.7,1.59
Fotbal,Divize C,2024-10-13,Horní_Ředice,Trutnov,3.0,1.0,4.16,3.82,1.52
Fotbal,Divize C,2024-10-13,Turnov,Benešov,3.0,1.0,2.21,3.35,2.42
Fotbal,Divize C,2024-10-16,Kosmonosy,Vysoké_Mýto,2.0,3.0,2.71,3.36,2.0
Fotbal,Divize C,2024-10-16,Police_nad_Metují,Chrudim_AFK_B,3.0,2.0,3.0,3.56,1.81
Fotbal,Divize C,2024-10-19,Benešov,Brandýs_n._Labem,0.0,1.0,1.86,3.42,2.97
Fotbal,Divize C,2024-10-19,Chrudim_AFK_B,Velké_Hamry,0.0,0.0,3.26,3.44,1.76
Fotbal,Divize C,2024-10-19,Přepeře,Turnov,3.0,1.0,1.71,3.65,3.23
Fotbal,Divize C,2024-10-19,Dobrovice,Hlinsko,1.0,2.0,1.52,3.81,4.16
Fotbal,Divize C,2024-10-19,Hrádek_nad_Nisou,Horní_Ředice,2.0,0.0,2.0,3.36,2.71
