sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,Divize D,2024-09-06,Velká_Bíteš,Bohunice,2,1,1.81,3.64,2.93
Fotbal,Divize D,2024-09-07,Líšeň_SK_B,Tasovice_Sokol,0,2,1.52,3.97,3.97
Fotbal,Divize D,2024-09-07,Polná_Slavoj,Třebíč_FS,1,5,2.12,3.62,2.4
Fotbal,Divize D,2024-09-07,Humpolec,Lanžhot,1,3,4.32,4.0,1.47
Fotbal,Divize D,2024-09-07,Vrchovina_SFK,Břeclav,2,0,1.64,3.94,3.29
Fotbal,Divize D,2024-09-07,Ždírec_n._Doubr.,Havlíčkův_Brod,1,0,2.07,3.62,2.46
Fotbal,Divize D,2024-09-08,Velké_Meziříčí,Speřice,3,0,1.35,4.15,5.6
Fotbal,Divize D,2024-09-08,Žďár_n._Sázavou,Kuřim,1,0,2.46,3.62,2.07
Fotbal,Divize D,2024-09-21,Havlíčkův_Brod,Speřice,3,0,1.24,4.57,7.09
Fotbal,Divize D,2024-09-21,Humpolec,Třebíč_FS,4,2,2.26,3.47,2.29
Fotbal,Divize D,2024-09-21,Vrchovina_SFK,Tasovice_Sokol,6,0,1.47,3.83,4.55
Fotbal,Divize D,2024-09-22,Velké_Meziříčí,Kuřim,0,2,2.93,3.64,1.81
Fotbal,Divize D,2024-09-22,Líšeň_SK_B,Bohunice,2,2,2.62,3.62,1.96
Fotbal,Divize D,2024-09-22,Polná_Slavoj,Velká_Bíteš,0,3,6.03,4.46,1.28
Fotbal,Divize D,2024-09-22,Žďár_n._Sázavou,Lanžhot,2,0,2.62,3.62,1.96
Fotbal,Divize D,2024-09-22,Ždírec_n._Doubr.,Břeclav,1,1,1.77,3.92,2.9
Fotbal,Divize D,2024-09-28,Bohunice,Žďár_n._Sázavou,2,2,2.17,3.7,2.3
Fotbal,Divize D,2024-09-28,Břeclav,Havlíčkův_Brod,0,2,1.84,3.72,2.82
Fotbal,Divize D,2024-09-28,Třebíč_FS,Líšeň_SK_B,2,2,2.62,3.62,1.96
Fotbal,Divize D,2024-09-28,Velká_Bíteš,Humpolec,2,1,1.33,4.3,5.45
Fotbal,Divize D,2024-09-29,Kuřim,Ždírec_n._Doubr.,1,2,1.42,4.02,4.89
Fotbal,Divize D,2024-09-29,Lanžhot,Vrchovina_SFK,2,1,2.55,3.62,2.01
Fotbal,Divize D,2024-09-29,Speřice,Polná_Slavoj,3,1,1.71,3.65,3.23
Fotbal,Divize D,2024-09-29,Tasovice_Sokol,Velké_Meziříčí,0,0,2.07,3.69,2.42
Fotbal,Divize D,2024-10-02,Břeclav,Velké_Meziříčí,2,1,1.88,3.62,2.77
Fotbal,Divize D,2024-10-05,Havlíčkův_Brod,Kuřim,2,2,2.41,3.54,2.14
Fotbal,Divize D,2024-10-05,Vrchovina_SFK,Bohunice,0,3,1.52,3.81,4.16
Fotbal,Divize D,2024-10-06,Velké_Meziříčí,Lanžhot,1,1,3.87,3.9,1.55
Fotbal,Divize D,2024-10-06,Líšeň_SK_B,Velká_Bíteš,0,5,3.3,3.82,1.66
Fotbal,Divize D,2024-10-06,Polná_Slavoj,Humpolec,0,3,3.34,3.77,1.66
Fotbal,Divize D,2024-10-06,Speřice,Břeclav,1,1,2.88,3.7,1.82
Fotbal,Divize D,2024-10-06,Žďár_n._Sázavou,Třebíč_FS,2,0,1.39,4.04,5.16
Fotbal,Divize D,2024-10-06,Ždírec_n._Doubr.,Tasovice_Sokol,3,1,1.66,3.76,3.34
Fotbal,Divize D,2024-10-12,Bohunice,Velké_Meziříčí,6,2,1.63,3.68,3.56
Fotbal,Divize D,2024-10-12,Kuřim,Speřice,4,2,1.23,4.61,7.27
Fotbal,Divize D,2024-10-12,Břeclav,Polná_Slavoj,5,0,1.22,4.64,7.48
Fotbal,Divize D,2024-10-13,Třebíč_FS,Vrchovina_SFK,0,2,5.15,4.05,1.39
Fotbal,Divize D,2024-10-13,Humpolec,Líšeň_SK_B,1,4,1.96,3.62,2.63
Fotbal,Divize D,2024-10-13,Lanžhot,Ždírec_n._Doubr.,3,1,1.52,3.81,4.16
Fotbal,Divize D,2024-10-13,Tasovice_Sokol,Havlíčkův_Brod,1,2,2.26,3.47,2.29
Fotbal,Divize D,2024-10-13,Velká_Bíteš,Žďár_n._Sázavou,1,0,1.87,3.63,2.81
Fotbal,Divize D,2024-10-12,Humpolec,Líšeň_SK_B,1,4,1.96,3.62,2.63
Fotbal,Divize D,2024-10-19,Havlíčkův_Brod,Lanžhot,1,1,2.78,3.69,1.87
Fotbal,Divize D,2024-10-19,Břeclav,Kuřim,0,3,2.51,3.54,2.06
Fotbal,Divize D,2024-10-19,Vrchovina_SFK,Velká_Bíteš,4,1,2.43,3.54,2.11
Fotbal,Divize D,2024-10-20,Velké_Meziříčí,Třebíč_FS,2,0,1.62,3.78,3.56
Fotbal,Divize D,2024-10-20,Polná_Slavoj,Líšeň_SK_B,0,3,5.84,3.93,1.37
Fotbal,Divize D,2024-10-20,Speřice,Tasovice_Sokol,1,0,3.07,3.65,1.76
Fotbal,Divize D,2024-10-20,Žďár_n._Sázavou,Humpolec,0,0,1.43,4.02,4.78
Fotbal,Divize D,2024-10-20,Ždírec_n._Doubr.,Bohunice,1,1,2.88,3.7,1.82
Fotbal,Divize D,2024-10-23,Kuřim,Vrchovina_SFK,2,1,2.07,3.69,2.42
Fotbal,Divize D,2024-10-26,Bohunice,Havlíčkův_Brod,2,0,1.66,3.76,3.34
Fotbal,Divize D,2024-10-26,Třebíč_FS,Ždírec_n._Doubr.,3,1,3.0,3.75,1.76
Fotbal,Divize D,2024-10-26,Humpolec,Vrchovina_SFK,0,0,4.77,4.03,1.42
Fotbal,Divize D,2024-10-26,Velká_Bíteš,Velké_Meziříčí,2,0,1.38,4.15,5.05
Fotbal,Divize D,2024-10-27,Kuřim,Polná_Slavoj,3,1,1.11,5.67,11.3
Fotbal,Divize D,2024-10-27,Lanžhot,Speřice,3,2,1.14,4.96,11.9
Fotbal,Divize D,2024-10-27,Tasovice_Sokol,Břeclav,4,2,2.78,3.69,1.87
Fotbal,Divize D,2024-10-27,Líšeň_SK_B,Žďár_n._Sázavou,1,2,2.71,3.62,1.91
Fotbal,Divize D,2024-11-02,Kuřim,Tasovice_Sokol,2,0,1.28,4.32,6.58
Fotbal,Divize D,2024-11-02,Havlíčkův_Brod,Třebíč_FS,2,2,1.36,4.2,5.12
Fotbal,Divize D,2024-11-02,Břeclav,Lanžhot,0,0,2.33,3.62,2.16
Fotbal,Divize D,2024-11-02,Vrchovina_SFK,Líšeň_SK_B,1,0,1.5,3.92,4.21
Fotbal,Divize D,2024-11-03,Velké_Meziříčí,Humpolec,1,0,1.92,3.62,2.71
Fotbal,Divize D,2024-11-03,Polná_Slavoj,Žďár_n._Sázavou,0,4,8.78,5.31,1.16
Fotbal,Divize D,2024-11-03,Speřice,Bohunice,1,1,3.47,3.88,1.62
Fotbal,Divize D,2024-11-03,Ždírec_n._Doubr.,Velká_Bíteš,0,0,2.81,3.63,1.87
Fotbal,Divize D,2024-11-09,Bohunice,Břeclav,2,1,1.66,3.31,3.86
Fotbal,Divize D,2024-11-09,Lanžhot,Kuřim,2,0,2.41,3.01,2.41
Fotbal,Divize D,2024-11-09,Tasovice_Sokol,Polná_Slavoj,3,0,1.2,4.56,9.05
Fotbal,Divize D,2024-11-09,Třebíč_FS,Speřice,0,1,2.0,3.0,3.01
Fotbal,Divize D,2024-11-09,Humpolec,Ždírec_n._Doubr.,1,0,2.31,3.0,2.53
Fotbal,Divize D,2024-11-09,Velká_Bíteš,Havlíčkův_Brod,2,6,1.42,3.77,5.27
Fotbal,Divize D,2024-11-09,Žďár_n._Sázavou,Vrchovina_SFK,1,2,2.31,3.0,2.53
Fotbal,Divize D,2024-11-10,Líšeň_SK_B,Velké_Meziříčí,5,1,1.76,3.21,3.52
Fotbal,Divize D,2024-11-16,Bohunice,Humpolec,1,2,1.38,4.04,5.44
Fotbal,Divize D,2024-11-16,Havlíčkův_Brod,Polná_Slavoj,6,1,1.16,4.75,11.4
Fotbal,Divize D,2024-11-16,Tasovice_Sokol,Žďár_n._Sázavou,0,4,2.47,3.35,2.16
Fotbal,Divize D,2024-11-16,Lanžhot,Líšeň_SK_B,0,2,1.91,3.28,2.96
Fotbal,Divize D,2024-11-16,Speřice,Ždírec_n._Doubr.,4,0,3.0,3.0,2.0
Fotbal,Divize D,2024-11-17,Třebíč_FS,Velká_Bíteš,2,7,5.33,3.89,1.4
Fotbal,Divize D,2025-03-08,Bohunice,Kuřim,0,2,2.68,3.28,2.06
Fotbal,Divize D,2025-03-08,Humpolec,Havlíčkův_Brod,1,1,2.26,3.47,2.29
Fotbal,Divize D,2025-03-09,Polná_Slavoj,Vrchovina_SFK,1,0,15.2,6.13,1.08
Fotbal,Divize D,2025-03-09,Velká_Bíteš,Speřice,4,0,1.29,4.3,6.33
Fotbal,Divize D,2025-03-09,Žďár_n._Sázavou,Velké_Meziříčí,6,0,1.42,3.95,4.92
Fotbal,Divize D,2025-03-09,Lanžhot,Tasovice_Sokol,1,2,1.33,4.19,5.79
Fotbal,Divize D,2025-03-09,Líšeň_SK_B,Ždírec_n._Doubr.,2,0,1.25,4.36,7.47
Fotbal,Divize D,2025-03-15,Havlíčkův_Brod,Líšeň_SK_B,1,0,2.49,3.45,2.11
Fotbal,Divize D,2025-03-15,Kuřim,Třebíč_FS,3,0,1.09,5.81,12.8
Fotbal,Divize D,2025-03-16,Velké_Meziříčí,Vrchovina_SFK,0,4,4.16,3.82,1.52
Fotbal,Divize D,2025-03-16,Tasovice_Sokol,Bohunice,1,2,1.86,3.47,2.94
Fotbal,Divize D,2025-03-16,Speřice,Humpolec,1,0,2.31,3.0,2.53
Fotbal,Divize D,2025-03-16,Lanžhot,Polná_Slavoj,6,0,1.13,5.05,12.7
Fotbal,Divize D,2025-03-22,Bohunice,Lanžhot,1,5,2.2,3.27,2.47
Fotbal,Divize D,2025-03-22,Velká_Bíteš,Kuřim,1,0,3.22,3.47,1.76
Fotbal,Divize D,2025-03-22,Humpolec,Břeclav,2,0,2.31,3.27,2.34
Fotbal,Divize D,2025-03-22,Líšeň_SK_B,Speřice,5,1,1.21,4.46,8.6
