sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,Divize E,2024-09-07,Bzenec_Slovan,Olomouc_HFK,6.0,1.0,1.39,4.08,5.02
Fotbal,Divize E,2024-09-07,Holešov,Hranice_SK,3.0,2.0,3.01,3.46,1.83
Fotbal,Divize E,2024-09-07,Kvasice,Slavičín,5.0,1.0,2.87,3.42,1.9
Fotbal,Divize E,2024-09-07,Nové_Sady,Všechovice,2.0,3.0,2.11,3.36,2.54
Fotbal,Divize E,2024-09-07,Skaštice,Šumperk,3.0,3.0,1.71,3.65,3.23
Fotbal,Divize E,2024-09-07,Vsetín,Šternberk_FK,4.0,0.0,1.38,4.11,5.19
Fotbal,Divize E,2024-09-08,Kozlovice_FK,Baťov,4.0,1.0,1.57,3.79,3.84
Fotbal,Divize E,2024-09-13,Baťov,Nové_Sady,,,1.93,3.78,2.6
Fotbal,Divize E,2024-09-13,Hranice_SK,Vsetín,,,2.42,3.45,2.16
Fotbal,Divize E,2024-09-20,Baťov,Skaštice,0.0,1.0,2.11,3.36,2.54
Fotbal,Divize E,2024-09-21,Bzenec_Slovan,Hranice_SK,1.0,2.0,1.8,3.47,3.08
Fotbal,Divize E,2024-09-21,Holešov,Všechovice,1.0,3.0,1.9,3.41,2.87
Fotbal,Divize E,2024-09-21,Kvasice,Šternberk_FK,1.0,0.0,1.71,3.65,3.23
Fotbal,Divize E,2024-09-21,Valašské_Meziříčí,Kozlovice_FK,1.0,2.0,2.54,3.37,2.11
Fotbal,Divize E,2024-09-21,Vsetín,Šumperk,3.0,0.0,1.35,4.17,5.53
Fotbal,Divize E,2024-09-22,Slavičín,Olomouc_HFK,2.0,0.0,1.66,3.66,3.43
Fotbal,Divize E,2024-09-28,Olomouc_HFK,Valašské_Meziříčí,0.0,1.0,1.96,3.37,2.79
Fotbal,Divize E,2024-09-28,Šternberk_FK,Slavičín,2.0,2.0,2.62,3.37,2.06
Fotbal,Divize E,2024-09-29,Kozlovice_FK,Nové_Sady,1.0,0.0,1.48,4.02,4.23
Fotbal,Divize E,2024-09-29,Šumperk,Bzenec_Slovan,1.0,1.0,2.78,3.37,1.96
Fotbal,Divize E,2024-09-29,Všechovice,Vsetín,1.0,1.0,2.37,3.31,2.26
Fotbal,Divize E,2024-10-05,Bzenec_Slovan,Všechovice,1.0,0.0,2.11,3.36,2.54
Fotbal,Divize E,2024-10-05,Kvasice,Šumperk,1.0,2.0,1.76,3.53,3.16
Fotbal,Divize E,2024-10-05,Valašské_Meziříčí,Nové_Sady,3.0,3.0,1.71,3.65,3.23
Fotbal,Divize E,2024-10-05,Olomouc_HFK,Šternberk_FK,0.0,1.0,2.16,3.22,2.56
Fotbal,Divize E,2024-10-05,Skaštice,Kozlovice_FK,0.0,1.0,2.54,3.37,2.11
Fotbal,Divize E,2024-10-05,Vsetín,Baťov,4.0,1.0,1.28,4.35,6.39
Fotbal,Divize E,2024-10-06,Slavičín,Hranice_SK,1.0,2.0,2.32,3.31,2.32
Fotbal,Divize E,2024-10-09,Slavičín,Valašské_Meziříčí,2.0,1.0,1.68,3.67,3.34
Fotbal,Divize E,2024-10-11,Hranice_SK,Olomouc_HFK,3.0,1.0,1.25,4.44,7.13
Fotbal,Divize E,2024-10-12,Nové_Sady,Skaštice,1.0,2.0,2.21,3.31,2.43
Fotbal,Divize E,2024-10-12,Baťov,Bzenec_Slovan,2.0,3.0,4.5,4.02,1.45
Fotbal,Divize E,2024-10-12,Šternberk_FK,Valašské_Meziříčí,0.0,2.0,2.0,3.36,2.71
Fotbal,Divize E,2024-10-13,Kozlovice_FK,Holešov,6.0,2.0,1.53,3.89,4.02
Fotbal,Divize E,2024-10-13,Šumperk,Slavičín,2.0,0.0,2.32,3.31,2.32
Fotbal,Divize E,2024-10-13,Všechovice,Kvasice,2.0,1.0,1.4,4.07,4.92
