sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,Divize F,2024-09-04,Frýdlant_nad_Ostravicí,Rýmařov,3.0,1.0,2.54,3.9,2.0
Fotbal,Divize F,2024-09-06,Opava_B,Bílovec,2.0,3.0,2.68,4.0,1.9
Fotbal,Divize F,2024-09-07,Vratimov,Břidličná,3.0,2.0,1.5,4.5,3.84
Fotbal,Divize F,2024-09-07,Frýdlant_nad_Ostravicí,Nový_Jičín,0.0,1.0,1.4,4.7,4.5
Fotbal,Divize F,2024-09-07,Pustá_Polom,Řepiště,2.0,2.0,2.0,3.9,2.54
Fotbal,Divize F,2024-09-07,Petřvald_na_Moravě,Krnov,5.0,0.0,1.2,6.0,6.69
Fotbal,Divize F,2024-09-07,Rýmařov,Havířov,0.0,3.0,6.69,6.0,1.2
Fotbal,Divize F,2024-09-08,Bohumín,Vítkovice,2.0,1.0,2.0,3.9,2.54
Fotbal,Divize F,2024-09-08,Polanka,Frenštát,6.0,1.0,1.25,5.3,6.22
Fotbal,Divize F,2024-09-20,Petřvald_na_Moravě,Vítkovice,3.0,6.0,2.24,3.9,2.24
Fotbal,Divize F,2024-09-21,Vratimov,Bílovec,1.0,0.0,2.79,4.0,1.85
Fotbal,Divize F,2024-09-21,Frýdlant_nad_Ostravicí,Havířov,1.0,2.0,8.67,8.0,1.1
Fotbal,Divize F,2024-09-21,Pustá_Polom,Krnov,,,1.6,4.3,3.43
Fotbal,Divize F,2024-09-21,Nový_Jičín,Řepiště,1.0,0.0,2.0,3.9,2.54
Fotbal,Divize F,2024-09-21,Rýmařov,Břidličná,3.0,1.0,1.8,4.1,2.86
Fotbal,Divize F,2024-09-26,Frýdlant_nad_Ostravicí,Krnov,2.0,0.0,1.25,5.5,5.97
Fotbal,Divize F,2024-09-28,Řepiště,Polanka,0.0,2.0,3.22,4.3,1.65
Fotbal,Divize F,2024-09-28,Vítkovice,Rýmařov,2.0,0.0,1.45,4.6,4.13
Fotbal,Divize F,2024-09-29,Havířov,Nový_Jičín,2.0,2.0,1.05,10.0,10.3
Fotbal,Divize F,2024-09-29,Opava_B,Bohumín,5.0,2.0,1.8,4.1,2.86
