sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,FA Cup,2024-11-01,Tamworth,Huddersfield,1.0,0.0,8.13,4.92,1.32
Fotbal,FA Cup,2024-11-01,Notts_County,Alfreton_Town,5.0,1.0,1.38,4.48,7.36
Fotbal,FA Cup,2024-11-02,Rotherham,Cheltenham,1.0,3.0,1.41,4.35,7.02
Fotbal,FA Cup,2024-11-02,Barrow,Doncaster,0.0,1.0,3.35,3.13,2.14
Fotbal,FA Cup,2024-11-02,Exeter,Barnet,5.0,3.0,1.83,3.73,3.69
Fotbal,FA Cup,2024-11-02,Carlisle,Wigan,0.0,2.0,4.18,3.43,1.81
Fotbal,FA Cup,2024-11-02,Wycombe,York,3.0,2.0,1.64,3.75,4.76
Fotbal,FA Cup,2024-11-02,Bradford,Aldershot,3.0,1.0,1.4,4.48,6.89
Fotbal,FA Cup,2024-11-02,Worthing,Morecambe,0.0,2.0,2.97,3.79,2.07
Fotbal,FA Cup,2024-11-02,Hednesford,Gainsborough,4.0,5.0,2.68,3.56,2.32
Fotbal,FA Cup,2024-11-02,Burton,Scarborough,1.0,0.0,1.5,4.26,5.4
Fotbal,FA Cup,2024-11-02,Tranmere,Oldham,1.0,2.0,2.24,3.16,3.09
Fotbal,FA Cup,2024-11-02,Rochdale,Bromley,3.0,4.0,2.43,3.3,2.7
Fotbal,FA Cup,2024-11-02,Walsall,Bolton,2.0,1.0,3.45,3.5,1.96
Fotbal,FA Cup,2024-11-02,Grimsby,Wealdstone,0.0,1.0,1.61,3.8,4.94
Fotbal,FA Cup,2024-11-02,Bristol_Rovers,Weston_Super_Mare,3.0,1.0,1.46,4.28,6.05
Fotbal,FA Cup,2024-11-02,Solihull,Maidstone_United,3.0,0.0,1.88,3.54,3.7
Fotbal,FA Cup,2024-11-02,Stockport,Forest_Green,2.0,1.0,1.54,3.93,5.52
Fotbal,FA Cup,2024-11-02,Reading,Fleetwood_Town,2.0,0.0,2.57,3.44,2.47
Fotbal,FA Cup,2024-11-02,Stevenage,Guiseley,2.0,1.0,1.18,6.08,13.2
Fotbal,FA Cup,2024-11-02,Rushall_Olympic,Accrington_Stanley,0.0,2.0,4.41,3.95,1.66
Fotbal,FA Cup,2024-11-02,Swindon,Colchester,2.0,1.0,2.26,3.31,2.93
Fotbal,FA Cup,2024-11-02,Salford_City,Shrewsbury,2.0,1.0,2.31,3.22,2.92
Fotbal,FA Cup,2024-11-02,Crewe,Dagenham_&_Redbridge,0.0,1.0,1.95,3.38,3.62
Fotbal,FA Cup,2024-11-02,Port_Vale,Barnsley,1.0,3.0,3.06,3.34,2.18
Fotbal,FA Cup,2024-11-02,Chesterfield,Horsham,3.0,1.0,1.12,7.97,15.9
Fotbal,FA Cup,2024-11-02,Southend,Charlton,3.0,4.0,3.45,3.3,2.03
Fotbal,FA Cup,2024-11-02,Maidenhead_United,Crawley_Town,1.0,2.0,2.93,3.48,2.19
Fotbal,FA Cup,2024-11-02,Woking,Cambridge,0.0,1.0,3.05,3.24,2.23
Fotbal,FA Cup,2024-11-02,Gillingham,Blackpool,0.0,2.0,3.34,3.48,2.01
Fotbal,FA Cup,2024-11-02,Tonbridge_Angels,Harborough_Town,1.0,4.0,1.7,3.56,4.62
Fotbal,FA Cup,2024-11-02,Newport,Peterborough,2.0,4.0,4.63,4.17,1.59
Fotbal,FA Cup,2024-11-02,Northampton,Kettering,1.0,2.0,1.23,5.56,10.4
Fotbal,FA Cup,2024-11-02,Brackley_Town,Braintree_Town,1.0,0.0,2.22,2.97,3.34
Fotbal,FA Cup,2024-11-03,Milton_Keynes,AFC_Wimbledon,0.0,2.0,2.74,3.16,2.48
Fotbal,FA Cup,2024-11-03,Sutton_UTD,Birmingham,0.0,1.0,11.2,6.25,1.19
Fotbal,FA Cup,2024-11-03,Curzon_Ashton,Mansfield,0.0,4.0,7.2,4.67,1.37
Fotbal,FA Cup,2024-11-03,Boreham_Wood,Leyton,2.0,3.0,5.0,4.03,1.57
Fotbal,FA Cup,2024-11-03,Harrogate_Town,Wrexham,1.0,0.0,5.76,4.07,1.5
Fotbal,FA Cup,2024-11-04,Chesham_United,Lincoln,0.0,4.0,8.28,5.0,1.31
Fotbal,FA Cup,2024-11-29,Harrogate_Town,Gainsborough,1.0,0.0,1.3,4.85,8.87
Fotbal,FA Cup,2024-11-30,Wealdstone,Wycombe,0.0,2.0,5.02,4.16,1.55
Fotbal,FA Cup,2024-11-30,Accrington_Stanley,Swindon,3.0,2.0,2.07,3.33,3.32
Fotbal,FA Cup,2024-11-30,Barnsley,Bristol_Rovers,0.0,1.0,1.35,4.72,7.56
Fotbal,FA Cup,2024-11-30,Cambridge,Wigan,1.0,2.0,2.99,2.99,2.4
Fotbal,FA Cup,2024-11-30,Crawley_Town,Lincoln,3.0,4.0,4.16,3.46,1.8
Fotbal,FA Cup,2024-11-30,Exeter,Chesterfield,2.0,0.0,1.96,3.43,3.52
Fotbal,FA Cup,2024-11-30,Leyton,Oldham,2.0,1.0,1.69,3.57,4.68
Fotbal,FA Cup,2024-11-30,Morecambe,Bradford,1.0,0.0,3.66,3.45,1.92
Fotbal,FA Cup,2024-11-30,Peterborough,Notts_County,4.0,3.0,1.76,4.01,3.75
Fotbal,FA Cup,2024-11-30,Salford_City,Cheltenham,2.0,0.0,2.2,3.18,3.17
Fotbal,FA Cup,2024-11-30,Stevenage,Mansfield,0.0,1.0,2.02,3.13,3.71
Fotbal,FA Cup,2024-11-30,Stockport,Brackley_Town,3.0,1.0,1.14,6.94,15.2
Fotbal,FA Cup,2024-11-30,Walsall,Charlton,0.0,4.0,2.37,3.16,2.88
Fotbal,FA Cup,2024-11-30,AFC_Wimbledon,Dagenham_&_Redbridge,1.0,2.0,1.54,3.93,5.43
Fotbal,FA Cup,2024-12-01,Kettering,Doncaster,1.0,2.0,8.75,5.29,1.28
Fotbal,FA Cup,2024-12-01,Blackpool,Birmingham,1.0,2.0,3.12,3.4,2.12
Fotbal,FA Cup,2024-12-01,Burton,Tamworth,1.0,2.0,1.54,4.0,5.36
Fotbal,FA Cup,2024-12-01,Reading,Harborough_Town,5.0,3.0,1.18,6.37,12.0
Fotbal,FA Cup,2024-12-01,Solihull,Bromley,1.0,2.0,2.87,3.45,2.24
Fotbal,FA Cup,2025-01-09,Sheffield_United,Cardiff,0.0,1.0,2.08,3.15,3.47
Fotbal,FA Cup,2025-01-09,Everton,Peterborough,2.0,0.0,1.18,6.1,13.4
Fotbal,FA Cup,2025-01-09,Fulham,Watford,4.0,1.0,1.21,5.94,11.1
Fotbal,FA Cup,2025-01-10,Wycombe,Portsmouth,2.0,0.0,2.13,3.17,3.31
Fotbal,FA Cup,2025-01-10,Aston_Villa,West_Ham,2.0,1.0,1.62,4.11,4.49
Fotbal,FA Cup,2025-01-11,Birmingham,Lincoln,2.0,1.0,1.82,3.25,4.38
Fotbal,FA Cup,2025-01-11,Bristol_City,Wolverhampton_Wanderers,1.0,2.0,3.09,3.33,2.16
Fotbal,FA Cup,2025-01-11,Middlesbrough,Blackburn,0.0,1.0,2.1,3.29,3.26
Fotbal,FA Cup,2025-01-11,Liverpool,Accrington_Stanley,4.0,0.0,1.0,23.9,36.0
Fotbal,FA Cup,2025-01-11,Leicester,Q.P.R.,6.0,2.0,1.44,4.35,6.21
Fotbal,FA Cup,2025-01-11,Bournemouth,West_Bromwich,5.0,1.0,1.47,4.18,6.05
Fotbal,FA Cup,2025-01-11,Brentford,Plymouth,0.0,1.0,1.2,6.25,10.8
Fotbal,FA Cup,2025-01-11,Chelsea,Morecambe,5.0,0.0,1.0,25.6,36.0
Fotbal,FA Cup,2025-01-11,Exeter,Oxford,3.0,1.0,2.51,3.18,2.69
Fotbal,FA Cup,2025-01-11,Norwich,Brighton,0.0,4.0,6.42,4.62,1.4
Fotbal,FA Cup,2025-01-11,Nottingham,Luton,2.0,0.0,1.55,3.85,5.48
Fotbal,FA Cup,2025-01-11,Preston,Charlton,,,2.01,3.24,3.56
Fotbal,FA Cup,2025-01-11,Reading,Burnley,1.0,3.0,4.85,3.8,1.62
Fotbal,FA Cup,2025-01-11,Sunderland,Stoke,1.0,2.0,1.97,3.46,3.48
Fotbal,FA Cup,2025-01-11,Leeds,Harrogate_Town,1.0,0.0,1.11,8.26,16.0
Fotbal,FA Cup,2025-01-11,Manchester_City,Salford_City,8.0,0.0,1.05,13.1,28.2
Fotbal,FA Cup,2025-01-11,Coventry,Sheffield_Wednesday,2.0,1.0,1.97,3.4,3.53
Fotbal,FA Cup,2025-01-11,Leyton,Derby,,,3.16,3.02,2.28
Fotbal,FA Cup,2025-01-11,Mansfield,Wigan,,,2.11,3.16,3.37
Fotbal,FA Cup,2025-01-12,Hull,Doncaster,1.0,2.0,1.96,3.42,3.53
Fotbal,FA Cup,2025-01-12,Tamworth,Tottenham,0.0,3.0,33.0,19.9,1.02
Fotbal,FA Cup,2025-01-12,Crystal_Palace,Stockport,1.0,0.0,1.23,5.5,10.6
Fotbal,FA Cup,2025-01-12,Ipswich,Bristol_Rovers,3.0,0.0,1.29,5.05,8.73
Fotbal,FA Cup,2025-01-12,Arsenal,Manchester_United,1.0,2.0,1.66,4.01,5.21
Fotbal,FA Cup,2025-01-12,Newcastle,Bromley,3.0,1.0,1.08,9.72,19.2
Fotbal,FA Cup,2025-01-12,Southampton,Swansea,3.0,0.0,1.63,3.79,4.77
Fotbal,FA Cup,2025-01-13,Millwall,Dagenham_&_Redbridge,3.0,0.0,1.21,5.59,11.8
Fotbal,FA Cup,2025-01-14,Leyton,Derby,2.0,1.0,2.66,3.05,2.63
Fotbal,FA Cup,2025-01-14,Mansfield,Wigan,0.0,2.0,2.2,2.87,3.53
Fotbal,FA Cup,2025-01-14,Preston,Charlton,2.0,1.0,2.22,2.89,3.44
Fotbal,FA Cup,2025-02-07,Manchester_United,Leicester,2.0,1.0,1.29,5.18,8.62
Fotbal,FA Cup,2025-02-08,Leeds,Millwall,0.0,2.0,1.54,3.72,5.91
Fotbal,FA Cup,2025-02-08,Leyton,Manchester_City,1.0,2.0,13.1,7.22,1.15
Fotbal,FA Cup,2025-02-08,Coventry,Ipswich,1.0,4.0,2.52,3.1,2.74
Fotbal,FA Cup,2025-02-08,Everton,Bournemouth,0.0,2.0,2.64,3.1,2.6
Fotbal,FA Cup,2025-02-08,Southampton,Burnley,0.0,1.0,1.86,3.32,4.06
