league,tip_type,bets,wins,losses,profit,roi (%)
Fotbal_1.alžírská_liga,draw,22,22,0,3551.0,161.41
Fotbal_1.anglická_liga,draw,25,25,0,8939.0,357.56
Fotbal_1.anglická_liga_U23,away,5,5,0,1796.0,359.2
Fotbal_1.anglická_liga_W,home,11,11,0,1118.0,101.64
Fotbal_1.argentinská_liga,draw,7,7,0,2112.0,301.71
Fotbal_1.arménská_liga,away,7,7,0,1449.0,207.0
Fotbal_1.australská_liga,away,6,6,0,2113.0,352.17
Fotbal_1.azerbajdžánská_liga,home,5,5,0,1254.0,250.8
Fotbal_1.bahrajnská_liga,draw,4,4,0,1279.0,319.75
Fotbal_1.belgická_liga,draw,18,18,0,5485.0,304.72
Fotbal_1.bolívijská_liga,away,5,5,0,1421.0,284.2
Fotbal_1.bosensko-hercegovinská_liga,away,9,9,0,1889.0,209.89
Fotbal_1.brazilská_liga,away,16,16,0,1600.0,100.0
Fotbal_1.bulharská_liga,away,6,6,0,1479.0,246.5
Fotbal_1.chilská_liga,home,13,13,0,563.0,43.31
Fotbal_1.chorvatská_liga,home,5,5,0,1483.0,296.6
Fotbal_1.dánská_liga,draw,5,5,0,1799.0,359.8
Fotbal_1.egyptská_liga,home,8,8,0,2179.0,272.38
Fotbal_1.ekvádorská_liga,draw,6,6,0,2039.0,339.83
Fotbal_1.estonská_liga,away,6,6,0,704.0,117.33
Fotbal_1.faerskoostrovní_liga,draw,5,5,0,1232.0,246.4
Fotbal_1.finská_liga,draw,5,5,0,1546.0,309.2
Fotbal_1.francouzská_liga,away,7,7,0,2141.0,305.86
Fotbal_1.gruzínská_liga,home,10,10,0,1363.0,136.3
Fotbal_1.guatemalská_liga,home,16,16,0,2174.0,135.88
Fotbal_1.honduraská_liga,away,6,6,0,1425.0,237.5
Fotbal_1.indonéská_liga,draw,11,11,0,3607.0,327.91
Fotbal_1.irská_liga,draw,8,8,0,2481.0,310.12
Fotbal_1.islandská_liga,draw,4,4,0,1484.0,371.0
Fotbal_1.italská_liga,draw,13,13,0,4592.0,353.23
Fotbal_1.izraelská_liga,home,5,5,0,1580.0,316.0
Fotbal_1.japonská_liga,home,5,5,0,1655.0,331.0
Fotbal_1.jihoafrická_liga,home,7,7,0,1916.0,273.71
Fotbal_1.jihokorejská_liga,away,5,5,0,1701.0,340.2
Fotbal_1.jordánská_liga,draw,5,5,0,1761.0,352.2
Fotbal_1.katarská_liga,home,19,19,0,2123.0,111.74
Fotbal_1.kazachstánská_liga,home,13,13,0,1052.0,80.92
Fotbal_1.kolumbijská_liga,draw,5,5,0,1530.0,306.0
Fotbal_1.kostarická_liga,draw,7,7,0,2596.0,370.86
Fotbal_1.kuvajtská_liga,draw,4,4,0,1344.0,336.0
Fotbal_1.kyperská_liga,draw,6,6,0,2323.0,387.17
Fotbal_1.litevská_liga,away,6,6,0,1141.0,190.17
Fotbal_1.lotyšská_liga,draw,6,6,0,2007.0,334.5
Fotbal_1.lucemburská_liga,away,6,6,0,1571.0,261.83
Fotbal_1.malajská_liga,draw,8,8,0,2484.0,310.5
Fotbal_1.maltská_liga,away,7,7,0,2543.0,363.29
Fotbal_1.marocká_liga,draw,5,5,0,1634.0,326.8
Fotbal_1.maďarská_liga,draw,4,4,0,1392.0,348.0
Fotbal_1.mexická_liga,home,4,4,0,1380.0,345.0
Fotbal_1.nigerijská_liga,draw,3,3,0,1090.0,363.33
Fotbal_1.nikaragujská_liga,away,9,9,0,1244.0,138.22
Fotbal_1.nizozemská_liga,draw,15,15,0,4584.0,305.6
Fotbal_1.norská_liga,draw,17,17,0,4592.0,270.12
Fotbal_1.norská_liga_W,draw,4,4,0,1271.0,317.75
Fotbal_1.novozélandská_liga,away,9,9,0,707.0,78.56
Fotbal_1.německá_liga,draw,11,11,0,4093.0,372.09
Fotbal_1.německá_liga_W,home,7,7,0,990.0,141.43
Fotbal_1.panamská_liga,away,18,18,0,2899.0,161.06
Fotbal_1.paraguayská_liga,home,4,4,0,995.0,248.75
Fotbal_1.peruánská_liga,draw,11,11,0,3197.0,290.64
Fotbal_1.polská_liga,draw,44,44,0,11556.0,262.64
Fotbal_1.portugalská_liga,draw,6,6,0,2268.0,378.0
Fotbal_1.rakouská_liga,away,5,5,0,1711.0,342.2
Fotbal_1.rumunská_liga,draw,34,34,0,7593.0,223.32
Fotbal_1.SAE_liga,home,5,5,0,1303.0,260.6
Fotbal_1.salvádorská_liga,away,14,14,0,3452.0,246.57
Fotbal_1.saudskoarabská_liga,away,8,8,0,2087.0,260.88
Fotbal_1.severoirská_liga,home,5,5,0,1721.0,344.2
Fotbal_1.singapurská_liga,draw,5,5,0,1636.0,327.2
Fotbal_1.skotská_liga,away,8,8,0,2571.0,321.38
Fotbal_1.slovenská_liga,away,5,5,0,1660.0,332.0
Fotbal_1.slovenská_liga_W,draw,4,4,0,1448.0,362.0
Fotbal_1.slovinská_liga,away,7,7,0,1124.0,160.57
Fotbal_1.srbská_liga,draw,4,4,0,1464.0,366.0
Fotbal_1.thajská_liga,home,6,6,0,1919.0,319.83
Fotbal_1.tuniská_liga,away,7,7,0,1352.0,193.14
Fotbal_1.turecká_liga,draw,18,18,0,5148.0,286.0
