sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away,result
Fotbal,1.anglická liga W,2024-09-21,Brighton_WFC,Everton_Ladies_FC,4.0,0.0,1.84,3.48,3.54,home
Fotbal,1.anglická liga W,2024-10-20,Leicester_City_WFC,Everton_Ladies_FC,1.0,0.0,2.15,2.99,3.2,home
Fotbal,1.anglická liga W,2024-11-03,Brighton_WFC,Leicester_City_WFC,1.0,0.0,1.78,3.48,3.78,home
Fotbal,1.anglická liga W,2024-11-10,West_Ham_Ladies,Leicester_City_WFC,1.0,0.0,2.27,3.15,2.85,home
Fotbal,1.anglická liga W,2024-11-16,Chelsea_Ladies,Manchester_City_LFC,2.0,0.0,1.95,3.31,3.35,home
Fotbal,1.anglická liga W,2024-12-08,Manchester_United,Liverpool_Ladies,4.0,0.0,1.7,3.44,4.28,home
Fotbal,1.anglická liga W,2024-12-08,West_Ham_Ladies,Crystal_Palace,5.0,2.0,1.91,3.32,3.48,home
Fotbal,1.anglická liga W,2025-01-17,Liverpool_Ladies,Brighton_WFC,2.0,1.0,2.08,3.31,3.05,home
Fotbal,1.anglická liga W,2025-01-26,Chelsea_Ladies,Arsenal_Ladies_FC,1.0,0.0,2.06,3.2,3.19,home
Fotbal,1.anglická liga W,2025-01-26,West_Ham_Ladies,Everton_Ladies_FC,2.0,0.0,2.24,3.11,2.93,home
Fotbal,1.anglická liga W,2025-03-23,West_Ham_Ladies,Tottenham_Hotspur_LFC,2.0,0.0,2.2,3.34,2.81,home
