sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away,result
Fotbal,1.brazilská liga,2024-09-21,Fluminense,Botafogo,0.0,1.0,3.42,3.01,2.26,away
Fotbal,1.brazilská liga,2024-09-22,Vasco_da_Gama,Palmeiras,0.0,1.0,4.16,3.7,1.81,away
Fotbal,1.brazilská liga,2024-10-05,Atlético_Paranaense,Botafogo,0.0,1.0,3.19,3.29,2.22,away
Fotbal,1.brazilská liga,2024-10-21,Juventude,Palmeiras,3.0,5.0,5.09,3.8,1.65,away
Fotbal,1.brazilská liga,2024-10-27,Atlético_Mineiro,Internacional,1.0,3.0,3.51,2.94,2.25,away
Fotbal,1.brazilská liga,2024-10-27,Bragantino,Botafogo,0.0,1.0,3.48,3.3,2.1,away
Fotbal,1.brazilská liga,2024-11-20,Bahia,Palmeiras,1.0,2.0,3.09,3.66,2.13,away
Fotbal,1.brazilská liga,2024-11-20,Cuiabá_EC,Flamengo,1.0,2.0,4.37,3.11,1.95,away
Fotbal,1.brazilská liga,2024-11-22,Vasco_da_Gama,Internacional,0.0,1.0,3.7,3.26,2.05,away
Fotbal,1.brazilská liga,2024-11-23,Atletico_Goianiense,Palmeiras,0.0,1.0,8.06,4.95,1.36,away
Fotbal,1.brazilská liga,2024-11-30,Criciúma_EC,Corinthians,2.0,4.0,3.37,3.25,2.16,away
Fotbal,1.brazilská liga,2024-11-30,Cuiabá_EC,Bahia,1.0,2.0,4.14,3.37,1.9,away
Fotbal,1.brazilská liga,2024-12-05,Criciúma_EC,Flamengo,0.0,3.0,3.02,3.56,2.21,away
Fotbal,1.brazilská liga,2024-12-05,Cruzeiro,Palmeiras,1.0,2.0,3.79,3.4,1.97,away
Fotbal,1.brazilská liga,2024-12-08,Cuiabá_EC,Vasco_da_Gama,1.0,2.0,3.39,3.13,2.2,away
Fotbal,1.brazilská liga,2025-04-06,Vitória,Flamengo,1.0,2.0,5.05,3.27,1.78,away
