sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away,result
Fotbal,1.gruzínská liga,2024-09-14,Saburtalo_Tbilisi,Dynamo_Batumi,3,0,2.29,3.2,2.79,home
Fotbal,1.gruzínská liga,2024-09-18,Torpedo_Kutaisi,Saburtalo_Tbilisi,2,1,2.53,3.15,2.53,home
Fotbal,1.gruzínská liga,2024-10-28,Torpedo_Kutaisi,Dynamo_Tbilisi,2,0,2.21,3.14,2.95,home
Fotbal,1.gruzínská liga,2024-11-09,Telavi,Kolkheti_1913_Poti,3,0,2.17,2.83,3.38,home
Fotbal,1.gruzínská liga,2024-11-22,Gagra_FC,Telavi,2,0,2.39,2.8,3.0,home
Fotbal,1.gruzínská liga,2024-12-01,Kolkheti_1913_Poti,Dynamo_Tbilisi,3,0,2.43,3.24,2.58,home
Fotbal,1.gruzínská liga,2025-03-05,Iberia_Tbilisi,Torpedo_Kutaisi,2,0,2.25,3.03,2.98,home
Fotbal,1.gruzínská liga,2025-03-06,Dynamo_Tbilisi,Samgurali_Tskhaltubo,2,1,2.44,2.68,3.08,home
Fotbal,1.gruzínská liga,2025-04-01,Dynamo_Batumi,Dynamo_Tbilisi,1,0,2.61,2.75,2.8,home
Fotbal,1.gruzínská liga,2025-04-06,Telavi,Gareji_Sagarejo,1,0,2.31,2.99,2.93,home
