sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away,result
Fotbal,1.guatemalská liga,2024-09-18,Mixco,Comunicaciones,2.0,1.0,2.52,2.61,3.05,home
Fotbal,1.guatemalská liga,2024-09-22,Marquense_CD,Comunicaciones,2.0,1.0,2.69,2.66,2.8,home
Fotbal,1.guatemalská liga,2024-10-27,Malacateco_Deportivo,Municipal,4.0,0.0,2.66,2.63,2.86,home
Fotbal,1.guatemalská liga,2024-11-02,Malacateco_Deportivo,Xelaju_MC,1.0,0.0,2.26,2.68,3.38,home
Fotbal,1.guatemalská liga,2024-11-02,Achuapa,Mixco,2.0,1.0,2.27,2.68,3.38,home
Fotbal,1.guatemalská liga,2024-11-16,Cobán_Imperial_CSYD,Municipal,3.0,0.0,2.36,2.75,3.11,home
Fotbal,1.guatemalská liga,2024-11-17,Achuapa,Antigua_GFC,1.0,0.0,2.34,3.14,2.77,home
Fotbal,1.guatemalská liga,2024-11-30,Cobán_Imperial_CSYD,Comunicaciones,2.0,1.0,2.19,2.8,3.37,home
Fotbal,1.guatemalská liga,2024-12-14,Cobán_Imperial_CSYD,Xelaju_MC,2.0,0.0,2.34,2.42,3.66,home
Fotbal,1.guatemalská liga,2025-01-19,Marquense_CD,Huehueteco_Xinabajul,2.0,0.0,2.25,2.83,3.2,home
Fotbal,1.guatemalská liga,2025-01-19,Achuapa,Xelaju_MC,2.0,0.0,2.59,2.5,3.1,home
Fotbal,1.guatemalská liga,2025-01-30,Guastatoya,Cobán_Imperial_CSYD,4.0,0.0,2.19,2.79,3.37,home
Fotbal,1.guatemalská liga,2025-02-07,Marquense_CD,Cobán_Imperial_CSYD,2.0,0.0,2.19,2.61,3.68,home
Fotbal,1.guatemalská liga,2025-02-22,Cobán_Imperial_CSYD,Xelaju_MC,1.0,0.0,2.3,2.64,3.37,home
Fotbal,1.guatemalská liga,2025-03-01,Achuapa,Antigua_GFC,2.0,0.0,2.26,3.01,2.99,home
Fotbal,1.guatemalská liga,2025-03-05,Mixco,Comunicaciones,1.0,0.0,2.33,2.65,3.31,home
