sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away,result
Fotbal,1.polská liga,2024-09-15,Piast_Gliwice,Puszcza_Niepołomice,1.0,1.0,1.55,3.58,6.18,draw
Fotbal,1.polská liga,2024-09-16,Slask_Wroclaw,Stal_Mielec,,,1.69,3.42,4.99,draw
Fotbal,1.polská liga,2024-09-28,Cracovia_Kraków,Stal_Mielec,,,1.75,3.52,4.37,draw
Fotbal,1.polská liga,2024-09-28,Katowice_GKS,Pogon_Szczecin,,,3.05,3.5,2.12,draw
Fotbal,1.polská liga,2024-09-28,Legia_Warszawa,Górnik_Zabrze,1.0,1.0,1.7,3.52,4.68,draw
Fotbal,1.polská liga,2024-09-27,Lechia_Gdaňsk,Widzew_Lódz,1.0,1.0,2.64,3.58,2.34,draw
Fotbal,1.polská liga,2024-09-30,Cracovia_Kraków,Stal_Mielec,1.0,1.0,1.67,3.6,4.78,draw
Fotbal,1.polská liga,2024-10-19,Górnik_Zabrze,Stal_Mielec,,,1.81,3.46,4.14,draw
Fotbal,1.polská liga,2024-10-19,Lechia_Gdaňsk,Legia_Warszawa,,,4.08,3.6,1.78,draw
Fotbal,1.polská liga,2024-10-19,Radomiak_Radom,Puszcza_Niepołomice,,,1.76,3.58,4.25,draw
Fotbal,1.polská liga,2024-10-25,Piast_Gliwice,Lechia_Gdaňsk,3.0,3.0,1.53,3.91,5.68,draw
Fotbal,1.polská liga,2024-11-02,Górnik_Zabrze,Jagiellonia_Bialystok,,,2.3,3.46,2.77,draw
Fotbal,1.polská liga,2024-11-02,Lechia_Gdaňsk,Cracovia_Kraków,,,2.86,3.43,2.25,draw
Fotbal,1.polská liga,2024-11-02,Legia_Warszawa,Widzew_Lódz,,,1.61,3.84,4.94,draw
Fotbal,1.polská liga,2024-11-09,Korona_Kielce,Lechia_Gdaňsk,0.0,0.0,1.64,3.72,4.84,draw
Fotbal,1.polská liga,2024-11-22,Jagiellonia_Bialystok,Slask_Wroclaw,2.0,2.0,1.65,3.74,4.7,draw
Fotbal,1.polská liga,2024-11-23,Radomiak_Radom,Stal_Mielec,,,1.9,3.45,3.72,draw
Fotbal,1.polská liga,2024-11-24,Rakow_Czestochowa,Korona_Kielce,1.0,1.0,1.52,3.68,6.52,draw
Fotbal,1.polská liga,2024-11-29,Cracovia_Kraków,Zaglebie_Lubin,1.0,1.0,1.88,3.58,3.67,draw
Fotbal,1.polská liga,2024-11-30,Pogon_Szczecin,Jagiellonia_Bialystok,,,2.17,3.6,2.88,draw
Fotbal,1.polská liga,2024-11-30,Stal_Mielec,Legia_Warszawa,,,3.99,3.56,1.81,draw
Fotbal,1.polská liga,2024-12-01,Pogon_Szczecin,Jagiellonia_Bialystok,1.0,1.0,1.83,3.83,3.63,draw
Fotbal,1.polská liga,2024-12-01,Stal_Mielec,Legia_Warszawa,2.0,2.0,3.56,3.52,1.92,draw
Fotbal,1.polská liga,2024-12-07,Radomiak_Radom,Katowice_GKS,,,2.21,3.41,2.94,draw
Fotbal,1.polská liga,2024-12-07,Rakow_Czestochowa,Motor_Lublin,2.0,2.0,1.45,4.08,6.68,draw
Fotbal,1.polská liga,2024-12-08,Puszcza_Niepołomice,Jagiellonia_Bialystok,1.0,1.0,3.88,3.72,1.79,draw
Fotbal,1.polská liga,2024-12-06,Radomiak_Radom,Katowice_GKS,1.0,1.0,2.31,3.4,2.8,draw
Fotbal,1.polská liga,2025-02-01,Motor_Lublin,Lechia_Gdaňsk,1.0,1.0,1.68,3.69,4.55,draw
Fotbal,1.polská liga,2025-02-02,Górnik_Zabrze,Puszcza_Niepołomice,1.0,1.0,1.58,3.82,5.23,draw
Fotbal,1.polská liga,2025-02-08,Lechia_Gdaňsk,Lech_Poznan,,,4.96,3.95,1.58,draw
Fotbal,1.polská liga,2025-02-08,Pogon_Szczecin,Górnik_Zabrze,,,1.98,3.4,3.49,draw
Fotbal,1.polská liga,2025-02-08,Stal_Mielec,Jagiellonia_Bialystok,,,2.65,3.44,2.4,draw
Fotbal,1.polská liga,2025-02-15,Zaglebie_Lubin,Lechia_Gdaňsk,,,1.8,3.56,4.02,draw
Fotbal,1.polská liga,2025-02-23,Cracovia_Kraków,Jagiellonia_Bialystok,2.0,2.0,2.11,3.44,3.12,draw
Fotbal,1.polská liga,2025-03-10,Motor_Lublin,Legia_Warszawa,3.0,3.0,3.47,3.66,1.91,draw
Fotbal,1.polská liga,2025-03-29,Legia_Warszawa,Pogon_Szczecin,,,1.9,3.63,3.53,draw
Fotbal,1.polská liga,2025-03-29,Motor_Lublin,Stal_Mielec,,,2.11,3.5,3.08,draw
Fotbal,1.polská liga,2025-03-28,Legia_Warszawa,Pogon_Szczecin,0.0,0.0,1.76,3.84,3.92,draw
Fotbal,1.polská liga,2025-04-05,Slask_Wroclaw,Motor_Lublin,1.0,1.0,1.67,3.81,4.48,draw
Fotbal,1.polská liga,2025-04-12,Katowice_GKS,Puszcza_Niepołomice,,,1.72,3.6,4.42,draw
Fotbal,1.polská liga,2025-04-12,Legia_Warszawa,Jagiellonia_Bialystok,,,1.77,3.79,3.92,draw
Fotbal,1.polská liga,2025-04-12,Motor_Lublin,Lech_Poznan,,,3.8,3.73,1.81,draw
Fotbal,1.polská liga,2025-04-12,Rakow_Czestochowa,Radomiak_Radom,,,1.54,3.7,6.06,draw
Fotbal,1.polská liga,2025-04-13,Motor_Lublin,Lech_Poznan,,,3.76,3.71,1.82,draw
