sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away,result
Fotbal,1.rumunská liga,2024-09-14,Politehnica_Iasi,Universitatea_Craiova,,,3.67,3.18,2.01,draw
Fotbal,1.rumunská liga,2024-09-15,CFR_Ecomax_Cluj,FCSB_Bukurešt,2.0,2.0,2.03,3.29,3.47,draw
Fotbal,1.rumunská liga,2024-09-16,Arad_UT,Hermannstadt_Sibiu,1.0,1.0,2.47,3.06,2.84,draw
Fotbal,1.rumunská liga,2024-09-20,Botosani_SA,Gloria_Buzău,3.0,3.0,1.85,3.14,4.44,draw
Fotbal,1.rumunská liga,2024-09-21,Hermannstadt_Sibiu,CFR_Ecomax_Cluj,0.0,0.0,3.73,3.22,1.98,draw
Fotbal,1.rumunská liga,2024-09-23,Arad_UT,Politehnica_Iasi,0.0,0.0,2.12,3.11,3.42,draw
Fotbal,1.rumunská liga,2024-09-27,Dinamo_Bukurešť,Botosani_SA,2.0,2.0,1.87,3.13,4.34,draw
Fotbal,1.rumunská liga,2024-09-28,Rapid_Bukurešť,Otelul_Galati,0.0,0.0,1.82,3.26,4.39,draw
Fotbal,1.rumunská liga,2024-10-04,Farul_Constanta,Dinamo_Bukurešť,1.0,1.0,1.91,3.24,3.96,draw
Fotbal,1.rumunská liga,2024-10-25,CFR_Ecomax_Cluj,Sepsi_Sfantu_Gheorghe,3.0,3.0,2.0,3.11,3.8,draw
Fotbal,1.rumunská liga,2024-10-27,FCSB_Bukurešt,Rapid_Bukurešť,0.0,0.0,1.8,3.48,4.13,draw
Fotbal,1.rumunská liga,2024-11-03,Universitaea_Cluj,Farul_Constanta,1.0,1.0,1.59,3.53,5.69,draw
Fotbal,1.rumunská liga,2024-11-03,Universitatea_Craiova,FCSB_Bukurešt,1.0,1.0,2.43,3.21,2.77,draw
Fotbal,1.rumunská liga,2024-11-08,Otelul_Galati,Botosani_SA,0.0,0.0,1.82,3.05,4.83,draw
Fotbal,1.rumunská liga,2024-11-29,Botosani_SA,Farul_Constanta,0.0,0.0,2.31,3.05,3.08,draw
Fotbal,1.rumunská liga,2024-11-29,Rapid_Bukurešť,Petrolol_Ploiesti,1.0,1.0,1.86,3.07,4.55,draw
Fotbal,1.rumunská liga,2024-12-15,Unirea_Slobozia,CFR_Ecomax_Cluj,1.0,1.0,4.73,3.27,1.76,draw
Fotbal,1.rumunská liga,2024-12-20,Sepsi_Sfantu_Gheorghe,Universitaea_Cluj,0.0,0.0,3.11,3.1,2.26,draw
Fotbal,1.rumunská liga,2024-12-21,Hermannstadt_Sibiu,Farul_Constanta,0.0,0.0,2.04,3.26,3.48,draw
Fotbal,1.rumunská liga,2025-01-19,Botosani_SA,CFR_Ecomax_Cluj,1.0,1.0,4.06,3.07,1.95,draw
Fotbal,1.rumunská liga,2025-01-19,Universitatea_Craiova,Dinamo_Bukurešť,1.0,1.0,1.71,3.36,4.92,draw
Fotbal,1.rumunská liga,2025-01-26,Arad_UT,FCSB_Bukurešt,,,4.05,3.48,1.82,draw
Fotbal,1.rumunská liga,2025-01-31,Hermannstadt_Sibiu,Arad_UT,0.0,0.0,1.99,3.14,3.76,draw
Fotbal,1.rumunská liga,2025-02-01,Botosani_SA,Sepsi_Sfantu_Gheorghe,0.0,0.0,3.21,3.01,2.26,draw
Fotbal,1.rumunská liga,2025-02-22,Botosani_SA,Universitatea_Craiova,2.0,2.0,3.37,3.09,2.15,draw
Fotbal,1.rumunská liga,2025-02-28,Sepsi_Sfantu_Gheorghe,CFR_Ecomax_Cluj,1.0,1.0,4.04,3.17,1.92,draw
Fotbal,1.rumunská liga,2025-03-02,Rapid_Bukurešť,FCSB_Bukurešt,0.0,0.0,3.7,3.03,2.06,draw
Fotbal,1.rumunská liga,2025-03-08,Farul_Constanta,Universitaea_Cluj,1.0,1.0,3.36,3.16,2.12,draw
Fotbal,1.rumunská liga,2025-03-15,Farul_Constanta,Politehnica_Iasi,0.0,0.0,1.65,3.64,4.87,draw
Fotbal,1.rumunská liga,2025-03-16,Hermannstadt_Sibiu,Unirea_Slobozia,1.0,1.0,1.59,3.52,5.81,draw
Fotbal,1.rumunská liga,2025-03-16,FCSB_Bukurešt,Rapid_Bukurešť,3.0,3.0,1.75,3.25,4.87,draw
Fotbal,1.rumunská liga,2025-04-07,Farul_Constanta,Unirea_Slobozia,1.0,1.0,1.65,3.65,4.86,draw
Fotbal,1.rumunská liga,2025-04-12,Sepsi_Sfantu_Gheorghe,Farul_Constanta,,,1.95,3.23,3.81,draw
Fotbal,1.rumunská liga,2025-04-14,CFR_Ecomax_Cluj,Rapid_Bukurešť,,,1.75,3.37,4.6,draw
