sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away,result
Fotbal,1.íránská liga,2024-09-20,Malavan_Anzali,Shams_Azar_Qazvin,2,0,2.43,2.51,3.33,home
Fotbal,1.íránská liga,2024-09-27,Aluminium_Arak,Kheybar_Khorramabad,1,0,2.49,2.47,3.27,home
Fotbal,1.íránská liga,2024-09-27,Chadormalu_SC,Mes_Rafsanjan,1,0,2.41,2.5,3.37,home
Fotbal,1.íránská liga,2024-09-27,Malavan_Anzali,Esteghlal_Khuzestan,1,0,2.25,2.54,3.65,home
Fotbal,1.íránská liga,2024-09-28,Foolad_Ahvaz,Zob-Ahan,1,0,2.41,2.19,4.11,home
Fotbal,1.íránská liga,2024-10-17,Esteghlal_Khuzestan,Mes_Rafsanjan,3,2,2.2,2.57,3.75,home
Fotbal,1.íránská liga,2024-11-01,Shams_Azar_Qazvin,Kheybar_Khorramabad,2,0,2.36,2.38,3.74,home
Fotbal,1.íránská liga,2024-12-01,Zob-Ahan,Shams_Azar_Qazvin,3,0,2.38,2.36,3.72,home
Fotbal,1.íránská liga,2024-12-19,Foolad_Ahvaz,Chadormalu_SC,2,1,1.81,2.46,6.16,home
Fotbal,1.íránská liga,2025-01-01,Gol_Gohar_Sirjan,Chadormalu_SC,2,0,2.31,2.28,4.13,home
Fotbal,1.íránská liga,2025-01-02,Aluminium_Arak,Shams_Azar_Qazvin,3,0,2.1,2.37,4.54,home
Fotbal,1.íránská liga,2025-01-02,Foolad_Ahvaz,Malavan_Anzali,2,1,2.56,2.25,3.61,home
Fotbal,1.íránská liga,2025-01-20,Gol_Gohar_Sirjan,Malavan_Anzali,1,0,2.52,2.26,3.65,home
Fotbal,1.íránská liga,2025-01-20,Kheybar_Khorramabad,Havadar,2,0,2.23,2.81,3.26,home
Fotbal,1.íránská liga,2025-02-01,Gol_Gohar_Sirjan,Nassaji_Mazandaran,2,1,1.93,2.38,5.44,home
Fotbal,1.íránská liga,2025-02-06,Esteghlal_Khuzestan,Shams_Azar_Qazvin,1,0,2.21,2.37,4.17,home
Fotbal,1.íránská liga,2025-02-08,Persepolis,Gol_Gohar_Sirjan,1,0,1.98,2.35,5.26,home
Fotbal,1.íránská liga,2025-02-20,Chadormalu_SC,Esteghlal_Khuzestan,3,0,2.5,2.66,3.02,home
Fotbal,1.íránská liga,2025-02-22,Esteghlal_Tehran,Nassaji_Mazandaran,1,0,1.88,2.39,5.8,home
Fotbal,1.íránská liga,2025-02-28,Nassaji_Mazandaran,Shams_Azar_Qazvin,1,0,1.96,2.72,4.29,home
Fotbal,1.íránská liga,2025-03-06,Gol_Gohar_Sirjan,Kheybar_Khorramabad,2,0,2.13,2.38,4.42,home
Fotbal,1.íránská liga,2025-03-07,Shams_Azar_Qazvin,Mes_Rafsanjan,3,1,2.28,2.35,4.01,home
Fotbal,1.íránská liga,2025-03-07,Aluminium_Arak,Zob-Ahan,2,0,1.93,2.42,5.25,home
Fotbal,1.íránská liga,2025-03-13,Kheybar_Khorramabad,Chadormalu_SC,2,0,2.45,2.42,3.44,home
Fotbal,1.íránská liga,2025-03-16,Teraktor-Sazi,Gol_Gohar_Sirjan,2,1,1.84,2.35,6.59,home
Fotbal,1.íránská liga,2025-03-30,Malavan_Anzali,Mes_Rafsanjan,3,0,2.33,2.29,4.04,home
Fotbal,1.íránská liga,2025-03-30,Sepahan,Foolad_Ahvaz,2,0,2.21,2.63,3.6,home
Fotbal,1.íránská liga,2025-04-04,Teraktor-Sazi,Esteghlal_Tehran,2,1,1.94,2.49,4.94,home
