sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away,result
Fotbal,2.portugalská liga,2024-09-15,Peňafiel,Porto_FC_B,1.0,1.0,2.19,3.36,3.02,draw
Fotbal,2.portugalská liga,2024-09-15,Benfica_Lisabon_B,Oliveirense_UD,2.0,2.0,1.64,3.82,4.68,draw
Fotbal,2.portugalská liga,2024-10-13,Vizela,Oliveirense_UD,,,1.64,3.72,4.81,draw
Fotbal,2.portugalská liga,2024-11-03,Felgueiras,Mafra,1.0,1.0,1.76,3.29,4.67,draw
Fotbal,2.portugalská liga,2024-11-03,Tondela,Oliveirense_UD,,,1.7,3.55,4.64,draw
Fotbal,2.portugalská liga,2024-11-10,Ferreira,Porto_FC_B,2.0,2.0,2.05,3.31,3.38,draw
Fotbal,2.portugalská liga,2024-12-15,Viseu,Oliveirense_UD,,,1.53,3.82,5.85,draw
Fotbal,2.portugalská liga,2025-01-26,Mafra,Oliveirense_UD,0.0,0.0,1.77,3.35,4.53,draw
Fotbal,2.portugalská liga,2025-02-09,Leiria,Porto_FC_B,0.0,0.0,1.82,3.4,4.15,draw
Fotbal,2.portugalská liga,2025-02-16,Vizela,Leixoes_DC,0.0,0.0,1.61,3.47,5.58,draw
Fotbal,2.portugalská liga,2025-03-02,Chaves,Benfica_Lisabon_B,,,1.8,3.41,4.26,draw
Fotbal,2.portugalská liga,2025-03-02,Ferreira,Oliveirense_UD,,,1.83,3.42,4.07,draw
Fotbal,2.portugalská liga,2025-03-09,Benfica_Lisabon_B,Portimonense,0.0,0.0,1.92,3.39,3.72,draw
Fotbal,2.portugalská liga,2025-04-13,Vizela,Alverca,,,1.74,3.41,4.63,draw
Fotbal,2.portugalská liga,2025-04-13,Oliveirense_UD,Porto_FC_B,,,2.88,3.36,2.27,draw
Fotbal,2.portugalská liga,2025-04-13,Chaves,Portimonense,,,1.67,3.56,4.81,draw
