sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away,result
Fotbal,2.španělská liga,2024-09-29,Santander,Cartagena,,,1.5,3.94,6.07,draw
Fotbal,2.španělská liga,2024-10-06,Almeria,Burgos_Real,,,1.72,3.89,4.47,draw
Fotbal,2.španělská liga,2024-11-02,Santander,Albacete,1.0,1.0,1.67,4.1,4.51,draw
Fotbal,2.španělská liga,2024-11-03,Almeria,Cordoba,,,1.74,3.91,4.33,draw
Fotbal,2.španělská liga,2024-11-03,Castellon_CD,Ferrol,,,1.62,3.89,5.27,draw
Fotbal,2.španělská liga,2024-11-27,Castellon_CD,Ferrol,0.0,0.0,1.6,3.96,5.28,draw
Fotbal,2.španělská liga,2024-12-22,Almeria,Cádiz_FC,1.0,1.0,1.63,3.91,5.06,draw
Fotbal,2.španělská liga,2025-03-01,Almeria,Málaga_FC,2.0,2.0,1.48,4.29,6.36,draw
Fotbal,2.španělská liga,2025-04-04,Castellon_CD,Albacete,2.0,2.0,1.63,4.01,4.91,draw
Fotbal,2.španělská liga,2025-04-13,Oviedo,Ferrol,,,1.4,3.92,8.56,draw
