sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away,result
Fotbal,3.francouzská liga,2024-10-04,Aubagne,Boulogne,3.0,0.0,3.1,2.98,2.34,home
Fotbal,3.francouzská liga,2024-10-23,Valenciennes,Dijon,2.0,0.0,3.02,2.93,2.42,home
Fotbal,3.francouzská liga,2024-11-08,Aubagne,Le_Mans,1.0,0.0,3.28,3.07,2.19,home
Fotbal,3.francouzská liga,2024-12-06,Villefranche,Dijon,1.0,0.0,3.24,3.01,2.25,home
Fotbal,3.francouzská liga,2024-12-13,Bourg,Versailles,1.0,0.0,3.12,2.81,2.44,home
Fotbal,3.francouzská liga,2025-01-14,Aubagne,Nancy,2.0,1.0,3.02,3.0,2.37,home
Fotbal,3.francouzská liga,2025-01-17,Gobelins,Rouen_FC,1.0,0.0,3.04,2.81,2.5,home
Fotbal,3.francouzská liga,2025-01-24,Chateauroux,Nimes,3.0,2.0,3.08,2.71,2.55,home
Fotbal,3.francouzská liga,2025-01-24,Valenciennes,Orleans,1.0,0.0,3.41,2.81,2.29,home
Fotbal,3.francouzská liga,2025-02-21,Chateauroux,Rouen_FC,1.0,0.0,3.63,3.1,2.05,home
Fotbal,3.francouzská liga,2025-02-21,Villefranche,Orleans,2.0,0.0,3.1,2.74,2.51,home
