sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away,result
Fotbal,3.italská liga C A,2024-09-21,Alcione,Vicenza,1.0,2.0,6.81,3.62,1.44,away
Fotbal,3.italská liga C A,2024-11-03,Pergolettese,Padova,1.0,2.0,5.35,3.54,1.54,away
Fotbal,3.italská liga C A,2024-11-09,Caldiero_Terme,Vicenza,0.0,2.0,5.72,3.48,1.52,away
Fotbal,3.italská liga C A,2024-11-22,Clodiense,Vicenza,1.0,2.0,6.31,3.48,1.48,away
Fotbal,3.italská liga C A,2024-12-18,Clodiense,Padova,1.0,2.0,7.12,4.02,1.38,away
Fotbal,3.italská liga C A,2025-01-19,Alcione,Padova,0.0,2.0,6.62,3.92,1.41,away
Fotbal,3.italská liga C A,2025-02-01,Renate,Vicenza,0.0,1.0,6.78,3.65,1.44,away
Fotbal,3.italská liga C A,2025-02-22,Caldiero_Terme,FeralpiSalo_AC,2.0,3.0,6.05,3.86,1.44,away
Fotbal,3.italská liga C A,2025-02-23,Lumezzane,Vicenza,0.0,1.0,6.73,3.77,1.42,away
Fotbal,3.italská liga C A,2025-03-30,Pro_Vercelli,Vicenza,0.0,1.0,6.68,3.41,1.48,away
