sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away,result
Fotbal,3.norská liga - sk.2,2024-09-02,Tromsdalen,Valerengen_2,3,0,1.02,18.2,33.0,home
Fotbal,3.norská liga - sk.2,2024-09-08,Grorud,Alta,3,1,1.51,4.38,4.52,home
Fotbal,3.norská liga - sk.2,2024-09-16,Stjordals_Blink,Valerengen_2,6,0,1.01,18.6,33.0,home
Fotbal,3.norská liga - sk.2,2024-10-19,Alta,Strindheim,5,1,1.52,4.27,4.56,home
Fotbal,3.norská liga - sk.2,2024-10-19,Grorud,Valerengen_2,3,1,1.01,18.9,33.0,home
Fotbal,3.norská liga - sk.2,2024-10-19,Skeid,Follo,6,0,1.27,5.28,7.61,home
Fotbal,3.norská liga - sk.2,2024-10-19,Stjordals_Blink,Junkeren,4,0,1.16,7.08,11.4,home
Fotbal,3.norská liga - sk.2,2024-10-26,Strindheim,Gjovik_Lyn,5,0,1.28,5.13,7.26,home
Fotbal,3.norská liga - sk.2,2024-10-26,Tromsdalen,Stjordals_Blink,4,1,1.45,4.31,5.12,home
Fotbal,3.norská liga - sk.2,2025-04-05,Follo,Strindheim,2,1,1.61,4.06,4.11,home
