sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away,result
Fotbal,3.španělská liga gr. II,2024-09-07,Villarreal_B,Real_Madrid_B,1.0,1.0,2.26,3.01,2.99,draw
Fotbal,3.španělská liga gr. II,2024-09-15,Real_Madrid_B,Betis_Sevilla_B,1.0,1.0,1.7,3.23,4.55,draw
Fotbal,3.španělská liga gr. II,2024-09-15,Alcorcón,Atletico_Madrid_B,,,1.69,3.15,4.75,draw
Fotbal,3.španělská liga gr. II,2024-09-15,Huelva,Sevilla_Atlético,,,1.72,3.12,4.65,draw
Fotbal,3.španělská liga gr. II,2024-09-13,Huelva,Sevilla_Atlético,2.0,2.0,1.69,3.04,5.04,draw
Fotbal,3.španělská liga gr. II,2024-09-22,Betis_Sevilla_B,Ceuta,0.0,0.0,3.25,3.04,2.1,draw
Fotbal,3.španělská liga gr. II,2024-09-28,Ceuta,Huelva,,,1.71,3.24,4.49,draw
Fotbal,3.španělská liga gr. II,2024-09-29,Alcorcón,Sevilla_Atlético,2.0,2.0,1.68,3.19,4.77,draw
Fotbal,3.španělská liga gr. II,2024-10-13,Villarreal_B,Sanluqueno,1.0,1.0,1.68,3.25,4.68,draw
Fotbal,3.španělská liga gr. II,2024-10-20,Atletico_Madrid_B,Huelva,,,1.83,3.04,4.22,draw
Fotbal,3.španělská liga gr. II,2024-10-27,Real_Madrid_B,Algeciras,1.0,1.0,1.79,3.06,4.36,draw
Fotbal,3.španělská liga gr. II,2024-11-10,Marbella,Sanluqueno,0.0,0.0,1.7,3.09,4.8,draw
Fotbal,3.španělská liga gr. II,2024-11-17,Alcoyano_CD,Sevilla_Atlético,1.0,1.0,1.61,3.31,5.05,draw
Fotbal,3.španělská liga gr. II,2024-11-24,Murcia_Real,Sanluqueno,0.0,0.0,1.64,3.16,5.19,draw
Fotbal,3.španělská liga gr. II,2024-12-01,Ceuta,Villarreal_B,1.0,1.0,1.91,3.09,3.76,draw
Fotbal,3.španělská liga gr. II,2024-12-08,Villarreal_B,Marbella,1.0,1.0,1.81,3.1,4.19,draw
Fotbal,3.španělská liga gr. II,2024-12-22,Murcia_Real,Intercity,1.0,1.0,1.62,3.34,4.94,draw
Fotbal,3.španělská liga gr. II,2025-01-11,Atletico_Madrid_B,Algeciras,1.0,1.0,1.59,3.36,5.17,draw
Fotbal,3.španělská liga gr. II,2025-01-26,Intercity,Betis_Sevilla_B,1.0,1.0,2.05,3.05,3.38,draw
Fotbal,3.španělská liga gr. II,2025-01-26,Real_Madrid_B,Villarreal_B,2.0,2.0,1.81,3.21,4.03,draw
Fotbal,3.španělská liga gr. II,2025-03-09,Real_Madrid_B,Sevilla_Atlético,0.0,0.0,1.69,3.28,4.54,draw
Fotbal,3.španělská liga gr. II,2025-03-09,Ceuta,Antequera,2.0,2.0,1.73,3.22,4.4,draw
Fotbal,3.španělská liga gr. II,2025-03-22,Ceuta,Hercules,1.0,1.0,1.7,3.21,4.61,draw
Fotbal,3.španělská liga gr. II,2025-03-29,Villarreal_B,Fuenlabrada,1.0,1.0,1.68,3.26,4.63,draw
Fotbal,3.španělská liga gr. II,2025-04-06,Atletico_Madrid_B,Intercity,,,1.71,3.28,4.45,draw
Fotbal,3.španělská liga gr. II,2025-04-06,Ibiza_UD,Real_Madrid_B,0.0,0.0,1.9,3.04,3.86,draw
