sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away,result
Fotbal,Divize D,2024-09-06,Velká_Bíteš,Bohunice,2,1,1.81,3.64,2.93,home
Fotbal,Divize D,2024-09-07,Vrchovina_SFK,Břeclav,2,0,1.64,3.94,3.29,home
Fotbal,Divize D,2024-09-07,Ždírec_n._Doubr.,Havlíčkův_Brod,1,0,2.07,3.62,2.46,home
Fotbal,Divize D,2024-09-29,Speřice,Polná_Slavoj,3,1,1.71,3.65,3.23,home
Fotbal,Divize D,2024-10-02,Břeclav,Velké_Meziříčí,2,1,1.88,3.62,2.77,home
Fotbal,Divize D,2024-10-06,Ždírec_n._Doubr.,Tasovice_Sokol,3,1,1.66,3.76,3.34,home
Fotbal,Divize D,2024-10-12,Bohunice,Velké_Meziříčí,6,2,1.63,3.68,3.56,home
Fotbal,Divize D,2024-10-13,Velká_Bíteš,Žďár_n._Sázavou,1,0,1.87,3.63,2.81,home
Fotbal,Divize D,2024-10-20,Velké_Meziříčí,Třebíč_FS,2,0,1.62,3.78,3.56,home
Fotbal,Divize D,2024-10-23,Kuřim,Vrchovina_SFK,2,1,2.07,3.69,2.42,home
Fotbal,Divize D,2024-10-26,Bohunice,Havlíčkův_Brod,2,0,1.66,3.76,3.34,home
Fotbal,Divize D,2024-11-03,Velké_Meziříčí,Humpolec,1,0,1.92,3.62,2.71,home
Fotbal,Divize D,2024-11-09,Bohunice,Břeclav,2,1,1.66,3.31,3.86,home
Fotbal,Divize D,2024-11-10,Líšeň_SK_B,Velké_Meziříčí,5,1,1.76,3.21,3.52,home
Fotbal,Divize D,2025-03-29,Ždírec_n._Doubr.,Velké_Meziříčí,2,1,1.66,3.49,3.61,home
Fotbal,Divize D,2025-04-05,Velká_Bíteš,Lanžhot,3,0,2.04,3.46,2.59,home
Fotbal,Divize D,2025-04-05,Humpolec,Tasovice_Sokol,2,1,2.11,3.27,2.6,home
