week_start,bankroll,num_bets,stake_per_bet
2024-08-27,5487.83,4,250.0
2024-09-03,6035.12,26,42.21
2024-09-10,6727.91,71,17.0
2024-09-17,7414.42,78,17.25
2024-09-24,8262.49,79,18.77
2024-10-01,9207.49,74,22.33
2024-10-08,10064.85,20,92.07
2024-10-15,11086.51,60,33.55
2024-10-22,12387.89,74,29.96
2024-10-29,13720.69,92,26.93
2024-11-05,15216.9,60,45.74
2024-11-12,16613.05,19,160.18
2024-11-19,18359.26,42,79.11
2024-11-26,20296.45,49,74.94
2024-12-03,23053.67,39,104.08
2024-12-10,26143.96,33,139.72
2024-12-17,29215.92,23,227.34
2024-12-24,33655.11,14,417.37
2024-12-31,37845.93,15,448.73
2025-01-07,41891.16,16,473.07
2025-01-14,46703.59,36,232.73
2025-01-21,52519.29,38,245.81
2025-01-28,58699.22,34,308.94
2025-02-04,64938.06,33,355.75
2025-02-11,72140.7,53,245.05
2025-02-18,80337.47,57,253.13
2025-02-25,89738.07,56,286.92
2025-03-04,100790.8,54,332.36
2025-03-11,112034.04,56,359.97
2025-03-18,123196.32,23,974.21
2025-03-25,137464.4,58,424.81
2025-04-01,152594.8,78,352.47
2025-04-08,173946.21,58,526.19
