league,tip_type,interval,expected_value,success_rate,matches
Fotbal_1.alžírská_liga,draw,2.14–2.71,1.27,48.89 %,45
Fotbal_1.anglická_liga,draw,4.33–5.00,2.09,45.45 %,55
Fotbal_1.anglická_liga_U23,away,4.20–5.00,1.76,38.46 %,13
Fotbal_1.anglická_liga_W,home,1.67–2.33,1.23,61.11 %,18
Fotbal_1.argentinská_liga,draw,3.86–4.43,1.61,38.89 %,18
Fotbal_1.arménská_liga,away,2.60–3.40,2.18,70.0 %,10
Fotbal_1.australská_liga,away,4.33–5.00,1.72,37.5 %,16
Fotbal_1.azerbajdžánská_liga,home,3.29–3.86,1.5,41.67 %,12
Fotbal_1.bahrajnská_liga,draw,3.86–4.43,1.67,40.0 %,10
Fotbal_1.belgická_liga,draw,3.86–4.43,1.56,38.3 %,47
Fotbal_1.bolívijská_liga,away,3.67–4.33,1.49,38.46 %,13
Fotbal_1.bosensko-hercegovinská_liga,away,2.60–3.40,1.84,60.0 %,15
Fotbal_1.brazilská_liga,away,1.00–2.33,1.62,80.0 %,20
Fotbal_1.bulharská_liga,away,3.29–3.86,1.48,42.86 %,14
Fotbal_1.chilská_liga,home,1.00–1.57,1.25,86.67 %,15
Fotbal_1.chorvatská_liga,home,3.67–4.33,1.99,50.0 %,10
Fotbal_1.dánská_liga,draw,4.33–5.00,2.11,45.45 %,11
Fotbal_1.egyptská_liga,home,3.40–4.20,1.56,42.11 %,19
Fotbal_1.ekvádorská_liga,draw,4.20–5.00,2.45,54.55 %,11
Fotbal_1.estonská_liga,away,1.80–2.60,1.35,60.0 %,10
Fotbal_1.faerskoostrovní_liga,draw,3.29–3.86,1.76,50.0 %,10
Fotbal_1.finská_liga,draw,3.86–4.43,1.46,35.71 %,14
Fotbal_1.francouzská_liga,away,3.67–4.33,1.58,38.89 %,18
Fotbal_1.gruzínská_liga,home,2.14–2.71,1.33,55.56 %,18
Fotbal_1.guatemalská_liga,home,2.14–2.71,1.42,59.26 %,27
Fotbal_1.honduraská_liga,away,3.00–3.67,1.53,46.15 %,13
Fotbal_1.indonéská_liga,draw,4.00–5.00,2.08,47.83 %,23
Fotbal_1.irská_liga,draw,3.67–5.00,1.62,40.0 %,20
Fotbal_1.islandská_liga,draw,4.43–5.00,1.56,33.33 %,12
