sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away,result
Fotbal,2.turecká liga,2025-04-10,Adanaspor,Kocaelispor_Izmet,,,6.46,4.28,1.37,draw
Fotbal,1.indonéská liga,2025-04-10,Makassar_PSM,Semen_Padang,,,1.36,4.47,8.18,draw
Fotbal,2.švýcarská liga,2025-04-11,Xamax_Neuchatel,Aarau_FC,,,3.62,3.68,1.86,draw
Fotbal,1.čínská liga,2025-04-11,Shandong_Luneng_Taishan,Shenzhen_Xinpengcheng,,,1.4,4.51,6.75,draw
Fotbal,1.čínská liga,2025-04-11,Beijing_Guoan_FC,Qingdao_Youth_Island,,,1.42,4.48,6.34,draw
Fotbal,2.švýcarská liga,2025-04-11,Wil,Et._Carouge,,,2.39,3.34,2.72,draw
Fotbal,2.belgická liga,2025-04-11,RWDM,Lommel,,,1.33,4.51,6.9,draw
Fotbal,2.italská liga,2025-04-11,Bari,Palermo,,,2.74,3.01,2.7,draw
Fotbal,1.irská liga,2025-04-11,Shamrock_Rovers,Waterford,,,1.44,3.99,7.11,draw
Fotbal,1.turecká liga,2025-04-11,Samsunspor,Galatasaray,,,4.67,3.9,1.63,draw
Fotbal,2.německá liga,2025-04-11,Fürth,Köln,,,3.3,3.43,2.12,draw
Fotbal,2.česká liga,2025-04-11,Zlín,Brno,,,1.46,4.14,6.39,draw
Fotbal,2.švýcarská liga,2025-04-11,Bellinzona,Vaduz,,,2.08,3.34,3.27,draw
Fotbal,2.švýcarská liga,2025-04-11,Schaffhausen_FC,Stade_Lausanne_Ouchy,,,3.77,3.59,1.85,draw
Fotbal,1.irská liga,2025-04-11,Cork_City,St._Patrick's_Athletic,,,4.95,3.92,1.59,draw
Fotbal,2.italská liga,2025-04-12,Salernitana,Sudtirol_Bolzano_FC,,,2.15,3.06,3.63,draw
Fotbal,1.česká liga,2025-04-12,Karviná_FC,Slavia_Praha,,,7.6,4.9,1.41,draw
Fotbal,2.italská liga,2025-04-12,Modena,Sassuolo,,,2.98,3.07,2.35,draw
Fotbal,2.italská liga,2025-04-12,Carrarese,Catanzaro,,,2.44,3.06,3.02,draw
Fotbal,2.italská liga,2025-04-12,Sampdoria_Genoa,Cittadella,,,1.7,3.38,4.94,draw
Fotbal,2.anglická liga,2025-04-12,Leeds,Preston,,,1.3,4.73,9.29,draw
Fotbal,1.čínská liga,2025-04-12,Qingdao_Manatee,Chengdu_Rongcheng,,,7.9,4.65,1.35,draw
Fotbal,2.italská liga,2025-04-12,Reggiana,Pisa_AC,,,3.52,3.07,2.18,draw
Fotbal,1.anglická liga,2025-04-12,Manchester_City,Crystal_Palace,,,1.53,4.54,5.8,draw
Fotbal,1.čínská liga,2025-04-12,Shanghai_Shenhua,Zhejiang_Lucheng,,,1.41,4.49,6.5,draw
Fotbal,1.finská liga,2025-04-12,KuPS_Kuopio,Oulu,,,1.48,4.04,6.14,draw
Fotbal,1.belgická liga,2025-04-12,Union_St-Gilloise,Anderlecht,,,1.61,4.0,5.16,draw
Fotbal,1.polská liga,2025-04-12,Katowice_GKS,Puszcza_Niepołomice,,,1.72,3.6,4.42,draw
Fotbal,1.polská liga,2025-04-12,Legia_Warszawa,Jagiellonia_Bialystok,,,1.77,3.79,3.92,draw
Fotbal,1.belgická liga,2025-04-12,Kortrijk,Beerschot,,,1.58,4.11,5.35,draw
Fotbal,1.polská liga,2025-04-12,Rakow_Czestochowa,Radomiak_Radom,,,1.54,3.7,6.06,draw
Fotbal,1.anglická liga,2025-04-12,Southampton,Aston_Villa,,,5.51,4.44,1.57,draw
Fotbal,1.rumunská liga,2025-04-12,Sepsi_Sfantu_Gheorghe,Farul_Constanta,,,1.95,3.23,3.81,draw
Fotbal,1.polská liga,2025-04-12,Motor_Lublin,Lech_Poznan,,,3.8,3.73,1.81,draw
Fotbal,1.argentinská liga,2025-04-13,Independiente,San_Martín_San_Juan,,,1.49,3.88,7.38,draw
Fotbal,2.španělská liga,2025-04-13,Oviedo,Ferrol,,,1.4,3.92,8.56,draw
Fotbal,2.německá liga,2025-04-13,Münster,Karlsruher,,,2.27,3.33,2.9,draw
